,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Klay Thompson,2017,0.86,42.0,60.3,2.0,328875.0,1.0
Gordon Hayward,2017,0.644,38.0,72.6,0.0,144012.0,1.0
James Harden,2017,0.723,47.0,82.7,4.0,393069.0,1.0
Kawhi Leonard,2017,0.791,41.0,80.1,1.0,236401.0,1.0
Anthony Davis,2017,0.386,41.0,79.0,3.0,10379.0,1.0
John Wall,2017,0.535,41.0,75.3,3.0,5700.0,1.0
Kevin Durant,2017,0.86,43.0,82.3,7.0,622759.0,1.0
Stephen Curry,2017,0.86,43.0,74.9,3.0,1028104.0,1.0
Draymond Green,2017,0.86,41.0,65.5,1.0,225024.0,1.0
Paul Millsap,2017,0.591,41.0,66.2,3.0,67506.0,1.0
Russell Westbrook,2017,0.568,44.0,81.9,5.0,612322.0,1.0
Giannis Antetokounmpo,2017,0.465,42.0,79.0,0.0,638644.0,1.0
Paul George,2017,0.512,36.0,66.8,3.0,133255.0,1.0
Jimmy Butler,2017,0.489,43.0,77.4,2.0,5185.0,1.0
Kemba Walker,2017,0.523,43.0,71.2,0.0,95537.0,1.0
Isaiah Thomas,2017,0.605,39.0,78.7,1.0,7157.0,1.0
DeAndre Jordan,2017,0.644,45.0,66.0,0.0,132748.0,1.0
DeMar DeRozan,2017,0.651,43.0,75.4,2.0,203105.0,1.0
Marc Gasol,2017,0.565,44.0,69.6,2.0,107757.0,1.0
Kyle Lowry,2017,0.651,42.0,75.8,2.0,151092.0,1.0
Carmelo Anthony,2017,0.422,44.0,65.8,9.0,375472.0,1.0
Kyrie Irving,2017,0.714,37.0,69.7,3.0,506926.0,1.0
DeMarcus Cousins,2017,0.372,42.0,78.5,2.0,253660.0,1.0
LeBron James,2017,0.714,39.0,79.7,12.0,1460897.0,1.0
Kevin Love,2017,0.714,37.0,67.7,3.0,252131.0,1.0
Willie Cauley-Stein,2017,0.372,36.0,39.8,0.0,44207.0,0.0
Doug McDermott,2017,0.489,32.0,47.1,0.0,71950.0,0.0
Nikola Mirotić,2017,0.489,39.0,48.6,0.0,41701.0,0.0
Robin Lopez,2017,0.489,45.0,52.3,0.0,107801.0,0.0
