,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Dwight Powell,2016,0.568,42.0,47.5,0.0,42883.0,0.0
Devin Harris,2016,0.568,38.0,47.7,1.0,29519.0,0.0
J. J. Barea,2016,0.568,38.0,46.8,0.0,135.0,0.0
Jeremy Evans,2016,0.568,26.0,38.2,0.0,14858.0,0.0
Deron Williams,2016,0.568,36.0,56.7,3.0,125021.0,0.0
Dirk Nowitzki,2016,0.568,40.0,64.5,13.0,407526.0,0.0
Zaza Pachulia,2016,0.568,42.0,59.3,0.0,81515.0,0.0
Wesley Matthews,2016,0.568,40.0,51.1,0.0,45081.0,0.0
Raymond Felton,2016,0.568,43.0,48.5,0.0,34437.0,0.0
K.J. McDaniels,2016,0.5,15.0,34.5,0.0,471.0,0.0
Sam Dekker,2016,0.5,3.0,33.3,0.0,44150.0,0.0
Jason Terry,2016,0.5,37.0,42.9,0.0,63365.0,0.0
Montrezl Harrell,2016,0.5,25.0,39.4,0.0,23743.0,0.0
Patrick Beverley,2016,0.5,34.0,47.7,0.0,31365.0,0.0
Corey Brewer,2016,0.5,44.0,42.0,0.0,31766.0,0.0
Clint Capela,2016,0.5,43.0,51.2,0.0,39505.0,0.0
Terrence Jones,2016,0.5,38.0,49.0,0.0,22661.0,0.0
Tyson Chandler,2016,0.295,35.0,46.3,1.0,86916.0,0.0
P.J. Tucker,2016,0.295,44.0,46.5,0.0,1757.0,0.0
Jamal Crawford,2016,0.643,42.0,48.3,0.0,94809.0,0.0
Devin Booker,2016,0.295,38.0,45.1,0.0,91314.0,0.0
Paul Pierce,2016,0.643,39.0,39.9,10.0,166052.0,0.0
Lance Stephenson,2016,0.643,34.0,38.9,0.0,60184.0,0.0
DeAndre Jordan,2016,0.643,40.0,65.4,0.0,155495.0,0.0
JJ Redick,2016,0.643,38.0,59.9,0.0,1605.0,0.0
Tibor Pleiß,2016,0.429,10.0,33.1,0.0,25765.0,0.0
Blake Griffin,2016,0.643,30.0,72.6,5.0,227112.0,0.0
Noah Vonleh,2016,0.422,45.0,39.3,0.0,25327.0,0.0
Maurice Harkless,2016,0.422,45.0,42.0,0.0,18422.0,0.0
Allen Crabbe,2016,0.422,45.0,50.0,0.0,22733.0,0.0
Ed Davis,2016,0.422,44.0,52.2,0.0,626.0,0.0
Mason Plumlee,2016,0.422,45.0,53.5,0.0,84297.0,0.0
Al-Farouq Aminu,2016,0.422,45.0,50.8,0.0,41184.0,0.0
Meyers Leonard,2016,0.422,38.0,46.2,0.0,46869.0,0.0
Damian Lillard,2016,0.422,38.0,69.5,2.0,117766.0,0.0
CJ McCollum,2016,0.422,43.0,62.3,0.0,1952.0,0.0
Jrue Holiday,2016,0.357,36.0,55.6,1.0,56121.0,0.0
Ronnie Price,2016,0.295,34.0,40.9,0.0,14396.0,0.0
Alex Len,2016,0.295,41.0,44.1,0.0,29765.0,0.0
Sonny Weems,2016,0.295,22.0,34.8,0.0,20165.0,0.0
Archie Goodwin,2016,0.295,24.0,41.3,0.0,476.0,0.0
Mirza Teletović,2016,0.295,43.0,48.1,0.0,26085.0,0.0
T.J. Warren,2016,0.295,43.0,50.3,0.0,565.0,0.0
Jon Leuer,2016,0.295,41.0,49.0,0.0,22948.0,0.0
Chris Johnson,2016,0.429,33.0,37.6,0.0,5083.0,0.0
Jeremy Lamb,2016,0.452,37.0,52.7,0.0,37943.0,0.0
Nik Stauskas,2016,0.136,38.0,41.4,0.0,66022.0,0.0
Tyus Jones,2016,0.295,9.0,36.9,0.0,80410.0,0.0
O.J. Mayo,2016,0.432,29.0,44.2,0.0,2243.0,0.0
Cliff Alexander,2016,0.422,7.0,36.9,0.0,34550.0,0.0
Cory Jefferson,2016,0.295,7.0,34.6,0.0,11191.0,0.0
Jonathon Simmons,2016,0.86,29.0,43.1,0.0,53803.0,0.0
Steve Novak,2016,0.727,5.0,36.8,0.0,28457.0,0.0
Gerald Henderson,2016,0.422,36.0,41.1,0.0,9808.0,0.0
Matt Bonner,2016,0.86,18.0,38.4,0.0,94287.0,0.0
Bruno Caboclo,2016,0.643,2.0,32.5,0.0,24754.0,0.0
Devyn Marble,2016,0.488,8.0,32.1,0.0,250.0,0.0
Arron Afflalo,2016,0.5,36.0,52.1,0.0,73219.0,0.0
Jimmer Fredette,2016,0.357,4.0,32.5,0.0,132758.0,0.0
James Young,2016,0.512,17.0,34.6,0.0,1741.0,0.0
JaVale McGee,2016,0.568,24.0,44.6,0.0,76228.0,0.0
Lou Amundson,2016,0.5,16.0,37.5,0.0,26818.0,0.0
Cristiano Felício,2016,0.585,3.0,35.0,0.0,14734.0,0.0
Lucas Nogueira,2016,0.643,14.0,40.6,0.0,32755.0,0.0
Larry Nance Jr.,2016,0.205,37.0,46.7,0.0,570.0,0.0
Metta World Peace,2016,0.205,19.0,40.3,1.0,273291.0,0.0
Chris Kaman,2016,0.422,5.0,34.4,1.0,31119.0,0.0
Jarnell Stokes,2016,0.535,3.0,35.3,0.0,30860.0,0.0
Kostas Papanikolaou,2016,0.372,26.0,36.3,0.0,33705.0,0.0
Andre Miller,2016,0.295,20.0,41.5,0.0,61075.0,0.0
Josh Richardson,2016,0.535,20.0,34.2,0.0,17154.0,0.0
Quincy Acy,2016,0.452,22.0,41.8,0.0,21431.0,0.0
Aaron Harrison,2016,0.452,9.0,34.4,0.0,76108.0,0.0
Darrun Hilliard,2016,0.535,13.0,35.1,0.0,12140.0,0.0
Kyle Singler,2016,0.727,33.0,35.7,0.0,43247.0,0.0
Carl Landry,2016,0.136,11.0,45.8,0.0,25797.0,0.0
Keith Appling,2016,0.488,2.0,32.0,0.0,9637.0,0.0
J. J. O'Brien,2016,0.429,1.0,35.0,0.0,1978.0,0.0
Sean Kilpatrick,2016,0.372,4.0,35.0,0.0,16250.0,0.0
Lorenzo Brown,2016,0.295,5.0,32.4,0.0,9977.0,0.0
Elliot Williams,2016,0.568,5.0,34.2,0.0,21361.0,0.0
Nikola Peković,2016,0.295,7.0,40.9,0.0,33692.0,0.0
Jusuf Nurkić,2016,0.372,7.0,43.4,0.0,24387.0,0.0
Bryce Cotton,2016,0.295,3.0,29.0,0.0,16095.0,0.0
Brandon Jennings,2016,0.535,12.0,46.8,0.0,104925.0,0.0
Branden Dawson,2016,0.643,2.0,35.0,0.0,22155.0,0.0
Jarell Eddie,2016,0.488,9.0,40.1,0.0,12937.0,0.0
Kyrie Irving,2016,0.732,15.0,57.4,3.0,342769.0,0.0
Joel Anthony,2016,0.535,12.0,36.6,0.0,19084.0,0.0
Jarell Martin,2016,0.568,2.0,29.0,0.0,12708.0,0.0
Kendall Marshall,2016,0.136,11.0,34.4,0.0,40685.0,0.0
Iman Shumpert,2016,0.732,19.0,45.3,0.0,172401.0,0.0
Donatas Motiejūnas,2016,0.5,14.0,38.2,0.0,19857.0,0.0
Tony Wroten,2016,0.136,8.0,30.1,0.0,44845.0,0.0
Willie Reed,2016,0.256,23.0,40.5,0.0,12297.0,0.0
C. J. Wilcox,2016,0.643,3.0,32.0,0.0,11106.0,0.0
Ryan Hollins,2016,0.568,10.0,38.5,0.0,21387.0,0.0
Norris Cole,2016,0.357,25.0,41.1,0.0,15930.0,0.0
Tyreke Evans,2016,0.357,23.0,62.6,0.0,73963.0,0.0
Tim Hardaway Jr.,2016,0.591,13.0,39.5,0.0,7021.0,0.0
Tyler Ennis,2016,0.432,19.0,35.6,0.0,2747.0,0.0
Jabari Parker,2016,0.432,38.0,51.9,0.0,96189.0,0.0
Phil Pressey,2016,0.136,14.0,40.0,0.0,25730.0,0.0
Jason Thompson,2016,0.907,21.0,37.7,0.0,2951.0,0.0
Jeff Withey,2016,0.429,34.0,46.8,0.0,16750.0,0.0
Luis Montero,2016,0.422,7.0,33.9,0.0,710.0,0.0
Tim Frazier,2016,0.422,29.0,34.5,0.0,14430.0,0.0
Pat Connaughton,2016,0.422,17.0,32.7,0.0,28412.0,0.0
Eric Moreland,2016,0.452,5.0,35.8,0.0,7250.0,0.0
Seth Curry,2016,0.452,22.0,38.8,0.0,623482.0,0.0
Robert Sacre,2016,0.205,14.0,37.1,0.0,30985.0,0.0
Anthony Brown,2016,0.205,19.0,36.5,0.0,1182.0,0.0
Tarik Black,2016,0.205,12.0,39.8,0.0,17032.0,0.0
Dwight Howard,2016,0.5,37.0,63.4,8.0,233161.0,0.0
Ian Clark,2016,0.907,37.0,40.7,0.0,2002.0,0.0
Boban Marjanović,2016,0.86,25.0,47.0,0.0,244855.0,0.0
Shelvin Mack,2016,0.591,18.0,40.9,0.0,12007.0,0.0
Ray McCallum,2016,0.86,17.0,39.2,0.0,4244.0,0.0
Rasual Butler,2016,0.86,27.0,39.3,0.0,26935.0,0.0
Sergey Karasev,2016,0.256,18.0,33.7,0.0,11649.0,0.0
Jarrett Jack,2016,0.256,32.0,55.2,0.0,42790.0,0.0
Giannis Antetokounmpo,2016,0.432,42.0,59.4,0.0,124161.0,0.0
Garrett Temple,2016,0.488,39.0,47.3,0.0,11745.0,0.0
Kelly Oubre Jr.,2016,0.488,34.0,38.6,0.0,49459.0,0.0
Jared Dudley,2016,0.488,40.0,49.9,0.0,25008.0,0.0
Kelly Olynyk,2016,0.512,42.0,50.8,0.0,60005.0,0.0
Anthony Bennett,2016,0.643,10.0,35.2,0.0,2117.0,0.0
Shabazz Napier,2016,0.488,35.0,38.3,0.0,49682.0,0.0
Solomon Hill,2016,0.548,22.0,38.5,0.0,585.0,0.0
Shayne Whittington,2016,0.548,2.0,33.5,0.0,8076.0,0.0
DeJuan Blair,2016,0.488,24.0,35.0,0.0,25936.0,0.0
Luke Babbitt,2016,0.357,20.0,37.5,0.0,15002.0,0.0
Glenn Robinson III,2016,0.548,27.0,40.6,0.0,35081.0,0.0
R.J. Hunter,2016,0.512,22.0,37.1,0.0,1409.0,0.0
Chris Andersen,2016,0.535,7.0,39.1,0.0,83435.0,0.0
Spencer Dinwiddie,2016,0.535,9.0,37.0,0.0,10334.0,0.0
Troy Daniels,2016,0.452,20.0,38.9,0.0,8698.0,0.0
Tyler Hansbrough,2016,0.452,22.0,36.7,0.0,70229.0,0.0
Cameron Bairstow,2016,0.585,9.0,33.0,0.0,17452.0,0.0
Bobby Portis,2016,0.585,21.0,43.8,0.0,53277.0,0.0
Vince Carter,2016,0.568,26.0,36.4,8.0,226366.0,0.0
Kevin Séraphin,2016,0.5,26.0,38.1,0.0,25121.0,0.0
Robert Covington,2016,0.136,35.0,47.0,0.0,31262.0,0.0
Chandler Parsons,2016,0.568,36.0,49.0,0.0,56779.0,0.0
Cameron Payne,2016,0.727,28.0,42.9,0.0,46828.0,0.0
Mitch McGary,2016,0.727,13.0,34.1,0.0,20471.0,0.0
J. J. Hickson,2016,0.372,18.0,46.1,0.0,2217.0,0.0
Andrew Nicholson,2016,0.488,31.0,43.3,0.0,478.0,0.0
Channing Frye,2016,0.488,36.0,44.8,0.0,19798.0,0.0
Delon Wright,2016,0.643,8.0,32.8,0.0,25654.0,0.0
Norman Powell,2016,0.643,17.0,34.2,0.0,458.0,0.0
Chuck Hayes,2016,0.5,2.0,34.0,0.0,31182.0,0.0
Marcus Thornton,2016,0.5,37.0,48.3,0.0,3183.0,0.0
Ömer Aşık,2016,0.357,35.0,40.6,0.0,23115.0,0.0
Toney Douglas,2016,0.357,21.0,42.7,0.0,19426.0,0.0
Trevor Ariza,2016,0.5,43.0,51.3,0.0,51930.0,0.0
Danilo Gallinari,2016,0.372,37.0,66.1,0.0,47314.0,0.0
Ty Lawson,2016,0.5,37.0,44.1,0.0,53666.0,0.0
Christian Wood,2016,0.136,14.0,40.6,0.0,19085.0,0.0
Jerami Grant,2016,0.136,42.0,47.6,0.0,41715.0,0.0
T.J. McConnell,2016,0.136,44.0,47.7,0.0,579.0,0.0
JaKarr Sampson,2016,0.136,43.0,38.4,0.0,15840.0,0.0
Nerlens Noel,2016,0.136,38.0,53.2,0.0,121694.0,0.0
Hollis Thompson,2016,0.136,42.0,42.8,0.0,9870.0,0.0
Isaiah Canaan,2016,0.136,43.0,46.3,0.0,21593.0,0.0
Jahlil Okafor,2016,0.136,40.0,56.9,0.0,271361.0,0.0
Jason Smith,2016,0.488,36.0,42.3,0.0,1911.0,0.0
Dewayne Dedmon,2016,0.488,26.0,40.9,0.0,8862.0,0.0
Aaron Gordon,2016,0.488,40.0,49.8,0.0,37211.0,0.0
C. J. Watson,2016,0.488,8.0,44.6,0.0,12598.0,0.0
Mario Hezonja,2016,0.488,38.0,38.4,0.0,52515.0,0.0
Evan Fournier,2016,0.488,41.0,54.2,0.0,54967.0,0.0
Nikola Vučević,2016,0.488,38.0,65.3,0.0,45003.0,0.0
Tobias Harris,2016,0.488,41.0,58.5,0.0,35845.0,0.0
Elfrid Payton,2016,0.488,37.0,52.7,0.0,952.0,0.0
Victor Oladipo,2016,0.488,37.0,55.4,0.0,66274.0,0.0
Nenê,2016,0.488,20.0,48.4,0.0,45237.0,0.0
Ramon Sessions,2016,0.488,41.0,51.3,0.0,18110.0,0.0
Gary Neal,2016,0.488,33.0,47.8,0.0,17312.0,0.0
Drew Gooden,2016,0.488,12.0,38.2,0.0,21440.0,0.0
Kris Humphries,2016,0.488,27.0,43.4,0.0,305401.0,0.0
Marcin Gortat,2016,0.488,35.0,59.9,0.0,40305.0,0.0
Richaun Holmes,2016,0.136,32.0,45.4,0.0,17432.0,0.0
Avery Bradley,2016,0.512,38.0,53.7,0.0,34131.0,0.0
Mike Miller,2016,0.372,31.0,36.6,0.0,1647.0,0.0
Marcus Smart,2016,0.512,22.0,47.6,0.0,42052.0,0.0
Gordon Hayward,2016,0.429,42.0,65.8,0.0,77927.0,0.0
Rudy Gobert,2016,0.429,22.0,59.8,0.0,45806.0,0.0
Markel Brown,2016,0.256,26.0,34.3,0.0,7042.0,0.0
Thomas Robinson,2016,0.256,38.0,40.3,0.0,3373.0,0.0
Donald Sloan,2016,0.256,23.0,44.6,0.0,368.0,0.0
Andrea Bargnani,2016,0.256,37.0,39.9,0.0,64431.0,0.0
Rondae Hollis-Jefferson,2016,0.256,19.0,47.0,0.0,29859.0,0.0
Bojan Bogdanović,2016,0.256,43.0,43.9,0.0,22289.0,0.0
Wayne Ellington,2016,0.256,42.0,40.4,0.0,18657.0,0.0
Shane Larkin,2016,0.256,39.0,46.7,0.0,34522.0,0.0
Thaddeus Young,2016,0.256,43.0,60.1,0.0,29468.0,0.0
Joe Johnson,2016,0.256,43.0,48.3,7.0,2221.0,0.0
Brook Lopez,2016,0.256,43.0,66.2,1.0,104370.0,0.0
Kirk Hinrich,2016,0.585,28.0,40.2,0.0,71723.0,0.0
Terry Rozier,2016,0.512,16.0,31.9,0.0,22128.0,0.0
Jordan Mickey,2016,0.512,3.0,40.3,0.0,17379.0,0.0
Jonas Jerebko,2016,0.512,42.0,39.0,0.0,25562.0,0.0
Amir Johnson,2016,0.512,41.0,52.1,0.0,36932.0,0.0
Jared Sullinger,2016,0.512,42.0,52.0,0.0,35249.0,0.0
Evan Turner,2016,0.512,43.0,48.5,0.0,65781.0,0.0
Tyler Zeller,2016,0.512,26.0,36.8,0.0,33189.0,0.0
David Lee,2016,0.512,30.0,45.6,2.0,5350.0,0.0
Jae Crowder,2016,0.512,43.0,60.8,0.0,59570.0,0.0
Otto Porter Jr.,2016,0.488,34.0,56.2,0.0,455.0,0.0
Bradley Beal,2016,0.488,21.0,59.0,0.0,47869.0,0.0
Brandon Rush,2016,0.907,34.0,42.6,0.0,95414.0,0.0
James Michael McAdoo,2016,0.907,25.0,37.5,0.0,68095.0,0.0
Steve Blake,2016,0.535,29.0,41.1,0.0,45809.0,0.0
Stanley Johnson,2016,0.535,43.0,42.3,0.0,1100.0,0.0
Reggie Jackson,2016,0.535,43.0,63.7,0.0,67921.0,0.0
Ersan İlyasova,2016,0.535,43.0,52.8,0.0,28436.0,0.0
Kentavious Caldwell-Pope,2016,0.535,43.0,55.9,0.0,30889.0,0.0
Marcus Morris,2016,0.535,42.0,53.4,0.0,1007.0,0.0
E'Twaun Moore,2016,0.585,30.0,41.4,0.0,20664.0,0.0
Aaron Brooks,2016,0.585,31.0,45.4,0.0,1441.0,0.0
Doug McDermott,2016,0.585,40.0,43.3,0.0,63885.0,0.0
Joakim Noah,2016,0.585,29.0,48.2,2.0,126062.0,0.0
Taj Gibson,2016,0.585,41.0,51.2,0.0,31111.0,0.0
Nikola Mirotić,2016,0.585,41.0,50.1,0.0,50458.0,0.0
Tony Snell,2016,0.585,39.0,39.9,0.0,876.0,0.0
Derrick Rose,2016,0.585,35.0,50.1,3.0,295509.0,0.0
Jared Cunningham,2016,0.732,34.0,36.2,0.0,41474.0,0.0
James Jones,2016,0.732,33.0,38.3,0.0,6081.0,0.0
Anderson Varejão,2016,0.732,26.0,38.0,0.0,34978.0,0.0
Richard Jefferson,2016,0.732,39.0,41.0,0.0,74198.0,0.0
Matthew Dellavedova,2016,0.732,40.0,51.0,0.0,86169.0,0.0
Tristan Thompson,2016,0.732,41.0,53.9,0.0,58417.0,0.0
Timofey Mozgov,2016,0.732,38.0,45.2,0.0,47893.0,0.0
J. R. Smith,2016,0.732,37.0,51.4,0.0,118101.0,0.0
Kevin Love,2016,0.732,41.0,64.1,3.0,169357.0,0.0
Jodie Meeks,2016,0.535,2.0,29.5,0.0,22107.0,0.0
Aron Baynes,2016,0.535,42.0,43.4,0.0,24021.0,0.0
Jeff Teague,2016,0.591,41.0,56.2,1.0,1247.0,0.0
Ish Smith,2016,0.136,40.0,53.5,0.0,100729.0,0.0
Marreese Speights,2016,0.907,34.0,37.6,0.0,39466.0,0.0
Festus Ezeli,2016,0.907,38.0,50.0,0.0,85783.0,0.0
Leandro Barbosa,2016,0.907,30.0,42.9,0.0,70869.0,0.0
Shaun Livingston,2016,0.907,40.0,45.9,0.0,103996.0,0.0
Andre Iguodala,2016,0.907,43.0,52.6,1.0,209828.0,0.0
Andrew Bogut,2016,0.907,36.0,49.6,0.0,130884.0,0.0
Harrison Barnes,2016,0.907,27.0,55.4,0.0,111327.0,0.0
Alexis Ajinça,2016,0.357,32.0,42.7,0.0,16817.0,0.0
Alonzo Gee,2016,0.357,42.0,40.9,0.0,14666.0,0.0
Ryan Anderson,2016,0.357,40.0,58.0,0.0,1676.0,0.0
Kendrick Perkins,2016,0.357,9.0,39.1,0.0,48564.0,0.0
Kyle Korver,2016,0.591,42.0,46.8,1.0,83202.0,0.0
Nate Robinson,2016,0.357,2.0,34.5,0.0,212331.0,0.0
Dante Cunningham,2016,0.357,41.0,40.8,0.0,11370.0,0.0
Eric Gordon,2016,0.357,41.0,53.8,0.0,34124.0,0.0
Mike Scott,2016,0.591,38.0,44.9,0.0,879.0,0.0
Mike Muscala,2016,0.591,31.0,38.9,0.0,11365.0,0.0
Tiago Splitter,2016,0.591,31.0,43.9,0.0,33887.0,0.0
Lamar Patterson,2016,0.591,29.0,36.3,0.0,11412.0,0.0
Thabo Sefolosha,2016,0.591,38.0,50.0,0.0,39853.0,0.0
Dennis Schröder,2016,0.591,42.0,49.8,0.0,46244.0,0.0
Kent Bazemore,2016,0.591,39.0,55.8,0.0,36901.0,0.0
Derrick Favors,2016,0.429,26.0,68.2,0.0,36831.0,0.0
Rodney Hood,2016,0.429,40.0,53.1,0.0,20090.0,0.0
Raul Neto,2016,0.429,41.0,42.0,0.0,1929.0,0.0
Khris Middleton,2016,0.432,44.0,61.0,0.0,27809.0,0.0
Dion Waiters,2016,0.727,44.0,45.2,0.0,50298.0,0.0
Anthony Morrow,2016,0.727,39.0,42.1,0.0,20092.0,0.0
Enes Freedom,2016,0.727,44.0,56.3,0.0,0.0,0.0
Andre Roberson,2016,0.727,43.0,44.9,0.0,882.0,0.0
Steven Adams,2016,0.727,44.0,50.3,0.0,93880.0,0.0
Serge Ibaka,2016,0.727,44.0,56.3,0.0,68862.0,0.0
Kyle Anderson,2016,0.86,40.0,42.0,0.0,707.0,0.0
David West,2016,0.86,42.0,49.0,2.0,1960.0,0.0
Manu Ginóbili,2016,0.86,37.0,53.8,0.0,115471.0,0.0
Boris Diaw,2016,0.86,43.0,48.7,0.0,48716.0,0.0
Patty Mills,2016,0.86,43.0,47.7,0.0,42763.0,0.0
Tony Parker,2016,0.86,39.0,60.7,6.0,238676.0,0.0
Tim Duncan,2016,0.86,36.0,56.7,15.0,428909.0,0.0
Danny Green,2016,0.86,43.0,44.3,0.0,688.0,0.0
Miles Plumlee,2016,0.432,25.0,38.3,0.0,59002.0,0.0
John Henson,2016,0.432,39.0,48.0,0.0,18199.0,0.0
Rashad Vaughn,2016,0.432,36.0,35.1,0.0,15019.0,0.0
Damien Inglis,2016,0.432,8.0,33.2,0.0,8409.0,0.0
Johnny O'Bryant,2016,0.432,40.0,38.7,0.0,264.0,0.0
Greivis Vásquez,2016,0.432,16.0,43.1,0.0,28816.0,0.0
Chris Copeland,2016,0.432,21.0,34.7,0.0,17496.0,0.0
Jerryd Bayless,2016,0.432,26.0,52.0,0.0,22203.0,0.0
Michael Carter-Williams,2016,0.432,39.0,53.8,0.0,78668.0,0.0
D.J. Augustin,2016,0.727,32.0,39.9,0.0,1297.0,0.0
Nick Collison,2016,0.727,37.0,36.9,0.0,31920.0,0.0
Sasha Kaun,2016,0.732,9.0,34.9,0.0,31743.0,0.0
Russ Smith,2016,0.568,15.0,34.9,0.0,484.0,0.0
Erick Green,2016,0.372,3.0,33.3,0.0,14077.0,0.0
Nikola Jokić,2016,0.372,41.0,52.9,0.0,34157.0,0.0
Darrell Arthur,2016,0.372,40.0,46.3,0.0,12374.0,0.0
Randy Foye,2016,0.372,43.0,40.1,0.0,20699.0,0.0
Will Barton,2016,0.372,43.0,60.3,0.0,50934.0,0.0
Jameer Nelson,2016,0.372,36.0,46.2,1.0,40151.0,0.0
Joffrey Lauvergne,2016,0.372,24.0,49.4,0.0,17203.0,0.0
Gary Harris,2016,0.372,37.0,49.1,0.0,21688.0,0.0
Kenneth Faried,2016,0.372,37.0,57.8,0.0,46844.0,0.0
Emmanuel Mudiay,2016,0.372,29.0,40.4,0.0,87166.0,0.0
