,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Chris Paul,2016,0.643,37.0,71.8,8.0,230045.0,1.0
Dwyane Wade,2016,0.535,40.0,62.0,11.0,343515.0,1.0
Kobe Bryant,2016,0.205,36.0,48.9,17.0,1796518.0,1.0
Paul Millsap,2016,0.591,44.0,72.2,2.0,36092.0,1.0
Al Horford,2016,0.591,44.0,63.4,3.0,60600.0,1.0
Kevin Durant,2016,0.727,37.0,81.4,6.0,401093.0,1.0
Anthony Davis,2016,0.357,37.0,73.0,2.0,12409.0,1.0
Russell Westbrook,2016,0.727,44.0,79.5,4.0,323403.0,1.0
Chris Bosh,2016,0.535,43.0,69.6,10.0,139116.0,1.0
Stephen Curry,2016,0.907,41.0,84.4,2.0,2454307.0,1.0
DeMar DeRozan,2016,0.643,42.0,69.9,1.0,123201.0,1.0
Draymond Green,2016,0.907,42.0,67.8,0.0,291016.0,1.0
Klay Thompson,2016,0.907,41.0,61.5,1.0,312747.0,1.0
LaMarcus Aldridge,2016,0.86,40.0,61.7,4.0,109970.0,1.0
Kawhi Leonard,2016,0.86,41.0,75.9,0.0,237972.0,1.0
Carmelo Anthony,2016,0.5,40.0,67.7,8.0,283245.0,1.0
John Wall,2016,0.488,41.0,67.1,2.0,6140.0,1.0
DeMarcus Cousins,2016,0.452,34.0,71.6,1.0,165542.0,1.0
Andre Drummond,2016,0.535,43.0,68.0,0.0,237449.0,1.0
Isaiah Thomas,2016,0.512,43.0,69.3,0.0,5887.0,1.0
Jimmy Butler,2016,0.585,41.0,72.5,1.0,7321.0,1.0
Kyle Lowry,2016,0.643,42.0,72.1,1.0,117432.0,1.0
LeBron James,2016,0.732,40.0,79.1,11.0,1265334.0,1.0
Pau Gasol,2016,0.585,39.0,66.5,5.0,193791.0,1.0
Paul George,2016,0.548,42.0,67.9,2.0,160897.0,1.0
James Harden,2016,0.5,44.0,74.4,3.0,449753.0,1.0
James Ennis III,2016,0.568,10.0,36.6,0.0,0.0,0.0
Ricky Rubio,2016,0.295,38.0,59.2,0.0,73307.0,0.0
James Anderson,2016,0.452,21.0,34.0,0.0,3636.0,0.0
Pablo Prigioni,2016,0.643,22.0,39.6,0.0,29609.0,0.0
Willie Cauley-Stein,2016,0.452,28.0,47.2,0.0,66422.0,0.0
Luc Mbah a Moute,2016,0.643,40.0,38.8,0.0,38594.0,0.0
Amar'e Stoudemire,2016,0.535,15.0,40.8,6.0,194679.0,0.0
Caron Butler,2016,0.452,9.0,36.8,2.0,59460.0,0.0
Karl-Anthony Towns,2016,0.295,44.0,62.5,0.0,196392.0,0.0
Omri Casspi,2016,0.452,37.0,53.5,0.0,55447.0,0.0
Darren Collison,2016,0.452,37.0,53.5,0.0,30315.0,0.0
Marco Belinelli,2016,0.452,42.0,46.0,0.0,39734.0,0.0
Ben McLemore,2016,0.452,42.0,42.3,0.0,30545.0,0.0
Tyler Johnson,2016,0.535,33.0,50.8,0.0,2359.0,0.0
Kosta Koufos,2016,0.452,41.0,47.7,0.0,26460.0,0.0
Rajon Rondo,2016,0.452,40.0,61.5,4.0,230343.0,0.0
Rudy Gay,2016,0.452,39.0,60.0,0.0,76498.0,0.0
Trevor Booker,2016,0.429,40.0,46.0,0.0,15660.0,0.0
Cole Aldrich,2016,0.643,20.0,46.8,0.0,30188.0,0.0
Edy Tavares,2016,0.591,7.0,38.1,0.0,112.0,0.0
Nick Young,2016,0.205,35.0,41.7,0.0,3625.0,0.0
Andrew Wiggins,2016,0.295,43.0,59.4,0.0,172870.0,0.0
Tayshaun Prince,2016,0.295,44.0,39.5,0.0,65815.0,0.0
Ryan Kelly,2016,0.205,15.0,41.9,0.0,2721.0,0.0
Lou Williams,2016,0.205,42.0,57.7,0.0,77421.0,0.0
D'Angelo Russell,2016,0.205,42.0,47.9,0.0,154739.0,0.0
Roy Hibbert,2016,0.205,44.0,46.5,2.0,70788.0,0.0
Brandon Bass,2016,0.205,36.0,49.2,0.0,26310.0,0.0
Jordan Clarkson,2016,0.205,42.0,52.8,0.0,131958.0,0.0
Julius Randle,2016,0.205,43.0,48.7,0.0,64821.0,0.0
Adreian Payne,2016,0.295,30.0,36.3,0.0,21495.0,0.0
Marcelo Huertas,2016,0.205,25.0,37.8,0.0,48198.0,0.0
Damjan Rudež,2016,0.295,17.0,35.6,0.0,11652.0,0.0
Myles Turner,2016,0.548,20.0,46.3,0.0,1048.0,0.0
Shabazz Muhammad,2016,0.295,44.0,46.8,0.0,46207.0,0.0
Austin Rivers,2016,0.643,39.0,42.6,0.0,63348.0,0.0
Zach LaVine,2016,0.295,44.0,48.4,0.0,77595.0,0.0
Gorgui Dieng,2016,0.295,44.0,50.4,0.0,26112.0,0.0
Nemanja Bjelica,2016,0.295,38.0,41.6,0.0,40516.0,0.0
Kevin Martin,2016,0.295,34.0,46.6,0.0,2762.0,0.0
Kevin Garnett,2016,0.295,37.0,42.5,15.0,337479.0,0.0
Justin Holiday,2016,0.591,25.0,34.9,0.0,27567.0,0.0
Wesley Johnson,2016,0.643,42.0,42.9,0.0,768.0,0.0
Mo Williams,2016,0.732,26.0,48.5,1.0,86294.0,0.0
Josh Smith,2016,0.643,32.0,42.2,0.0,51882.0,0.0
Markieff Morris,2016,0.295,28.0,40.9,0.0,51156.0,0.0
Eric Bledsoe,2016,0.295,31.0,66.2,0.0,57543.0,0.0
Brandon Knight,2016,0.295,42.0,56.8,0.0,1831.0,0.0
Salah Mejri,2016,0.568,6.0,40.0,0.0,17836.0,0.0
Justin Anderson,2016,0.568,23.0,35.5,0.0,497.0,0.0
John Jenkins,2016,0.568,18.0,36.1,0.0,995.0,0.0
Charlie Villanueva,2016,0.568,37.0,39.8,0.0,53390.0,0.0
