,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Shelvin Mack,2018,0.304,33.0,43.3,0.0,11423.0,0.0
Arron Afflalo,2018,0.304,35.0,36.0,0.0,45273.0,0.0
Bruno Caboclo,2018,0.689,2.0,33.0,0.0,27677.0,0.0
Lonzo Ball,2018,0.37,36.0,53.5,0.0,850844.0,0.0
Mario Hezonja,2018,0.304,39.0,42.9,0.0,41194.0,0.0
Luke Kennard,2018,0.489,39.0,44.2,0.0,1585.0,0.0
Justin Anderson,2018,0.524,14.0,37.4,0.0,782.0,0.0
Guerschon Yabusele,2018,0.723,18.0,36.3,0.0,30591.0,0.0
Jabari Bird,2018,0.723,4.0,34.5,0.0,23824.0,0.0
Wes Iwundu,2018,0.304,28.0,39.3,0.0,8264.0,0.0
Khem Birch,2018,0.304,10.0,40.6,0.0,16210.0,0.0
Alex Len,2018,0.37,41.0,52.9,0.0,29513.0,0.0
Brook Lopez,2018,0.37,38.0,48.9,1.0,150966.0,0.0
Jaylen Brown,2018,0.723,42.0,54.6,0.0,203213.0,0.0
Larry Nance Jr.,2018,0.37,35.0,55.3,0.0,70749.0,0.0
C. J. Miles,2018,0.689,38.0,47.1,0.0,30733.0,0.0
Ron Baker,2018,0.447,25.0,40.2,0.0,758.0,0.0
Doug McDermott,2018,0.447,47.0,45.0,0.0,86604.0,0.0
Ramon Sessions,2018,0.447,13.0,36.8,0.0,24221.0,0.0
Enes Freedom,2018,0.447,44.0,62.4,0.0,0.0,0.0
Tim Hardaway Jr.,2018,0.447,26.0,60.4,0.0,94742.0,0.0
Courtney Lee,2018,0.447,47.0,57.2,0.0,50519.0,0.0
Kristaps Porziņģis,2018,0.447,41.0,65.3,0.0,399821.0,0.0
Alfonzo McKinnie,2018,0.689,9.0,35.3,0.0,9081.0,0.0
Pascal Siakam,2018,0.689,44.0,46.6,0.0,32410.0,0.0
Fred VanVleet,2018,0.689,43.0,45.7,0.0,63465.0,0.0
OG Anunoby,2018,0.689,45.0,43.5,0.0,77805.0,0.0
Jakob Poeltl,2018,0.689,45.0,48.1,0.0,1420.0,0.0
Delon Wright,2018,0.689,33.0,52.5,0.0,30069.0,0.0
Brandon Ingram,2018,0.37,42.0,53.3,0.0,193462.0,0.0
Serge Ibaka,2018,0.689,40.0,53.5,0.0,95177.0,0.0
Norman Powell,2018,0.689,39.0,41.2,0.0,20631.0,0.0
Jonas Valančiūnas,2018,0.689,41.0,54.6,0.0,51998.0,0.0
Antonio Blakeney,2018,0.391,11.0,38.1,0.0,38058.0,0.0
Ryan Arcidiacono,2018,0.391,2.0,44.0,0.0,35054.0,0.0
Quincy Pondexter,2018,0.391,20.0,34.5,0.0,20967.0,0.0
David Nwaba,2018,0.391,34.0,48.1,0.0,39731.0,0.0
Kay Felder,2018,0.391,14.0,33.9,0.0,43933.0,0.0
Cristiano Felício,2018,0.391,25.0,40.2,0.0,11148.0,0.0
Denzel Valentine,2018,0.391,46.0,50.2,0.0,32872.0,0.0
Paul Zipser,2018,0.391,39.0,35.4,0.0,12747.0,0.0
Jerian Grant,2018,0.391,46.0,48.5,0.0,42188.0,0.0
Kyle O'Quinn,2018,0.447,47.0,50.0,0.0,38476.0,0.0
Lance Thomas,2018,0.447,44.0,38.7,0.0,24975.0,0.0
Frank Ntilikina,2018,0.447,44.0,40.1,0.0,127144.0,0.0
Willy Hernangómez,2018,0.447,20.0,40.3,0.0,31552.0,0.0
Montrezl Harrell,2018,0.511,39.0,49.4,0.0,28029.0,0.0
Sindarius Thornwell,2018,0.511,43.0,37.9,0.0,20839.0,0.0
Sam Dekker,2018,0.511,41.0,40.7,0.0,37329.0,0.0
Willie Reed,2018,0.511,37.0,43.7,0.0,15736.0,0.0
Wesley Johnson,2018,0.511,40.0,44.8,0.0,464.0,0.0
Zhou Qi,2018,0.727,14.0,32.7,0.0,76593.0,0.0
Lou Williams,2018,0.511,44.0,67.9,0.0,206489.0,0.0
Austin Rivers,2018,0.511,32.0,53.7,0.0,123862.0,0.0
Miloš Teodosić,2018,0.511,18.0,47.3,0.0,54832.0,0.0
Patrick Beverley,2018,0.511,11.0,52.5,0.0,50941.0,0.0
DeAndre Jordan,2018,0.511,41.0,64.4,1.0,133990.0,0.0
Danilo Gallinari,2018,0.511,11.0,49.7,0.0,34720.0,0.0
Blake Griffin,2018,0.511,29.0,69.4,5.0,395067.0,0.0
Josh Huestis,2018,0.565,40.0,37.1,0.0,17189.0,0.0
Dakari Johnson,2018,0.565,21.0,38.7,0.0,26552.0,0.0
Patrick Patterson,2018,0.565,46.0,39.6,0.0,616.0,0.0
Terrance Ferguson,2018,0.565,31.0,36.1,0.0,95954.0,0.0
Raymond Felton,2018,0.565,46.0,45.2,0.0,65207.0,0.0
Jerami Grant,2018,0.565,45.0,47.0,0.0,46314.0,0.0
Álex Abrines,2018,0.565,42.0,39.7,0.0,20639.0,0.0
Andre Roberson,2018,0.565,36.0,46.8,0.0,1256.0,0.0
Steven Adams,2018,0.565,41.0,65.5,0.0,194659.0,0.0
Carmelo Anthony,2018,0.565,45.0,57.9,10.0,382127.0,0.0
Michael Beasley,2018,0.447,40.0,51.6,0.0,296210.0,0.0
Damyean Dotson,2018,0.447,20.0,37.4,0.0,16141.0,0.0
Tarik Black,2018,0.727,33.0,39.7,0.0,19336.0,0.0
DeAndre Liggins,2018,0.533,32.0,36.8,0.0,34714.0,0.0
Bobby Brown,2018,0.727,20.0,34.9,0.0,289643.0,0.0
Udonis Haslem,2018,0.587,8.0,34.6,0.0,52899.0,0.0
Vince Hunter,2018,0.356,4.0,36.5,0.0,6377.0,0.0
Kobi Simmons,2018,0.356,11.0,37.8,0.0,15457.0,0.0
Torrey Craig,2018,0.5,16.0,39.2,0.0,14768.0,0.0
Tony Parker,2018,0.625,22.0,47.8,6.0,199294.0,0.0
Joakim Noah,2018,0.447,6.0,37.5,2.0,134819.0,0.0
Miles Plumlee,2018,0.289,26.0,42.5,0.0,32279.0,0.0
Ömer Aşık,2018,0.533,11.0,34.4,0.0,19513.0,0.0
Briante Weber,2018,0.727,13.0,38.0,0.0,866.0,0.0
Tyler Lydon,2018,0.5,1.0,33.0,0.0,24112.0,0.0
Jamil Wilson,2018,0.511,15.0,44.3,0.0,23632.0,0.0
Jacob Pullen,2018,0.524,3.0,32.7,0.0,16539.0,0.0
John Holland,2018,0.6,4.0,33.0,0.0,1656.0,0.0
Jack Cooley,2018,0.289,1.0,41.0,0.0,10119.0,0.0
Danuel House Jr.,2018,0.37,11.0,39.4,0.0,0.0,0.0
Joel Bolomboy,2018,0.511,6.0,35.8,0.0,16215.0,0.0
Antonius Cleveland,2018,0.326,13.0,34.4,0.0,10095.0,0.0
Lorenzo Brown,2018,0.689,11.0,36.3,0.0,16813.0,0.0
Nate Wolters,2018,0.413,5.0,32.4,0.0,15514.0,0.0
Daniel Hamilton,2018,0.565,2.0,43.0,0.0,325.0,0.0
Nicolas Batum,2018,0.409,30.0,51.9,0.0,29985.0,0.0
Rajon Rondo,2018,0.533,31.0,51.7,4.0,200716.0,0.0
Kyle Singler,2018,0.565,8.0,34.0,0.0,28920.0,0.0
Matt Costello,2018,0.625,3.0,33.7,0.0,10510.0,0.0
Furkan Korkmaz,2018,0.524,6.0,34.0,0.0,17909.0,0.0
James Michael McAdoo,2018,0.524,3.0,35.3,0.0,46074.0,0.0
Wayne Selden,2018,0.356,11.0,44.4,0.0,510.0,0.0
Nikola Mirotić,2018,0.391,21.0,63.8,0.0,74180.0,0.0
Kadeem Allen,2018,0.723,3.0,34.0,0.0,17490.0,0.0
Troy Williams,2018,0.727,4.0,30.0,0.0,10601.0,0.0
Gerald Green,2018,0.727,10.0,55.5,0.0,267563.0,0.0
James Young,2018,0.524,1.0,37.0,0.0,2127.0,0.0
Xavier Munford,2018,0.511,1.0,29.0,0.0,9078.0,0.0
Marshall Plumlee,2018,0.511,1.0,45.0,0.0,35502.0,0.0
Myke Henry,2018,0.356,1.0,26.0,0.0,2189.0,0.0
R.J. Hunter,2018,0.727,2.0,35.0,0.0,646.0,0.0
Trey Burke,2018,0.447,3.0,45.0,0.0,106173.0,0.0
Davon Reed,2018,0.37,1.0,28.0,0.0,7500.0,0.0
Zach LaVine,2018,0.391,4.0,48.0,0.0,145449.0,0.0
Josh McRoberts,2018,0.326,1.0,29.0,0.0,20710.0,0.0
Tyrone Wallace,2018,0.511,8.0,53.1,0.0,19719.0,0.0
Isaiah Thomas,2018,0.6,7.0,46.7,2.0,7890.0,0.0
Luis Montero,2018,0.489,2.0,28.5,0.0,7503.0,0.0
Naz Mitrou-Long,2018,0.413,1.0,47.0,0.0,11436.0,0.0
London Perrantes,2018,0.6,1.0,31.0,0.0,26536.0,0.0
Milton Doyle,2018,0.383,6.0,34.7,0.0,6116.0,0.0
Dwight Buycks,2018,0.489,12.0,42.6,0.0,15101.0,0.0
Thomas Bryant,2018,0.37,4.0,35.5,0.0,386.0,0.0
Matt Williams,2018,0.587,3.0,33.0,0.0,666.0,0.0
Damian Jones,2018,0.787,1.0,34.0,0.0,2268.0,0.0
Kyle Collinsworth,2018,0.326,5.0,36.2,0.0,12960.0,0.0
Malcolm Miller,2018,0.689,3.0,36.3,0.0,1306.0,0.0
Johnathan Motley,2018,0.326,1.0,47.0,0.0,9707.0,0.0
Adreian Payne,2018,0.304,5.0,42.2,0.0,17898.0,0.0
Jamel Artis,2018,0.304,5.0,32.2,0.0,6440.0,0.0
Kawhi Leonard,2018,0.625,9.0,67.4,2.0,219521.0,0.0
Monte Morris,2018,0.5,1.0,33.0,0.0,934.0,0.0
Ben McLemore,2018,0.356,26.0,41.2,0.0,29182.0,0.0
C. J. Williams,2018,0.511,28.0,42.3,0.0,31403.0,0.0
Vander Blue,2018,0.37,5.0,32.2,0.0,24289.0,0.0
Gary Payton II,2018,0.37,14.0,36.6,0.0,88254.0,0.0
Isaiah Canaan,2018,0.37,14.0,53.4,0.0,26199.0,0.0
Marcus Paige,2018,0.409,1.0,30.0,0.0,20423.0,0.0
Mangok Mathiang,2018,0.409,3.0,32.7,0.0,15802.0,0.0
Michael Kidd-Gilchrist,2018,0.409,38.0,51.2,0.0,57980.0,0.0
Jonas Jerebko,2018,0.413,38.0,45.4,0.0,31344.0,0.0
Marcus Georges-Hunt,2018,0.625,27.0,35.0,0.0,14438.0,0.0
Cole Aldrich,2018,0.625,10.0,35.1,0.0,18373.0,0.0
Aaron Brooks,2018,0.625,21.0,36.4,0.0,1079.0,0.0
Jarrett Jack,2018,0.447,45.0,48.6,0.0,74559.0,0.0
Jared Dudley,2018,0.37,20.0,39.5,0.0,20903.0,0.0
Bogdan Bogdanović,2018,0.289,42.0,52.0,0.0,3215.0,0.0
Tomáš Satoranský,2018,0.565,37.0,45.3,0.0,16420.0,0.0
Kentavious Caldwell-Pope,2018,0.37,38.0,55.5,0.0,113420.0,0.0
Mindaugas Kuzminskas,2018,0.447,1.0,27.0,0.0,40851.0,0.0
Jameer Nelson,2018,0.533,38.0,42.1,1.0,41560.0,0.0
Isaiah Taylor,2018,0.289,34.0,39.8,0.0,11600.0,0.0
Brice Johnson,2018,0.511,9.0,37.9,0.0,17040.0,0.0
Royce O'Neale,2018,0.413,33.0,39.8,0.0,9999.0,0.0
Raul Neto,2018,0.413,21.0,41.9,0.0,1677.0,0.0
JaKarr Sampson,2018,0.289,6.0,45.0,0.0,27636.0,0.0
Frank Mason III,2018,0.289,29.0,43.9,0.0,55093.0,0.0
Lauri Markkanen,2018,0.391,43.0,57.4,0.0,195321.0,0.0
Boban Marjanović,2018,0.489,17.0,42.2,0.0,73009.0,0.0
Anthony Tolliver,2018,0.489,42.0,45.1,0.0,19923.0,0.0
Jordan Mickey,2018,0.587,16.0,40.1,0.0,11439.0,0.0
Quinn Cook,2018,0.787,10.0,39.1,0.0,75495.0,0.0
Sean Kilpatrick,2018,0.511,25.0,36.1,0.0,28731.0,0.0
Okaro White,2018,0.587,6.0,39.2,0.0,7916.0,0.0
Tyler Zeller,2018,0.383,38.0,46.7,0.0,33289.0,0.0
Josh Smith,2018,0.533,3.0,33.7,0.0,58576.0,0.0
Bobby Portis,2018,0.391,37.0,55.2,0.0,44580.0,0.0
Derrick Walton,2018,0.587,13.0,38.2,0.0,18769.0,0.0
Michael Carter-Williams,2018,0.409,33.0,40.0,0.0,84049.0,0.0
Darrun Hilliard,2018,0.625,6.0,31.5,0.0,15579.0,0.0
Tony Bradley,2018,0.413,8.0,35.1,0.0,316.0,0.0
Tyler Cavanaugh,2018,0.289,30.0,43.5,0.0,16964.0,0.0
Marcus Morris,2018,0.723,25.0,50.6,0.0,1188.0,0.0
Markieff Morris,2018,0.565,38.0,46.9,0.0,50531.0,0.0
Richaun Holmes,2018,0.524,22.0,46.0,0.0,27050.0,0.0
Noah Vonleh,2018,0.543,28.0,42.9,0.0,18186.0,0.0
Ivica Zubac,2018,0.37,13.0,32.8,0.0,22374.0,0.0
Jawun Evans,2018,0.511,38.0,38.9,0.0,17735.0,0.0
Darrell Arthur,2018,0.5,6.0,27.5,0.0,9040.0,0.0
Georgios Papagiannis,2018,0.289,12.0,36.9,0.0,18995.0,0.0
Chris McCullough,2018,0.565,13.0,37.4,0.0,10844.0,0.0
Jacob Wiley,2018,0.383,5.0,35.6,0.0,7733.0,0.0
Isaiah Whitehead,2018,0.383,10.0,40.5,0.0,15629.0,0.0
Richard Jefferson,2018,0.5,15.0,36.5,0.0,91074.0,0.0
Reggie Bullock,2018,0.489,31.0,48.6,0.0,16700.0,0.0
Ivan Rabb,2018,0.356,7.0,38.1,0.0,21113.0,0.0
Deyonta Davis,2018,0.356,32.0,43.8,0.0,18468.0,0.0
Kris Dunn,2018,0.391,40.0,54.6,0.0,95472.0,0.0
Nick Collison,2018,0.565,8.0,37.5,0.0,38806.0,0.0
Jalen Jones,2018,0.533,4.0,34.5,0.0,6887.0,0.0
Charles Cooke,2018,0.533,6.0,33.2,0.0,402.0,0.0
Robin Lopez,2018,0.391,46.0,54.2,0.0,99087.0,0.0
Buddy Hield,2018,0.289,43.0,51.0,0.0,64518.0,0.0
Justin Holiday,2018,0.391,45.0,53.8,0.0,58356.0,0.0
Kelly Olynyk,2018,0.587,46.0,52.1,0.0,57991.0,0.0
Jonathan Isaac,2018,0.304,15.0,41.1,0.0,41629.0,0.0
Jonathon Simmons,2018,0.304,45.0,49.5,0.0,36589.0,0.0
Terrence Ross,2018,0.304,22.0,45.6,0.0,34518.0,0.0
Nikola Vučević,2018,0.304,34.0,63.5,0.0,31700.0,0.0
Elfrid Payton,2018,0.304,37.0,58.3,0.0,730.0,0.0
Aaron Gordon,2018,0.304,37.0,60.0,0.0,79471.0,0.0
Evan Fournier,2018,0.304,38.0,58.2,0.0,30445.0,0.0
Bam Adebayo,2018,0.587,37.0,49.6,0.0,38449.0,0.0
Wayne Ellington,2018,0.587,46.0,51.5,0.0,28334.0,0.0
James Johnson,2018,0.587,38.0,53.5,0.0,2662.0,0.0
Tyler Johnson,2018,0.587,40.0,52.8,0.0,1237.0,0.0
Justise Winslow,2018,0.587,32.0,44.8,0.0,33151.0,0.0
Goran Dragić,2018,0.587,42.0,58.9,0.0,71338.0,0.0
Malachi Richardson,2018,0.289,23.0,36.5,0.0,11874.0,0.0
Josh Richardson,2018,0.587,46.0,53.7,0.0,18296.0,0.0
Hassan Whiteside,2018,0.587,28.0,66.1,0.0,77111.0,0.0
Dion Waiters,2018,0.587,30.0,48.9,0.0,51521.0,0.0
T.J. Leaf,2018,0.532,38.0,38.0,0.0,517.0,0.0
Damien Wilkins,2018,0.532,19.0,34.8,0.0,35180.0,0.0
Domantas Sabonis,2018,0.532,45.0,55.8,0.0,88565.0,0.0
Lance Stephenson,2018,0.532,47.0,46.8,0.0,83701.0,0.0
Cory Joseph,2018,0.532,47.0,48.4,0.0,36464.0,0.0
Bojan Bogdanović,2018,0.532,46.0,51.8,0.0,49469.0,0.0
Darren Collison,2018,0.532,46.0,60.7,0.0,30257.0,0.0
Thaddeus Young,2018,0.532,47.0,55.6,0.0,24932.0,0.0
Myles Turner,2018,0.532,33.0,57.5,0.0,607.0,0.0
D.J. Augustin,2018,0.304,39.0,47.7,0.0,184.0,0.0
Bismack Biyombo,2018,0.304,46.0,44.9,0.0,36642.0,0.0
Ben Simmons,2018,0.524,41.0,64.3,0.0,527072.0,0.0
JJ Redick,2018,0.524,36.0,59.4,0.0,396.0,0.0
Abdel Nader,2018,0.723,21.0,35.0,0.0,28075.0,0.0
Rashad Vaughn,2018,0.511,17.0,38.8,0.0,10233.0,0.0
Mirza Teletović,2018,0.511,10.0,43.8,0.0,15794.0,0.0
Greg Monroe,2018,0.37,20.0,53.0,0.0,65666.0,0.0
John Henson,2018,0.511,44.0,51.7,0.0,17229.0,0.0
Matthew Dellavedova,2018,0.511,30.0,40.6,0.0,52452.0,0.0
Thon Maker,2018,0.511,45.0,40.7,0.0,114060.0,0.0
Tony Snell,2018,0.511,40.0,47.9,0.0,642.0,0.0
Malcolm Brogdon,2018,0.511,43.0,55.0,0.0,76925.0,0.0
Khris Middleton,2018,0.511,45.0,62.6,0.0,43306.0,0.0
Tim Frazier,2018,0.565,34.0,41.3,0.0,14870.0,0.0
Ian Mahinmi,2018,0.565,44.0,40.1,0.0,16537.0,0.0
Mike Scott,2018,0.565,42.0,48.2,0.0,721.0,0.0
Jodie Meeks,2018,0.565,44.0,41.5,0.0,19524.0,0.0
Kelly Oubre Jr.,2018,0.565,46.0,52.6,0.0,85413.0,0.0
Jason Smith,2018,0.565,18.0,34.3,0.0,3274.0,0.0
Otto Porter Jr.,2018,0.565,42.0,60.7,0.0,227.0,0.0
Marcin Gortat,2018,0.565,46.0,53.6,0.0,52033.0,0.0
T.J. McConnell,2018,0.524,37.0,51.5,0.0,290.0,0.0
Amir Johnson,2018,0.524,39.0,45.3,0.0,31642.0,0.0
Markelle Fultz,2018,0.524,4.0,35.0,0.0,217884.0,0.0
Timothé Luwawu-Cabarrot,2018,0.524,38.0,39.6,0.0,21540.0,0.0
Dario Šarić,2018,0.524,41.0,55.4,0.0,62026.0,0.0
Jerryd Bayless,2018,0.524,35.0,43.2,0.0,29533.0,0.0
Robert Covington,2018,0.524,40.0,54.8,0.0,94451.0,0.0
Quincy Acy,2018,0.383,42.0,40.0,0.0,16984.0,0.0
Spencer Dinwiddie,2018,0.383,46.0,58.3,0.0,48651.0,0.0
Allen Crabbe,2018,0.383,43.0,49.3,0.0,20105.0,0.0
Jordan Bell,2018,0.787,38.0,47.6,0.0,138244.0,0.0
Patrick McCaw,2018,0.787,43.0,40.6,0.0,40725.0,0.0
Nick Young,2018,0.787,45.0,41.9,0.0,5008.0,0.0
Zaza Pachulia,2018,0.787,37.0,45.6,0.0,91563.0,0.0
Luc Mbah a Moute,2018,0.727,27.0,46.0,0.0,68263.0,0.0
P.J. Tucker,2018,0.727,44.0,43.4,0.0,1793.0,0.0
Eric Gordon,2018,0.727,42.0,57.5,0.0,83406.0,0.0
Clint Capela,2018,0.727,39.0,67.0,0.0,119352.0,0.0
Chris Paul,2018,0.727,27.0,74.7,9.0,309476.0,0.0
Ryan Anderson,2018,0.727,43.0,51.3,0.0,2014.0,0.0
Trevor Ariza,2018,0.727,40.0,55.9,0.0,115898.0,0.0
Kyle Korver,2018,0.6,45.0,48.3,1.0,195640.0,0.0
Iman Shumpert,2018,0.6,13.0,40.3,0.0,101249.0,0.0
Jeff Green,2018,0.6,45.0,51.7,0.0,2142.0,0.0
Tristan Thompson,2018,0.6,25.0,45.3,0.0,605508.0,0.0
J. R. Smith,2018,0.6,44.0,43.8,0.0,140994.0,0.0
Dwyane Wade,2018,0.6,41.0,51.2,12.0,488620.0,0.0
Derrick Rose,2018,0.6,9.0,46.1,3.0,433727.0,0.0
Jae Crowder,2018,0.6,45.0,45.9,0.0,95127.0,0.0
Shane Larkin,2018,0.723,35.0,39.3,0.0,70857.0,0.0
Semi Ojeleye,2018,0.723,42.0,35.9,0.0,45981.0,0.0
Aron Baynes,2018,0.723,47.0,43.6,0.0,99648.0,0.0
Terry Rozier,2018,0.723,47.0,49.8,0.0,82494.0,0.0
Marcus Smart,2018,0.723,45.0,47.6,0.0,84542.0,0.0
Gordon Hayward,2018,0.723,1.0,35.0,1.0,179854.0,0.0
Jayson Tatum,2018,0.723,47.0,59.6,0.0,300551.0,0.0
Shaun Livingston,2018,0.787,40.0,42.1,0.0,73948.0,0.0
David West,2018,0.787,45.0,49.7,2.0,2502.0,0.0
Caris LeVert,2018,0.383,45.0,51.0,0.0,26345.0,0.0
Kevon Looney,2018,0.787,37.0,40.5,0.0,46690.0,0.0
Trevor Booker,2018,0.524,35.0,47.8,0.0,102413.0,0.0
Timofey Mozgov,2018,0.383,25.0,39.3,0.0,42906.0,0.0
Jeremy Lin,2018,0.383,1.0,49.0,0.0,191801.0,0.0
DeMarre Carroll,2018,0.383,42.0,55.0,0.0,32503.0,0.0
Rondae Hollis-Jefferson,2018,0.383,44.0,58.6,0.0,24780.0,0.0
D'Angelo Russell,2018,0.383,14.0,53.5,0.0,139708.0,0.0
Eric Moreland,2018,0.489,40.0,39.4,0.0,11646.0,0.0
Henry Ellenson,2018,0.489,18.0,36.1,0.0,14406.0,0.0
Jon Leuer,2018,0.489,8.0,40.5,0.0,11641.0,0.0
Ish Smith,2018,0.489,45.0,50.8,0.0,24245.0,0.0
Langston Galloway,2018,0.489,37.0,43.9,0.0,17381.0,0.0
Avery Bradley,2018,0.489,38.0,48.7,0.0,59839.0,0.0
Reggie Jackson,2018,0.489,33.0,56.2,0.0,81301.0,0.0
Tobias Harris,2018,0.489,45.0,61.7,0.0,52977.0,0.0
Stanley Johnson,2018,0.489,34.0,44.4,0.0,5525.0,0.0
Julyan Stone,2018,0.409,7.0,36.1,0.0,5741.0,0.0
Treveon Graham,2018,0.409,31.0,41.5,0.0,6736.0,0.0
Malik Monk,2018,0.409,34.0,38.4,0.0,53032.0,0.0
Frank Kaminsky,2018,0.409,41.0,49.9,0.0,43901.0,0.0
Cody Zeller,2018,0.409,19.0,48.3,0.0,38270.0,0.0
Dwayne Bacon,2018,0.409,31.0,36.5,0.0,18379.0,0.0
Marvin Williams,2018,0.409,44.0,52.5,0.0,26963.0,0.0
Jeremy Lamb,2018,0.409,43.0,56.6,0.0,34743.0,0.0
Dwight Howard,2018,0.409,44.0,59.6,8.0,297325.0,0.0
Omri Casspi,2018,0.787,36.0,48.2,0.0,93740.0,0.0
Daniel Theis,2018,0.723,45.0,43.0,0.0,71355.0,0.0
Jrue Holiday,2018,0.533,45.0,63.2,1.0,67657.0,0.0
E'Twaun Moore,2018,0.533,45.0,53.1,0.0,22160.0,0.0
Pat Connaughton,2018,0.543,46.0,43.6,0.0,26804.0,0.0
Evan Turner,2018,0.543,45.0,45.7,0.0,47257.0,0.0
Maurice Harkless,2018,0.543,37.0,42.8,0.0,16363.0,0.0
Al-Farouq Aminu,2018,0.543,33.0,51.7,0.0,30157.0,0.0
Derrick White,2018,0.625,13.0,35.8,0.0,469.0,0.0
Brandon Paul,2018,0.625,43.0,37.9,0.0,30910.0,0.0
