,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Karl-Anthony Towns,2018,0.625,48.0,74.0,0.0,178907.0,1.0
Damian Lillard,2018,0.543,39.0,74.9,2.0,214545.0,1.0
Klay Thompson,2018,0.787,46.0,62.5,3.0,229871.0,1.0
Kevin Durant,2018,0.787,39.0,78.4,8.0,622861.0,1.0
Stephen Curry,2018,0.787,32.0,79.2,4.0,989917.0,1.0
Draymond Green,2018,0.787,40.0,62.5,2.0,178745.0,1.0
Bradley Beal,2018,0.565,46.0,67.7,0.0,83130.0,1.0
Kemba Walker,2018,0.409,42.0,68.2,1.0,125990.0,1.0
Joel Embiid,2018,0.524,33.0,70.1,0.0,630890.0,1.0
James Harden,2018,0.727,37.0,82.8,5.0,412454.0,1.0
Paul George,2018,0.565,43.0,64.7,4.0,216753.0,1.0
Russell Westbrook,2018,0.565,46.0,76.7,6.0,430970.0,1.0
Andre Drummond,2018,0.489,43.0,69.7,1.0,101565.0,1.0
LaMarcus Aldridge,2018,0.625,46.0,71.7,5.0,77686.0,1.0
Jimmy Butler,2018,0.625,45.0,74.8,3.0,4484.0,1.0
Victor Oladipo,2018,0.532,42.0,71.2,0.0,254369.0,1.0
Giannis Antetokounmpo,2018,0.511,42.0,83.8,1.0,705740.0,1.0
John Wall,2018,0.565,35.0,67.5,4.0,12524.0,1.0
Anthony Davis,2018,0.533,39.0,81.0,4.0,13594.0,1.0
DeMar DeRozan,2018,0.689,45.0,72.1,3.0,190654.0,1.0
LeBron James,2018,0.6,45.0,81.7,13.0,1618469.0,1.0
DeMarcus Cousins,2018,0.533,45.0,74.3,3.0,180376.0,1.0
Kyrie Irving,2018,0.723,44.0,72.8,4.0,808674.0,1.0
Kevin Love,2018,0.6,44.0,66.5,4.0,186776.0,1.0
Al Horford,2018,0.723,43.0,65.2,4.0,134316.0,1.0
Kyle Lowry,2018,0.689,42.0,66.9,3.0,128587.0,1.0
Ike Anigbogu,2018,0.532,10.0,37.0,0.0,22163.0,0.0
Alex Poythress,2018,0.532,19.0,34.5,0.0,14329.0,0.0
CJ McCollum,2018,0.543,45.0,64.3,0.0,1166.0,0.0
Channing Frye,2018,0.6,37.0,40.9,0.0,39977.0,0.0
Maxi Kleber,2018,0.326,40.0,44.5,0.0,32120.0,0.0
Joe Young,2018,0.532,30.0,39.0,0.0,481.0,0.0
José Calderón,2018,0.6,34.0,42.2,0.0,689.0,0.0
Cedi Osman,2018,0.6,36.0,36.9,0.0,94729.0,0.0
Al Jefferson,2018,0.532,20.0,46.4,0.0,33930.0,0.0
Zach Collins,2018,0.543,30.0,37.6,0.0,47299.0,0.0
Jahlil Okafor,2018,0.383,13.0,38.3,0.0,243089.0,0.0
Johnny O'Bryant,2018,0.409,29.0,40.2,0.0,190.0,0.0
Tyler Dorsey,2018,0.289,19.0,35.5,0.0,19169.0,0.0
Jason Terry,2018,0.511,16.0,34.5,0.0,78847.0,0.0
Tyler Ennis,2018,0.37,27.0,38.8,0.0,1016.0,0.0
Andrew Bogut,2018,0.37,24.0,37.5,0.0,129862.0,0.0
Alex Caruso,2018,0.37,15.0,37.9,0.0,35916.0,0.0
Corey Brewer,2018,0.37,45.0,38.2,0.0,62077.0,0.0
Julius Randle,2018,0.37,46.0,55.3,0.0,80197.0,0.0
Kyle Kuzma,2018,0.37,45.0,55.2,0.0,671367.0,0.0
Jordan Clarkson,2018,0.37,46.0,53.5,0.0,109711.0,0.0
Jeff Withey,2018,0.326,9.0,34.7,0.0,9688.0,0.0
Luol Deng,2018,0.37,1.0,36.0,2.0,93560.0,0.0
Nicolás Brussino,2018,0.289,4.0,32.8,0.0,7614.0,0.0
Ante Žižić,2018,0.6,12.0,35.3,0.0,40992.0,0.0
Sterling Brown,2018,0.511,20.0,38.5,0.0,918.0,0.0
D.J. Wilson,2018,0.511,15.0,33.1,0.0,154.0,0.0
Josh Hart,2018,0.37,41.0,43.0,0.0,1397.0,0.0
Nik Stauskas,2018,0.383,22.0,39.4,0.0,71737.0,0.0
JaVale McGee,2018,0.787,33.0,41.7,0.0,81440.0,0.0
Andre Iguodala,2018,0.787,39.0,46.9,1.0,133864.0,0.0
Gian Clavell,2018,0.326,7.0,36.6,0.0,9507.0,0.0
Salah Mejri,2018,0.326,41.0,43.6,0.0,27796.0,0.0
Zach Randolph,2018,0.289,40.0,55.2,2.0,153986.0,0.0
Lucas Nogueira,2018,0.689,27.0,42.3,0.0,24702.0,0.0
Jarrett Allen,2018,0.383,38.0,45.0,0.0,23792.0,0.0
Joe Harris,2018,0.383,45.0,49.7,0.0,873.0,0.0
Marreese Speights,2018,0.304,36.0,41.3,0.0,28687.0,0.0
