"Rk","Name","Age","Tm","Lg","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB","PosSummary"
"1","Kurt Abbott","27","FLA","NL","109","349","320","37","81","18","7","8","33","3","3","22","99",".253",".307",".428",".735","95","137","7","3","4","0","1","654H"
"2","Bobby Abreu*","22","HOU","NL","15","24","22","1","5","1","0","0","1","0","0","2","3",".227",".292",".273",".564","56","6","1","0","0","0","0","/H79"
"3","Terry Adams","23","CHC","NL","69","7","6","0","0","0","0","0","0","0","0","1","3",".000",".143",".000",".143","-58","0","0","0","0","0","0","1"
"4","Joel Adamson*","24","FLA","NL","9","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","/1"
"5","Mike Aldrete*","35","TOT","AL","63","123","108","16","23","6","0","6","20","0","1","14","19",".213",".301",".435",".736","84","47","4","0","0","1","0","HD7/391"
"6","Mike Aldrete*","35","CAL","AL","31","46","40","5","6","1","0","3","8","0","0","5","4",".150",".239",".400",".639","59","16","3","0","0","1","0","H/D793"
"7","Mike Aldrete*","35","NYY","AL","32","77","68","11","17","5","0","3","12","0","1","9","15",".250",".338",".456",".794","98","31","1","0","0","0","0","/D3H791"
"8","Manny Alexander","25","BAL","AL","53","73","68","6","7","0","0","0","4","3","3","3","27",".103",".141",".103",".244","-37","7","2","0","2","0","0","H6/457D1"
"9","Edgardo Alfonzo","22","NYM","NL","123","407","368","36","96","15","2","4","40","2","0","25","56",".261",".304",".345",".649","75","127","8","0","9","5","2","45H6"
"10","Luis Alicea#","30","STL","NL","129","447","380","54","98","26","3","5","42","11","3","52","78",".258",".350",".382",".731","94","145","4","5","4","6","10","*4H"
"11","Jermaine Allensworth","24","PIT","NL","61","260","229","32","60","9","3","4","31","11","6","23","50",".262",".337",".380",".717","87","87","2","4","2","2","0","8/H"
"12","Roberto Alomar#","28","BAL","AL","153","699","588","132","193","43","4","22","94","17","6","90","65",".328",".411",".527",".938","136","310","14","1","8","12","10","*4D/H"
"13","Sandy Alomar","30","CLE","AL","127","444","418","53","110","23","0","11","50","1","0","19","42",".263",".299",".397",".696","75","166","20","3","2","2","0","*2/H3"
"14","Moises Alou","29","MON","NL","143","598","540","87","152","28","2","21","96","9","4","49","83",".281",".339",".457",".797","107","247","15","2","0","7","7","*97/8H"
"15","Garvin Alston","24","COL","NL","6","1","1","0","0","0","0","0","0","0","0","0","0",".000",".000",".000",".000","-100","0","0","0","0","0","0","/1"
"16","Tavo Alvarez","24","MON","NL","11","5","4","0","2","0","0","0","0","0","0","0","1",".500",".500",".500","1.000","164","2","0","0","1","0","0","1"
"17","Rich Amaral","34","SEA","AL","118","369","312","69","91","11","3","1","29","25","6","47","55",".292",".392",".356",".748","93","111","6","5","4","1","0","78H43/D95"
"18","Ruben Amaro#","31","PHI","NL","61","130","117","14","37","10","0","2","15","0","0","9","18",".316",".380",".453",".833","120","53","3","3","1","0","0","H9/83"
"19","Brady Anderson*","32","BAL","AL","149","687","579","117","172","37","5","50","110","21","8","76","106",".297",".396",".637","1.034","156","369","11","22","6","4","1","*8/HD"
"20","Garret Anderson*","24","CAL","AL","150","642","607","79","173","33","2","12","72","7","9","27","84",".285",".314",".405",".719","82","246","22","0","5","3","5","*7/98HD"
"21","Shane Andrews","24","MON","NL","127","414","375","43","85","15","2","19","64","3","1","35","119",".227",".295",".429",".724","87","161","2","2","0","2","8","*5/H"
"22","Eric Anthony*","28","TOT","NL","79","218","185","32","45","8","0","12","22","0","2","32","56",".243",".353",".481",".834","112","89","3","0","0","1","2","9H7/8"
"23","Eric Anthony*","28","CIN","NL","47","145","123","22","30","6","0","8","13","0","1","22","36",".244",".359",".488",".846","121","60","2","0","0","0","2","97H"
