"Rk","Name","Age","Tm","Lg","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","OPS+","TB","GDP","HBP","SH","SF","IBB","PosSummary"
"1","Don Aase","34","NYM","NL","49","5","5","0","0","0","0","0","0","0","0","0","3",".000",".000",".000",".000","-100","0","0","0","0","0","0","1"
"2","Shawn Abner","23","SDP","NL","57","108","102","13","18","4","0","2","14","1","0","5","20",".176",".213",".275",".487","38","28","1","0","0","1","2","87H/9"
"3","Jim Acker","30","TOT","MLB","59","7","7","0","1","0","0","0","0","0","0","0","2",".143",".143",".143",".286","-18","1","1","0","0","0","0","1"
"4","Jim Acker","30","ATL","NL","59","7","7","0","1","0","0","0","0","0","0","0","2",".143",".143",".143",".286","-18","1","1","0","0","0","0","1"
"5","Jim Adduci*","29","PHI","NL","13","19","19","1","7","1","0","0","0","0","0","0","4",".368",".368",".421",".789","127","8","0","0","0","0","0","/H37"
"6","Juan Agosto*","31","HOU","NL","71","5","5","0","1","0","0","0","0","0","0","0","2",".200",".200",".200",".400","17","1","0","0","0","0","0","1"
"7","Luis Aguayo","30","CLE","AL","47","112","97","7","17","4","1","1","8","0","0","7","19",".175",".239",".268",".507","42","26","4","2","3","3","0","564/HD"
"8","Rick Aguilera","27","TOT","MLB","36","8","7","1","0","0","0","0","0","0","0","1","2",".000",".125",".000",".125","-60","0","0","0","0","0","0","1/H"
"9","Rick Aguilera","27","NYM","NL","36","8","7","1","0","0","0","0","0","0","0","1","2",".000",".125",".000",".125","-60","0","0","0","0","0","0","1/H"
"10","Mike Aldrete*","28","MON","NL","76","159","136","12","30","8","1","1","12","1","3","19","30",".221",".316",".316",".633","81","43","4","1","1","2","0","H973/8"
"11","Jay Aldrich","28","TOT","MLB","8","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0","1"
"12","Jay Aldrich","28","ATL","NL","8","1","1","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","-100","0","0","0","0","0","0","/1"
"13","Andy Allanson","27","CLE","AL","111","359","323","30","75","9","1","3","17","4","4","23","47",".232",".289",".294",".583","65","95","7","4","6","3","2","*2"
"14","Beau Allred*","24","CLE","AL","13","26","24","0","6","3","0","0","1","0","0","2","10",".250",".308",".375",".683","91","9","0","0","0","0","0","/H7D9"
