,Name,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
480,Nick Richards,CHA,24,50,25,25,7.3,3,1.2,1.8,66.7,0,0,0,0.6,0.9,69.8,0.7,1,1.7,0.3,0.5,0.2,0.4,1,6.8,0,0,-2.2
480,Paris Bass,PHX,26,2,2,0,3.7,3,1,3,33.3,0,1,0,1,1,100,1,1,2,0,1,0.5,0,1,5.9,0,0,1
480,Trevon Scott,CLE,25,2,1,1,5.7,3,1.5,3,50,0,0.5,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,1,7.2,0,0,2
489,Tony Bradley,CHI,24,55,28,27,10,3,1.3,2.2,58.5,0,0,0,0.3,0.5,65.5,1.2,2.2,3.4,0.5,0.6,0.2,0.6,1.1,9.5,0,0,1.3
490,Bruno Fernando,HOU,23,30,15,15,5.1,2.9,1.2,1.8,65.5,0,0.1,50,0.5,0.8,62.5,0.6,1.2,1.8,0.2,0.5,0,0.4,0.8,6.2,2,0,-1.1
491,Denzel Valentine,UTA,28,24,14,10,9.2,2.9,1,2.8,37.9,0.8,2,40.4,0,0,0,0.4,1.4,1.8,0.5,0.5,0.3,0,0.8,6.2,0,0,-1.1
492,Skylar Mays,ATL,24,28,17,11,7.9,2.9,1.1,2.3,50,0.3,0.9,32,0.3,0.3,88.9,0.2,0.7,0.9,0.6,0.4,0.3,0,0.3,5.2,1,0,-1.9
492,Vernon Carey Jr.,WAS,21,7,3,4,6.3,2.9,1,1.9,53.8,0,0,0,0.9,1.9,46.2,1.1,0.6,1.7,0,0.4,0.3,0.1,0.6,5.8,0,0,-6.3
494,Tyler Johnson,SAS,30,6,2,4,15.2,2.8,1,3.3,30,0.8,2.2,38.5,0,0,0,0.5,1.5,2,1.2,0.3,0.5,0.5,1.2,9.7,0,0,-1
494,Tyrone Wallace,NOP,28,6,4,2,12.5,2.8,1.2,3.3,35,0.3,1.3,25,0.2,0.8,20,0,1.3,1.3,0.2,0.3,0.5,0.2,1.2,6.4,0,0,-3
496,Aleem Ford,ORL,24,5,2,3,14.7,2.8,1.2,4,30,0.4,3,13.3,0,0,0,0.4,2.6,3,0.4,0.8,0.2,0,1.4,6.8,0,0,-7
497,Quinndary Weatherspoon,GSW,25,11,8,3,6.7,2.7,1.1,1.9,57.1,0.1,0.5,20,0.5,0.5,100,0.2,1.1,1.3,0.5,0.3,0.1,0.1,1.4,5.2,0,0,-0.9
498,Jay Scrubb,LAC,21,18,8,10,6.7,2.7,1,2.6,39.1,0.3,1.2,28.6,0.4,0.6,70,0.1,0.8,0.9,0.4,0.4,0.2,0.2,0.5,5.2,0,0,0.9
499,Josh Okogie,MIN,23,49,23,26,10.5,2.7,0.9,2.1,40.4,0.3,1,29.8,0.7,1,68.6,0.6,0.8,1.4,0.5,0.5,0.5,0.2,1.1,7.1,0,0,0.8
500,Gary Clark,NOP,27,38,20,18,10,2.7,0.9,2.3,37.5,0.7,1.8,40,0.2,0.3,70,0.6,1.8,2.4,0.5,0.3,0.3,0.2,0.5,7.5,0,0,-0.5
501,Devon Dotson,CHI,22,11,5,6,7.7,2.6,1,2.1,47.8,0.2,0.8,22.2,0.5,0.8,55.6,0.1,0.7,0.8,1.4,0.5,0.1,0,1,5.5,0,0,-0.2
502,Chris Silva,MIA,25,10,7,3,9.1,2.6,0.8,1.5,53.3,0,0,0,1,1.2,83.3,1.3,2.3,3.6,0.7,0.8,0,0.1,2,7.5,0,0,-2.9
503,Gabriel Deck,OKC,27,7,2,5,7.9,2.6,1.1,2,57.1,0.3,0.6,50,0,0,0,0.1,0.7,0.9,0.7,0.3,0.1,0,0.3,4.8,0,0,-2
504,Theo Pinson,DAL,26,19,14,5,7.8,2.5,0.7,2.1,35.9,0.5,1.6,33.3,0.5,0.5,100,0.1,1,1.1,0.9,0.3,0.3,0.1,0.6,6,0,0,-2.2
505,Juwan Morgan,BOS,25,2,1,1,15.5,2.5,1,1.5,66.7,0.5,1,50,0,0,0,1,1,2,0.5,0,0,0,1.5,5.7,0,0,-8.5
505,Sam Hauser,BOS,24,26,20,6,6.1,2.5,0.9,1.9,46,0.7,1.7,43.2,0,0,0,0.2,0.9,1.1,0.4,0.1,0,0.1,0.3,4.7,0,0,0
507,Udonis Haslem,MIA,42,13,10,3,6.4,2.5,1.1,2.4,45.2,0.1,0.3,25,0.2,0.2,100,0.3,1.6,1.9,0.3,0.4,0.1,0.1,1.2,5.3,0,0,-1.2
508,Abdel Nader,PHX,28,14,11,3,10.4,2.4,0.9,2.5,34.3,0.3,1,28.6,0.4,0.7,60,0.3,1.6,1.9,0.5,0.8,0.6,0.3,1.4,7.3,0,0,-0.1
509,Ish Wainright,PHX,27,45,36,9,8,2.4,0.9,2.3,39.4,0.4,1.3,32.2,0.2,0.3,58.3,0.6,0.6,1.2,0.3,0.3,0.4,0.1,1.1,5.8,0,0,0.9
510,Jake Layman,MIN,28,34,20,14,6.8,2.4,0.9,2.1,41.1,0.2,1,22.9,0.4,0.5,72.2,0.2,0.9,1.1,0.3,0.3,0.2,0.1,0.4,4.8,0,0,-0.3
511,Jalen Johnson,ATL,20,22,14,8,5.5,2.4,1,1.9,53.7,0.1,0.6,23.1,0.2,0.3,71.4,0.1,1.1,1.2,0.1,0.4,0.1,0.1,0.4,4.3,0,0,-0.9
512,Bol Bol,ORL,22,14,5,9,5.8,2.4,1.1,1.9,55.6,0.1,0.3,25,0.1,0.4,40,0.3,1.1,1.4,0.4,0.3,0.1,0.1,0.3,5,0,0,0.4
513,Freddie Gillespie,ORL,25,9,1,8,13.2,2.3,1,2.4,40.9,0,0.1,0,0.3,0.8,42.9,1.4,2.6,4,0.6,0.6,0.3,1,2,11.4,0,0,-3.2
514,Haywood Highsmith,MIA,25,19,13,6,8.6,2.3,0.8,2.4,34.8,0.5,1.5,32.1,0.1,0.3,40,0.5,0.8,1.4,0.3,0.2,0.1,0.2,0.7,5,0,0,-1.9
515,Justin Champagnie,TOR,21,36,21,15,7.8,2.3,0.9,1.9,46.3,0.3,0.8,35.7,0.3,0.3,100,1,1,2,0.3,0.2,0.2,0.1,0.9,5.9,0,0,1.4
515,Nik Stauskas,BOS,28,8,7,1,4.8,2.3,0.6,1.8,35.7,0.5,1.3,40,0.5,0.8,66.7,0.1,0.3,0.4,0.3,0.1,0,0,0.1,3,0,0,2.3
517,Miles McBride,NYK,21,40,19,21,9.3,2.2,0.8,2.7,29.6,0.4,1.7,25,0.2,0.3,66.7,0.1,1,1.1,1,0.1,0.4,0,1.1,6,0,0,2.5
518,Dylan Windler,CLE,25,50,28,22,9.2,2.2,0.7,2,37.8,0.4,1.4,30,0.3,0.4,83.3,0.4,1.4,1.8,0.7,0.3,0.3,0.1,0.9,6.1,0,0,-0.2
519,Jericho Sims,NYK,23,41,19,22,13.5,2.2,1,1.3,72.2,0,0,0,0.3,0.7,41.4,1.5,2.6,4.1,0.5,0.5,0.3,0.5,1.6,9.8,1,0,1.9
520,Justin Jackson,PHX,27,7,6,1,5.2,2.1,0.7,2.1,33.3,0.4,1.3,33.3,0.3,0.3,100,0.1,0.9,1,0.3,0.1,0,0,0.4,3.6,0,0,-1.9
521,Jeff Dowtin Jr.,ORL,25,9,4,5,12,2.1,0.9,2.9,30.8,0.1,1,11.1,0.2,0.2,100,0.9,1.1,2,1.1,0.6,0.6,0.1,0.6,7.6,0,0,-2.9
522,Joe Wieskamp,SAS,22,29,11,18,7.1,2.1,0.7,1.9,35.7,0.5,1.5,32.6,0.2,0.4,53.8,0.1,0.3,0.5,0.3,0.1,0.1,0.1,0.5,3.8,0,0,0
523,JT Thor,CHA,19,33,18,15,7.9,2,0.7,1.7,43.6,0.2,0.8,25.9,0.4,0.6,60,0.3,1,1.3,0.6,0.3,0.2,0.3,0.8,5.9,0,0,-0.2
524,Ahmad Caver,IND,25,1,0,1,0.8,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
