,W,L,%,P_W,P_L,P_%
81,245.0,236.0,0.509,10.0,12.0,0.455
82,57.0,39.0,0.594,1.0,3.0,0.25
83,90.0,169.0,0.348,0.0,0.0,0.0
84,5.0,11.0,0.312,0.0,0.0,0.0
85,37.0,43.0,0.463,1.0,2.0,0.333
86,3.0,12.0,0.219,0.0,0.0,0.0
87,8.0,9.0,0.471,0.0,0.0,0.0
88,,,,,,
89,48.0,63.0,0.433,0.0,2.0,0.0
90,159.0,134.0,0.542,7.0,7.0,0.5
91,136.0,168.0,0.447,3.0,4.0,0.429
92,,,,,,
93,0.0,0.0,0.0,0.0,0.0,0.0
94,321.0,337.0,0.488,11.0,12.0,0.478
95,48.0,41.0,0.539,3.0,3.0,0.5
96,24.0,9.0,0.727,2.0,2.0,0.5
97,5.0,12.0,0.294,0.0,0.0,0.0
98,275.0,220.0,0.555,21.0,10.0,0.677
99,55.0,57.0,0.491,1.0,2.0,0.333
100,34.0,31.0,0.523,0.0,2.0,0.0
101,,,,,,
102,29.0,37.0,0.439,2.0,1.0,0.667
103,15.0,19.0,0.441,0.0,1.0,0.0
104,,,,,,
105,,,,,,
106,10.0,38.0,0.208,0.0,0.0,0.0
107,,,,,,
108,6.0,10.0,0.375,0.0,0.0,0.0
109,88.0,72.0,0.55,5.0,4.0,0.556
110,149.0,139.0,0.517,4.0,5.0,0.444
111,34.0,31.0,0.523,0.0,2.0,0.0
112,4.0,13.0,0.235,0.0,0.0,0.0
113,,,,,,
114,10.0,23.0,0.303,0.0,0.0,0.0
115,110.0,148.0,0.427,4.0,4.0,0.5
116,112.0,124.0,0.475,4.0,5.0,0.444
117,183.0,185.0,0.497,6.0,10.0,0.375
118,47.0,49.0,0.49,2.0,3.0,0.4
119,144.0,187.0,0.435,4.0,4.0,0.5
120,85.0,75.0,0.531,9.0,4.0,0.692
121,217.0,198.0,0.523,7.0,10.0,0.412
122,87.0,57.0,0.604,10.0,3.0,0.769
123,0.0,0.0,0.0,0.0,0.0,0.0
124,51.0,38.0,0.572,1.0,3.0,0.25
125,,,,,,
126,231.0,198.0,0.538,13.0,14.0,0.481
127,,,,,,
128,31.0,36.0,0.463,4.0,1.0,0.8
129,76.0,116.0,0.396,1.0,2.0,0.333
130,34.0,30.0,0.531,0.0,1.0,0.0
131,185.0,173.0,0.517,8.0,9.0,0.471
132,55.0,44.0,0.556,5.0,3.0,0.625
133,,,,,,
134,,,,,,
135,9.0,23.0,0.281,0.0,0.0,0.0
136,22.0,10.0,0.688,5.0,1.0,0.833
137,20.0,14.0,0.588,0.0,2.0,0.0
138,99.0,78.0,0.559,2.0,6.0,0.25
139,46.0,19.0,0.708,5.0,3.0,0.625
140,15.0,19.0,0.441,0.0,1.0,0.0
141,117.0,171.0,0.406,1.0,2.0,0.333
142,127.0,131.0,0.492,4.0,5.0,0.444
143,59.0,36.0,0.62,7.0,4.0,0.636
144,3.0,13.0,0.188,0.0,0.0,0.0
145,89.0,57.0,0.609,6.0,6.0,0.5
146,60.0,54.0,0.526,5.0,3.0,0.625
147,,,,,,
148,120.0,170.0,0.414,4.0,3.0,0.571
149,28.0,22.0,0.56,0.0,1.0,0.0
150,,,,,,
151,62.0,20.0,0.756,14.0,2.0,0.875
152,23.0,25.0,0.479,0.0,2.0,0.0
153,279.0,186.0,0.6,20.0,11.0,0.645
154,60.0,68.0,0.469,3.0,4.0,0.429
155,186.0,149.0,0.555,9.0,12.0,0.429
156,,,,,,
157,127.0,119.0,0.516,5.0,8.0,0.385
158,145.0,110.0,0.569,5.0,8.0,0.385
159,10.0,23.0,0.303,0.0,0.0,0.0
160,70.0,90.0,0.438,1.0,3.0,0.25
161,,,,,,
162,143.0,184.0,0.438,3.0,6.0,0.333
163,9.0,7.0,0.562,0.0,0.0,0.0
164,183.0,152.0,0.546,12.0,11.0,0.522
165,27.0,40.0,0.403,0.0,1.0,0.0
166,13.0,4.0,0.765,0.0,1.0,0.0
167,,,,,,
168,47.0,65.0,0.42,1.0,1.0,0.5
169,13.0,20.0,0.397,0.0,0.0,0.0
170,,,,,,
171,74.0,86.0,0.463,3.0,3.0,0.5
172,38.0,60.0,0.389,0.0,1.0,0.0
173,330.0,208.0,0.613,28.0,17.0,0.622
174,38.0,60.0,0.389,0.0,1.0,0.0
175,68.0,76.0,0.472,4.0,3.0,0.571
176,134.0,188.0,0.416,5.0,4.0,0.556
177,202.0,164.0,0.552,5.0,11.0,0.312
178,,,,,,
179,12.0,21.0,0.368,0.0,0.0,0.0
180,151.0,152.0,0.498,1.0,5.0,0.167
181,,,,,,
182,129.0,178.0,0.42,1.0,1.0,0.5
183,125.0,147.0,0.46,2.0,5.0,0.286
184,5.0,12.0,0.294,0.0,0.0,0.0
185,10.0,6.0,0.625,0.0,1.0,0.0
186,104.0,74.0,0.584,10.0,6.0,0.625
187,52.0,46.0,0.531,1.0,3.0,0.25
188,147.0,180.0,0.45,9.0,4.0,0.692
189,66.0,110.0,0.375,0.0,1.0,0.0
190,27.0,21.0,0.562,1.0,2.0,0.333
191,113.0,142.0,0.443,2.0,3.0,0.4
192,77.0,34.0,0.692,7.0,6.0,0.538
193,36.0,31.0,0.537,0.0,2.0,0.0
194,193.0,191.0,0.503,2.0,10.0,0.167
195,44.0,68.0,0.394,2.0,1.0,0.667
196,11.0,37.0,0.229,0.0,0.0,0.0
197,192.0,114.0,0.627,14.0,11.0,0.56
198,164.0,155.0,0.514,11.0,6.0,0.647
199,236.0,228.0,0.509,5.0,13.0,0.278
200,29.0,35.0,0.453,0.0,0.0,0.0
201,39.0,40.0,0.494,3.0,2.0,0.6
