,TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
1,Utah Jazz,72,52,20,3471,116.5,107.5,9,57.3,1.66,17.3,28.4,75.7,52.9,14.2,56.3,59.7,99.37,54.2,"7,193"
2,Phoenix Suns,72,51,21,3496,116.3,110.4,5.9,62.2,2.15,19.6,24.8,74.1,50,12.6,56.4,59.7,98,53.4,"7,137"
3,Philadelphia 76ers,72,49,23,3486,112.5,107,5.5,57.2,1.64,17.2,27.7,73.7,51.1,14.3,54.1,57.9,100.12,53.6,"7,272"
4,Brooklyn Nets,72,48,24,3481,117.3,113.1,4.2,62.1,1.98,19.3,25.2,72.6,50.3,13.4,57.5,61,100.27,53.2,"7,280"
5,Denver Nuggets,72,47,25,3496,116.3,111.5,4.8,62.1,1.99,19.3,29.2,75.1,52.2,13.6,55.7,58.8,97.74,52.5,"7,123"
5,LA Clippers,72,47,25,3456,116.7,110.6,6.1,58.4,1.85,18.1,27,75.4,51.8,13.5,56.4,59.9,97.63,53,"7,036"
7,Milwaukee Bucks,72,46,26,3466,116.5,110.7,5.8,56.9,1.84,18,26.9,75.5,51.9,13.4,56.6,59.3,102.85,53.3,"7,423"
8,Dallas Mavericks,72,42,30,3461,114.6,112.3,2.3,55.7,1.9,17.2,25.3,73.4,49.6,12.3,55,58.2,97.94,51,"7,062"
8,Los Angeles Lakers,72,42,30,3491,109.8,106.8,2.9,60.7,1.62,18,26.9,74.8,51.1,15.2,53.6,56.9,98.85,51.7,"7,184"
8,Portland Trail Blazers,72,42,30,3461,117.1,115.3,1.8,51.5,1.92,15.9,27.3,73.1,49.5,11.2,54,57.7,98.97,49.3,"7,137"
11,Atlanta Hawks,72,41,31,3481,114.3,112.1,2.2,59.1,1.82,17.6,28.4,74.2,51.6,13.3,53.9,58.1,98.68,51.1,"7,160"
11,New York Knicks,72,41,31,3486,110.2,107.8,2.4,54.3,1.65,16.3,26.4,73.8,50.5,13.3,52.4,55.9,96.32,50.2,"6,994"
13,Miami Heat,72,40,32,3476,110.6,110.7,-0.1,67.1,1.87,19.5,24,73.3,49.1,14.4,54.6,58.1,97.09,50.9,"7,036"
14,Golden State Warriors,72,39,33,3461,110.5,109.4,1.1,67,1.84,19.6,22.2,72.7,48,14.6,55.1,58.3,102.81,51,"7,412"
15,Memphis Grizzlies,72,38,34,3481,111.7,110.5,1.2,62.8,2.03,18.9,28.5,73.6,50.7,13.1,52.8,56,100.77,51.1,"7,302"
16,Boston Celtics,72,36,36,3476,113.1,111.8,1.2,56.6,1.67,17.1,28.9,73.7,51,14.1,54.3,57.4,98.94,50.1,"7,172"
17,Indiana Pacers,72,34,38,3491,111.9,111.9,0.1,63.3,2.02,19.2,24.7,70.1,47.6,13.1,54.2,57.5,102.05,50.2,"7,419"
17,Washington Wizards,72,34,38,3481,110.7,112.3,-1.6,59,1.77,17.8,25,73.6,49.4,13.7,53.1,56.9,104.67,49.6,"7,585"
19,Charlotte Hornets,72,33,39,3471,110.1,112,-1.9,67.2,1.81,19.2,27.6,72.2,49.6,14.9,53.2,56.4,99,48.9,"7,159"
19,San Antonio Spurs,72,33,39,3496,110.5,112,-1.5,58.4,2.14,17.9,24.3,73.3,48.5,11.3,51.7,55.4,99.45,49.3,"7,236"
21,Chicago Bulls,72,31,41,3476,110.4,111.5,-1.1,63.5,1.77,19.2,26.7,76.7,51.9,15.1,54.7,57.5,99.58,49.9,"7,220"
21,New Orleans Pelicans,72,31,41,3486,113,113.3,-0.3,61.2,1.78,18.3,30.2,75.5,52.7,14.4,53.7,57,100.54,50.8,"7,303"
21,Sacramento Kings,72,31,41,3461,112.7,116.5,-3.8,59.9,1.91,18.4,25.3,71.3,48.2,13.3,54.9,57.8,100.71,48.1,"7,266"
24,Toronto Raptors,72,27,45,3461,111.6,112,-0.4,60.7,1.82,17.7,25.6,71.6,47.9,13.3,52.9,56.7,99.57,48.6,"7,177"
25,Minnesota Timberwolves,72,23,49,3481,109.3,114.5,-5.3,63,1.8,18,27.1,71.7,48.4,13.9,52,55.5,101.96,46.9,"7,389"
26,Cleveland Cavaliers,72,22,50,3486,105.2,113.5,-8.3,61.8,1.54,17.5,28,72.9,49.9,15.7,50.8,54.3,97.96,46,"7,107"
26,Oklahoma City Thunder,72,22,50,3471,102.8,113.4,-10.6,56.8,1.37,16.1,25.4,74.2,49.4,15.8,50.9,53.9,101.61,44.2,"7,353"
28,Orlando Magic,72,21,51,3466,104.6,113.9,-9.3,57,1.7,16.3,25.2,74.4,48.8,12.9,49,52.7,99.17,45,"7,158"
29,Detroit Pistons,72,20,52,3486,107.6,112.2,-4.5,62.6,1.62,17.8,26.7,72.5,49.3,15.1,51.9,55.6,98.19,47.3,"7,132"
30,Houston Rockets,72,17,55,3461,107,114.4,-7.4,60.1,1.6,17.2,24,72.3,47.4,14.5,52.1,55.3,101.69,45.1,"7,320"
