Name,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Precious Achiuwa,61,737,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4,13.5,19.5,0.3,1,1.3,0.085,-3.6,-0.5,-4.1,-0.4
Jaylen Adams,7,18,-6.5,0.125,0.25,0,0,16.9,8.8,12.7,0,0,0,18.6,-0.1,0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1
Steven Adams,58,1605,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.3,1.7,4,0.119,-0.4,0.1,-0.3,0.7
Bam Adebayo,64,2143,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15,23.7,5.6,3.2,8.8,0.197,2.9,2,4.9,3.7
LaMarcus Aldridge,26,674,15.7,0.556,0.27,0.159,3,15.8,9.4,11,0.8,3.7,7.9,22.2,0.5,0.6,1.1,0.08,-0.2,-0.2,-0.3,0.3
Ty-Shon Alexander,15,47,4.2,0.349,0.75,0.167,4.9,19,12.1,15.4,0,1.9,18.9,15,-0.1,0,0,-0.048,-4.8,-1.7,-6.5,-0.1
Nickeil Alexander-Walker,46,1007,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1,0.7,0.035,-1.4,0.1,-1.3,0.2
Grayson Allen,50,1259,12.8,0.586,0.662,0.22,1.6,12,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,0.101,-0.2,0.1,-0.2,0.6
Jarrett Allen,63,1864,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4
Al-Farouq Aminu,23,434,8.9,0.469,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,-0.4,0.5,0.1,0.01,-4.9,1.1,-3.8,-0.2
Kyle Anderson,69,1887,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5
Giannis Antetokounmpo,61,2013,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,6.9,3.3,10.2,0.244,6.2,2.8,9,5.6
Kostas Antetokounmpo,15,56,0,0.382,0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,-0.3,0.1,-0.2,-0.174,-13.3,0.8,-12.6,-0.1
Thanasis Antetokounmpo,57,551,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0,0.6,0.7,0.057,-3.7,0.2,-3.5,-0.2
Carmelo Anthony,69,1690,14.6,0.547,0.418,0.198,2,11.8,6.8,9.2,1.3,2,6.7,23.1,1.7,0.8,2.6,0.073,0.2,-1.3,-1.1,0.4
Cole Anthony,47,1273,12.1,0.496,0.312,0.237,3,15.4,9,24.2,1.1,1.3,14.8,24.3,-0.9,0.9,0,-0.001,-1.9,-1.4,-3.3,-0.4
OG Anunoby,43,1433,15.4,0.605,0.503,0.197,4,14.6,9.1,10.1,2.2,2.2,11.7,19.3,1.5,1.6,3.1,0.104,0.8,0.4,1.2,1.2
Ryan Arcidiacono,44,450,9.8,0.541,0.573,0.171,1.2,15.1,8.3,16.3,1,0,7.4,13.1,0.5,0.4,0.9,0.093,-2.6,0.3,-2.3,0
Trevor Ariza,30,841,11.9,0.542,0.593,0.183,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,0.5,1,1.6,0.091,-1.2,0.1,-1.1,0.2
D.J. Augustin,57,1129,12.1,0.57,0.633,0.274,1.9,7,4.4,22.2,1.2,0.1,14.5,16.8,1.5,0.5,2.1,0.088,-0.6,-1.5,-2.1,0
Deni Avdija,54,1257,7.6,0.515,0.538,0.144,1.9,20.2,11,6.3,1.2,1,9,12,0,1.2,1.2,0.046,-3.6,0.4,-3.1,-0.4
Deandre Ayton,69,2115,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1,3.4,11.9,18.2,5.3,3.1,8.4,0.191,1.1,0.1,1.2,1.7
Udoka Azubuike,15,57,10.3,0.597,0,1.111,7.8,16,12.1,0,0.9,5.7,18.3,12.4,0,0.1,0.1,0.119,-5.5,1.7,-3.8,0
Dwayne Bacon,72,1853,9.9,0.49,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,-0.3,0.9,0.5,0.013,-3.7,-1.4,-5.1,-1.5
Marvin Bagley III,43,1112,16.3,0.554,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,0.9,0.5,1.4,0.059,-0.4,-2.7,-3.1,-0.3
LaMelo Ball,51,1469,17.5,0.539,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,1,1.9,2.8,0.093,1.1,0.7,1.8,1.4
Lonzo Ball,55,1747,15.2,0.551,0.65,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,1.5,1.7,3.2,0.089,1.4,0.3,1.7,1.6
Mo Bamba,46,725,19.3,0.556,0.392,0.219,10.5,28,19,8.1,0.9,7.3,9.8,21.8,0.7,1.1,1.8,0.117,0.2,0,0.1,0.4
Desmond Bane,68,1519,12.2,0.6,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,0.093,-0.6,-0.2,-0.8,0.5
Harrison Barnes,58,2102,15.4,0.626,0.399,0.366,3.3,17.2,10.2,13,1,0.4,11.1,17.2,4,0.5,4.5,0.103,1.5,-1.3,0.2,1.1
RJ Barrett,72,2511,13.4,0.535,0.292,0.26,3,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5
Will Barton,56,1736,11.8,0.538,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19,0.7,1.5,2.2,0.061,-1,-0.8,-1.9,0.1
