Name,Games Played,Mins,RPM
"Stephen Curry, PG",69,33.8,7.6
"LeBron James, SF",55,35.2,6.78
"James Harden, SG",78,36.8,6.68
"Giannis Antetokounmpo, PF",72,32.8,6.12
"Kyle Lowry, PG",65,34,5.88
"Paul George, F",77,36.9,5.8
"Kyrie Irving, PG",67,33,4.96
"Jrue Holiday, PG",67,35.9,4.72
"Aaron Holiday, G",50,12.9,3.99
"Pascal Siakam, PF",80,31.9,3.75
"Eric Bledsoe, SG",78,29.1,3.7
"Russell Westbrook, PG",73,36,3.68
"Lou Williams, SG",75,26.6,3.63
"Nikola Jokic, C",80,31.3,3.58
"Damian Lillard, PG",80,35.5,3.5
"Bradley Beal, SG",82,36.9,3.49
"Mike Conley, PG",70,33.5,3.38
"De'Aaron Fox, PG",81,31.4,3.34
"Kevin Love, PF",22,27.2,3.08
"Anthony Davis, PF",56,33,2.96
"Rudy Gobert, C",81,31.8,2.8
"Kemba Walker, PG",82,34.9,2.79
"Kevin Durant, PF",78,34.6,2.5
"Chris Paul, PG",58,32,2.49
"Brad Wanamaker, PG",36,9.5,2.48
"JJ Redick, SG",76,31.3,2.44
"Victor Oladipo, SG",36,31.9,2.44
"Marc Gasol, C",79,30.8,2.42
"D'Angelo Russell, PG",81,30.2,2.42
"J.J. Barea, G",38,19.8,2.4
"Klay Thompson, SG",78,34,2.39
"Buddy Hield, SG",82,31.9,2.36
"Al Horford, C",68,29,2.34
"Monte Morris, PG",82,24,2.14
"Montrezl Harrell, C",82,26.3,2.03
"Gary Harris, SG",57,28.8,2.01
"Joe Ingles, SG",82,31.3,2
"Karl-Anthony Towns, C",77,33.1,1.98
"Nikola Vucevic, C",80,31.4,1.92
"RJ Hunter, G",1,26,1.89
"Blake Griffin, PF",75,35,1.85
"Jaylen Brown, SG",74,25.9,1.8
"Joel Embiid, C",64,33.7,1.8
"Ben McLemore, SG",19,8.3,1.79
"Jodie Meeks, G",8,13,1.78
"Kawhi Leonard, SF",60,34,1.77
"Bojan Bogdanovic, SF",81,31.8,1.76
"CJ McCollum, SG",70,33.9,1.73
"Raul Neto, PG",37,12.8,1.71
"Danny Green, F",80,27.7,1.69
"Jusuf Nurkic, C",72,27.4,1.63
"Myles Turner, C",74,28.6,1.61
"Derrick Rose, PG",51,27.3,1.57
"Josh Richardson, SG",73,34.8,1.55
"John Wall, PG",32,34.5,1.53
"Khris Middleton, SF",77,31.1,1.52
"Marcus Smart, PG",80,27.5,1.5
"Josh Hart, SG",67,25.6,1.48
"Eric Gordon, SG",68,31.7,1.45
"Robert Covington, PF",35,34.4,1.43
"Spencer Dinwiddie, PG",68,28.1,1.42
"Nikola Mirotic, F",46,27.1,1.42
"Kyle Kuzma, SF",70,33.1,1.41
"Malcolm Brogdon, PG",64,28.6,1.4
"Davis Bertans, SF",76,21.5,1.39
"Andre Iguodala, F",68,23.2,1.39
"Terrence Ross, G",81,26.5,1.35
"Draymond Green, PF",66,31.3,1.35
"Clint Capela, C",67,33.6,1.33
"Luke Kornet, C",46,17,1.27
"Luol Deng, F",22,17.8,1.26
"Jimmy Butler, SF",65,33.6,1.26
"Frank Kaminsky, PF",47,16.1,1.25
"Devin Booker, SG",64,35,1.25
"Patrick Beverley, PG",78,27.4,1.2
"Wayne Ellington, SG",53,24.5,1.14
"Ben Simmons, PG",79,34.2,1.12
"Luka Doncic, PG",72,32.2,1.1
"Ryan Broekhoff, G",42,10.8,1.07
"Goran Dragic, PG",36,27.5,1.05
"Jayson Tatum, SF",79,31.1,1.05
"Domantas Sabonis, PF",74,24.8,1.02
"Shabazz Napier, G",56,17.6,1.02
"Brook Lopez, C",81,28.7,0.98
"Bam Adebayo, C",82,23.3,0.98
"Fred VanVleet, PG",64,27.5,0.95
"D.J. Augustin, G",81,28,0.94
"Alex Caruso, SG",25,21.2,0.93
"Richaun Holmes, F",70,16.9,0.93
"Vince Carter, G",76,17.5,0.91
