Name,Games Played,Mins,RPM
"Giannis Antetokounmpo, PF",63,30.4,10.3
"LeBron James, SF",67,34.6,9.58
"James Harden, SG",68,36.5,7.49
"Nikola Jokic, C",73,32,6.01
"Chris Paul, PG",70,31.5,5.51
"Kyle Lowry, PG",58,36.2,5.21
"Kawhi Leonard, SF",57,32.4,5.1
"Stephen Curry, PG",5,27.8,4.72
"Luka Doncic, PG",61,33.6,4.28
"Rudy Gobert, C",68,34.3,4.07
"Jayson Tatum, SF",66,34.3,3.87
"Duncan Robinson, F",73,29.7,3.83
"Joel Embiid, C",51,29.5,3.81
"Russell Westbrook, PG",57,35.9,3.64
"Khris Middleton, SF",62,29.9,3.63
"Christian Wood, F",62,21.4,3.53
"Zion Williamson, PF",24,27.8,3.29
"Mychal Mulder, G",7,29.1,3.27
"Kristaps Porzingis, C",57,31.8,3.24
"Pascal Siakam, PF",60,35.2,3.21
"Damian Lillard, PG",66,37.5,3.14
"Jrue Holiday, PG",61,34.7,3.11
"Jimmy Butler, SF",58,33.8,3.08
"Kyrie Irving, PG",20,32.9,3.05
"Daniel Theis, C",65,24.1,3.03
"Joe Ingles, SG",72,29.7,2.86
"Shaquille Harrison, G",43,11.3,2.83
"D.J. Augustin, G",57,24.9,2.83
"Brook Lopez, C",68,26.7,2.8
"Bam Adebayo, C",72,33.6,2.67
"Patrick Beverley, PG",51,26.3,2.67
"Devin Booker, SG",70,35.9,2.59
"Nikola Vucevic, C",62,32.2,2.57
"Tobias Harris, PF",72,34.3,2.53
"Anthony Davis, PF",62,34.4,2.53
"Ricky Rubio, PG",65,31,2.44
"Danilo Gallinari, PF",62,29.6,2.42
"Dennis Schroder, PG",65,30.8,2.37
"CJ McCollum, SG",70,36.5,2.36
"Montrezl Harrell, C",63,27.8,2.34
"Robert Covington, PF",70,30.5,2.3
"Marcus Smart, PG",60,32,2.29
"Ivica Zubac, C",72,18.4,2.2
"Karl-Anthony Towns, C",35,33.9,2.12
"Gordon Hayward, SF",52,33.5,2.11
"Eric Bledsoe, SG",61,27,2.11
"Derrick Favors, F",51,24.4,2.08
"Marc Gasol, C",44,26.4,2.08
"Donte DiVincenzo, SG",66,23,2.08
"Norman Powell, G",52,28.4,2.04
"Chris Chiozza, G",28,14.3,1.97
"Fred VanVleet, PG",54,35.7,1.92
"Devonte' Graham, PG",63,35.1,1.9
"Wesley Matthews, SG",67,24.4,1.87
"Reggie Jackson, PG",31,24,1.82
"Kris Dunn, G",51,24.9,1.82
"Davis Bertans, SF",54,29.3,1.81
"Paul George, F",48,29.6,1.7
"Jarrett Allen, C",70,26.5,1.64
"Lonzo Ball, PG",63,32.1,1.64
"Lou Williams, SG",65,28.7,1.63
"John Collins, PF",41,33.2,1.6
"Patty Mills, PG",66,22.5,1.59
"Paul Millsap, PF",51,24.3,1.54
"J.J. Barea, G",29,15.5,1.52
"Bogdan Bogdanovic, SG",61,29,1.51
"Tim Hardaway Jr., SF",71,29.5,1.48
"Hassan Whiteside, C",67,30,1.43
"Richaun Holmes, F",44,28.2,1.42
"Will Barton, G",58,33,1.41
"Jaylen Brown, SG",57,33.9,1.41
"Domantas Sabonis, PF",62,34.8,1.38
"Alex Caruso, SG",64,18.4,1.38
"Doug McDermott, SF",69,19.9,1.37
"D'Angelo Russell, PG",45,32.3,1.37
"George Hill, PG",59,21.5,1.37
"Goran Dragic, PG",59,28.2,1.37
"Enes Freedom, C",58,16.9,1.37
"Spencer Dinwiddie, PG",64,31.2,1.37
"Chris Clemons, G",33,8.8,1.33
"Jonas Valanciunas, C",70,26.4,1.32
"Dorian Finney-Smith, PF",71,29.9,1.3
"Ben Simmons, PG",57,35.4,1.29
"Kemba Walker, PG",56,31.1,1.26
"Jaylen Nowell, SG",15,10.1,1.22
"Terence Davis, SG",72,16.8,1.21
"Steven Adams, C",63,26.7,1.2
"John Konchar, SG",19,9.5,1.19
"Danny Green, F",68,24.8,1.17
"Isaac Bonga, G",66,18.9,1.16
"Malcolm Brogdon, PG",54,30.9,1.15
"Al Horford, C",67,30.2,1.11
"Luke Kennard, SG",28,32.9,1.1
"Damion Lee, SG",49,29,1.1
"Evan Fournier, SG",66,31.5,1.07
"Dion Waiters, G",10,20.7,0.99
"Jalen Brunson, PG",57,17.9,0.98
"Trae Young, PG",60,35.3,0.97
"Aaron Gordon, PF",62,32.5,0.97
"Derrick White, PG",68,24.7,0.95
"Mikal Bridges, SF",73,28,0.93
"Aaron Holiday, G",66,24.5,0.92
"Jamal Murray, PG",59,32.3,0.91
"Mike Muscala, C",47,12.2,0.89
"Chris Boucher, PF",62,13.2,0.89
"Deandre Ayton, C",38,32.5,0.84
"Bojan Bogdanovic, SF",63,33.1,0.83
"Dillon Brooks, SF",73,28.9,0.8
"Royce O'Neale, PF",71,28.9,0.79
"Thomas Bryant, C",46,24.9,0.79
"Jordan Clarkson, PG",71,24,0.77
"Willie Cauley-Stein, C",54,20.3,0.71
"T.J. Warren, SF",67,32.9,0.71
"Draymond Green, PF",43,28.4,0.7
"Joe Harris, SF",69,30.8,0.69
"Ryan Broekhoff, G",17,10.6,0.66
"David Nwaba, SF",20,13.4,0.66
"Kyle Anderson, SF",67,19.9,0.65
"Nerlens Noel, C",61,18.5,0.65
"Caleb Martin, SF",18,17.6,0.64
