Name,Games Played,Mins,RPM
"Karl-Anthony Towns, C",50,33.8,1.55
"Michael Porter Jr., SF",61,31.3,1.43
"Dillon Brooks, SF",67,29.8,1.42
"Derrick White, PG",36,29.6,1.41
"Myles Turner, C",47,31,1.4
"Deandre Ayton, C",69,30.7,1.38
"Evan Fournier, SG",42,30,1.35
"Jerami Grant, SF",54,33.9,1.35
"Andrew Wiggins, SF",71,33.3,1.31
"Dejounte Murray, SG",67,31.9,1.29
"Brandon Ingram, SF",61,34.3,1.28
"Kristaps Porzingis, C",43,30.9,1.27
"Victor Oladipo, SG",33,32.7,1.24
"Wayne Ellington, SG",46,22,1.24
"Patrick Beverley, PG",37,22.5,1.24
"OG Anunoby, SF",43,33.3,1.22
"Pascal Siakam, PF",56,35.8,1.22
"Seth Curry, SG",57,28.7,1.2
"Marcus Smart, PG",48,32.9,1.18
"Mason Plumlee, C",56,26.8,1.17
"Royce O'Neale, PF",71,31.5,1.16
"Draymond Green, PF",63,31.5,1.16
"Gordon Hayward, SF",44,34,1.15
"Caris LeVert, SG",47,31.6,1.14
"Grayson Allen, SG",50,25.2,1.1
"Nikola Vucevic, C",70,33.5,1.08
"Kentavious Caldwell-Pope, SG",67,28.4,1.07
"Norman Powell, G",69,32,1.06
"Reggie Jackson, PG",67,23,1.04
"D'Angelo Russell, PG",42,28.5,0.98
"Kelly Olynyk, PF",70,28.5,0.95
"Harrison Barnes, SF",58,36.2,0.94
"Richaun Holmes, F",61,29.2,0.94
"Malik Beasley, SG",37,32.8,0.94
"De'Andre Hunter, SF",23,29.5,0.92
"Ricky Rubio, PG",68,26.1,0.91
"Kendrick Nunn, G",56,29.5,0.89
"Dennis Schroder, PG",61,32.1,0.88
"Thomas Bryant, C",10,27.1,0.87
"Shai Gilgeous-Alexander, PG",35,33.7,0.86
"Paul Millsap, PF",56,20.8,0.84
"Kevin Huerter, SG",69,30.8,0.81
"Mike Muscala, C",35,18.4,0.76
"Chris Boucher, PF",60,24.2,0.74
"Al Horford, C",28,27.9,0.74
"Dorian Finney-Smith, PF",60,32,0.71
"Ivica Zubac, C",72,22.3,0.7
"RJ Barrett, SG",72,34.9,0.68
"Khyri Thomas, SG",5,30.6,0.66
"Saddiq Bey, SF",70,27.3,0.66
"Sam Merrill, SG",30,7.8,0.64
"LaMelo Ball, PG",51,28.8,0.6
"Aaron Gordon, PF",50,27.7,0.54
"Luguentz Dort, G",52,29.7,0.52
"Nicolas Batum, PF",67,27.4,0.5
"Eric Gordon, SG",27,29.2,0.48
"Mychal Mulder, G",60,12.8,0.47
"De'Anthony Melton, SG",52,20.1,0.45
"Ja Morant, PG",63,32.6,0.41
"Georges Niang, SF",72,16,0.4
"Ty Jerome, SG",33,23.9,0.37
"Kelan Martin, SG",35,9.2,0.35
"Doug McDermott, SF",66,24.5,0.34
"Jae'Sean Tate, SF",70,29.2,0.34
"Mason Jones, G",32,10.4,0.34
"Jarrett Allen, C",63,29.6,0.32
"Davis Bertans, SF",57,25.7,0.32
"Eric Bledsoe, SG",71,29.7,0.29
"Serge Ibaka, F",41,23.3,0.29
"Jakob Poeltl, C",69,26.7,0.28
"Kyle Kuzma, SF",68,28.7,0.24
"Justin Holiday, SF",72,30.3,0.23
"Cameron Johnson, SF",60,24,0.21
"Max Strus, SG",39,13,0.17
"Tim Hardaway Jr., SF",70,28.4,0.16
"Daniel Theis, C",65,24.6,0.13
"Cameron Payne, PG",60,18,0.13
"Collin Sexton, PG",60,35.3,0.08
"John Wall, PG",40,32.2,0.08
"Jusuf Nurkic, C",37,23.8,0.04
"Ersan Ilyasova, PF",17,8.7,0.04
"Jordan Clarkson, PG",68,26.7,0.04
"Isaiah Joe, SG",41,9.3,0.03
"Trevor Ariza, SF",30,28,0.02
"Kevin Love, PF",25,24.9,0.01
"Daniel Gafford, C",54,14.6,-0.01
"Monte Morris, PG",47,25.4,-0.01
"Keldon Johnson, SF",69,28.5,-0.03
"Will Barton, G",56,31,-0.08
"Miles Bridges, SF",66,29.3,-0.12
"Lauri Markkanen, PF",51,25.8,-0.12
"Robert Covington, PF",70,32,-0.14
"Oshae Brissett, SF",21,24.7,-0.14
"Rudy Gay, SF",63,21.6,-0.15
"Furkan Korkmaz, SG",55,19.3,-0.15
"Gary Trent Jr., SG",58,31.1,-0.15
"Darius Miller, SF",18,10.9,-0.16
"Rodney McGruder, G",16,12.1,-0.17
"Carsen Edwards, PG",31,8.9,-0.25
"Bryn Forbes, SG",70,19.3,-0.3
"Langston Galloway, SG",40,11,-0.3
"Desmond Bane, SG",68,22.3,-0.3
"Kyle Guy, SG",31,7.6,-0.35
"Alize Johnson, F",18,10.5,-0.35
"Tyler Johnson, G",39,17.5,-0.36
"Jarrell Brantley, PF",28,4.9,-0.36
"David Nwaba, SF",30,22.6,-0.38
"Cameron Oliver, F",4,21.8,-0.38
"Donta Hall, F",13,13.8,-0.39
"Frank Jackson, G",40,18.5,-0.41
"Jarred Vanderbilt, PF",64,17.8,-0.41
"Justin Robinson, F",9,9.8,-0.47
"Goran Dragic, PG",50,26.7,-0.49
"Jaxson Hayes, C",60,16.1,-0.5
"Juan Toscano-Anderson, F",53,20.9,-0.5
"Brandon Clarke, PF",59,24,-0.52
"Immanuel Quickley, SG",64,19.4,-0.53
"James Ennis III, F",41,24,-0.53
"PJ Dozier, G",50,21.8,-0.54
"Jevon Carter, PG",60,12,-0.54
"Jeff Green, PF",68,27,-0.56
"Garrett Temple, SF",56,27.3,-0.59
"Landry Shamet, SG",61,23,-0.59
"Darius Bazley, PF",55,31.2,-0.6
"Cody Zeller, C",48,20.9,-0.61
"Ben McLemore, SG",53,17.1,-0.61
"Markieff Morris, PF",61,19.7,-0.63
"Patrick Patterson, PF",38,15.3,-0.63
"Bruce Brown, SF",65,22.3,-0.63
"Marvin Bagley III, PF",43,25.9,-0.64
"Facundo Campazzo, G",65,21.9,-0.65
"Damion Lee, SG",57,18.9,-0.67
"Maxi Kleber, PF",50,26.8,-0.69
"Paul Watson, SG",27,11,-0.69
"Marc Gasol, C",52,19.1,-0.7
"Svi Mykhailiuk, SG",66,20.1,-0.7
"Blake Griffin, PF",46,25.8,-0.71
"Malachi Flynn, PG",47,19.7,-0.72
"Malik Monk, SG",42,20.9,-0.73
"Goga Bitadze, C",45,12.5,-0.73
"Gabriel Deck, SF",10,21.2,-0.73
"Kelly Oubre Jr., SG",55,30.7,-0.73
"Elijah Hughes, F",18,3.6,-0.73
"Steven Adams, C",58,27.7,-0.74
"Rui Hachimura, PF",57,31.5,-0.74
"Darius Garland, PG",54,33.1,-0.76
"Alfonzo McKinnie, F",39,6.6,-0.79
"Willie Cauley-Stein, C",53,17.1,-0.8
"Montrezl Harrell, C",69,22.9,-0.81
"Henry Ellenson, PF",2,19,-0.81
"Armoni Brooks, G",20,26,-0.81
"Frank Kaminsky, PF",47,15.2,-0.82
"Kent Bazemore, SF",67,19.9,-0.82
"Killian Tillie, SF",18,10.1,-0.83
"DeMar DeRozan, SF",61,33.7,-0.83
"Tyler Herro, PG",54,30.3,-0.83
"Josh Hart, SG",47,28.7,-0.83
"Josh Richardson, SG",59,30.3,-0.84
"Tyus Jones, PG",70,17.5,-0.84
"Justin James, G",36,8.6,-0.85
"Edmond Sumner, PG",53,16.2,-0.85
"Tyrese Maxey, PG",61,15.3,-0.86
"Patty Mills, PG",68,24.8,-0.87
"Dewayne Dedmon, C",16,13.1,-0.88
"Pat Connaughton, SG",69,22.8,-0.88
"Yogi Ferrell, PG",10,13.7,-0.89
"Shake Milton, SG",63,23.2,-0.9
"Bobby Portis, F",66,20.8,-0.91
"Abdel Nader, SF",24,14.8,-0.92
"Jeremy Lamb, SG",36,21.3,-0.92
"Coby White, PG",69,31.2,-0.93
"Robert Franks, G",7,14.4,-0.94
"Alex Len, C",64,15.3,-0.94
"Jordan Nwora, SF",30,9.1,-0.95
"Kenrich Williams, SF",66,21.6,-0.96
"Robert Williams III, C",52,18.9,-0.97
"Spencer Dinwiddie, PG",3,21.3,-0.97
"Matisse Thybulle, SG",65,20,-0.97
"Jalen Harris, G",13,13.2,-0.97
"Alec Burks, SG",49,25.6,-0.98
"Matt Thomas, SG",45,7.3,-1
"George Hill, PG",30,22.4,-1
"Josh Jackson, SG",62,25.2,-1.01
"Skylar Mays, SG",33,8.2,-1.01
"JJ Redick, SG",44,16.4,-1.02
"Enes Freedom, C",72,24.4,-1.02
"Justin Jackson, SF",34,17,-1.02
"DeAndre Jordan, C",57,21.9,-1.02
"Willy Hernangomez, C",47,18,-1.04
"Delon Wright, SG",63,27.7,-1.05
"Nic Claxton, C",32,18.6,-1.05
"Robert Woodard II, F",13,3.5,-1.06
"Luke Kornet, C",31,11.2,-1.08
"Jalen Brunson, PG",68,25,-1.08
"Nickeil Alexander-Walker, SG",46,21.9,-1.1
"Danilo Gallinari, PF",51,24,-1.1
"Robin Lopez, C",71,19.1,-1.11
"Cassius Winston, PG",22,4.5,-1.11
"Gorgui Dieng, C",38,14.6,-1.12
"Mo Bamba, C",46,15.8,-1.13
"Jahmi'us Ramsey, SG",13,7.2,-1.13
"Isaiah Stewart, C",68,21.4,-1.14
"Anthony Edwards, SG",72,32.1,-1.14
"Jaylen Hoard, F",19,16.8,-1.14
"Mamadi Diakite, F",14,10.1,-1.14
"Alex Caruso, SG",58,21,-1.15
"Dean Wade, PF",63,19.2,-1.16
"Trey Lyles, PF",23,15.6,-1.16
"Kevon Looney, F",61,19,-1.16
"Yuta Watanabe, SF",50,14.5,-1.17
"Raul Neto, PG",64,21.9,-1.19
"Didi Louzada, G",3,18.7,-1.19
"Nerlens Noel, C",64,24.2,-1.21
"Naz Reid, C",70,19.2,-1.22
"Terence Davis, SG",61,17.6,-1.23
"Wesley Matthews, SG",58,19.5,-1.24
"JaMychal Green, F",58,19.3,-1.27
"Louis King, SF",6,14.2,-1.27
"Moritz Wagner, C",45,16,-1.28
"Denzel Valentine, G",62,16.7,-1.28
"Derrick Jones Jr., SF",58,22.7,-1.28
"Dakota Mathias, G",8,15.4,-1.28
"Boban Marjanovic, C",33,8.2,-1.3
"Deni Avdija, SF",54,23.3,-1.32
"Chuma Okeke, PF",45,25.2,-1.32
"Dario Saric, PF",50,17.4,-1.32
"Jake Layman, F",45,13.9,-1.32
"John Konchar, SG",43,13.4,-1.34
"Garrison Mathews, SG",64,16.2,-1.34
"Amir Coffey, SG",44,9,-1.35
"Payton Pritchard, PG",66,19.2,-1.36
"Bol Bol, C",32,5,-1.36
"Cedi Osman, SF",59,25.6,-1.36
"Xavier Tillman, F",59,18.4,-1.38
"Andre Drummond, C",46,27,-1.38
"Dwight Powell, C",58,16.7,-1.38
"Paul Reed, SF",26,6.8,-1.41
"Anthony Gill, PF",26,8.4,-1.42
"Gary Harris, SG",39,27.7,-1.43
"Taurean Prince, PF",41,22.1,-1.43
"Eric Paschall, F",40,17.4,-1.43
"Damyean Dotson, SG",46,19.7,-1.44
"Sterling Brown, SF",51,24.1,-1.44
"Thaddeus Young, PF",68,24.3,-1.45
"CJ Elleby, SG",30,6.4,-1.46
"Anthony Lamb, F",24,17.3,-1.47
"Miye Oni, SG",54,9.6,-1.48
"Jaren Jackson Jr., PF",11,23.5,-1.48
"Juancho Hernangomez, PF",52,17.3,-1.49
"Larry Nance Jr., PF",35,31.2,-1.5
"Luke Kennard, SG",63,19.6,-1.53
"Cassius Stanley, G",24,3.9,-1.53
"P.J. Washington, PF",64,30.5,-1.55
"Ryan Arcidiacono, G",44,10.2,-1.56
"Jaden McDaniels, PF",63,24,-1.56
"Nemanja Bjelica, PF",37,16.1,-1.56
"Tremont Waters, G",26,9.2,-1.58
"Mfiondu Kabengele, C",39,7.2,-1.58
"Isaac Okoro, SF",67,32.4,-1.58
"Elfrid Payton, G",63,23.6,-1.58
"James Nunnally, SF",9,5.3,-1.59
"Naji Marshall, SF",32,21.9,-1.59
"Obi Toppin, PF",62,11,-1.6
"Dwayne Bacon, G",72,25.7,-1.6
"Khem Birch, C",67,22.8,-1.6
"Markus Howard, PG",37,5.5,-1.6
"Marquese Chriss, SF",2,13.5,-1.62
"Terrence Ross, G",46,29.3,-1.62
"Mike James, PG",13,18.2,-1.62
"Ish Smith, PG",44,21,-1.64
"Wendell Carter Jr., C",54,25.5,-1.64
"Devin Cannady, G",8,9.3,-1.66
"Rajon Rondo, PG",45,17.1,-1.66
"Otto Porter Jr., SF",28,21.7,-1.66
"Trey Burke, PG",62,14.7,-1.66
"Timothe Luwawu-Cabarrot, SG",58,18.1,-1.67
"LaMarcus Aldridge, C",26,25.9,-1.67
"Anfernee Simons, SG",64,17.3,-1.7
"Thon Maker, F",8,9.5,-1.72
"Isaiah Thomas, G",3,16,-1.75
"Tyrese Haliburton, PG",58,30.1,-1.75
"Tomas Satoransky, SG",58,22.5,-1.75
"Marcus Morris Sr., SF",57,26.4,-1.77
"Taj Gibson, F",45,20.8,-1.77
"Aaron Holiday, G",66,17.8,-1.77
"D.J. Augustin, G",57,19.8,-1.79
"Dennis Smith Jr., PG",23,18.3,-1.79
"Carmelo Anthony, PF",69,24.5,-1.81
"Josh Okogie, SF",59,20.3,-1.81
"Gary Payton II, SG",10,4,-1.82
"Bismack Biyombo, C",66,20.4,-1.83
"Kevin Knox II, SF",42,11,-1.83
"Andre Iguodala, F",63,21.3,-1.84
"Moses Brown, C",43,21.4,-1.85
"Tony Bradley, C",42,16.3,-1.86
"Jaylen Nowell, SG",42,18.1,-1.86
"Derrick Rose, PG",50,25.6,-1.87
"Alen Smailagic, PF",15,5.6,-1.88
"James Johnson, PF",51,20.5,-1.89
"Quinn Cook, PG",23,6.8,-1.9
"Talen Horton-Tucker, SG",65,20.1,-1.9
"DeMarcus Cousins, C",41,17.4,-1.91
"Nathan Knight, F",33,8.5,-1.91
"Hamidou Diallo, SG",52,23.6,-1.91
"Meyers Leonard, C",3,9.7,-1.92
"Gabe Vincent, PG",50,13.1,-1.92
"Damian Jones, C",39,14,-1.93
"Deividas Sirvydis, F",20,6.7,-1.94
"Zeke Nnaji, PF",42,9.5,-1.95
"Austin Rivers, SG",36,23.5,-1.95
"Matthew Dellavedova, PG",13,17.2,-1.96
"JaKarr Sampson, SF",29,10.9,-1.98
"Terance Mann, SG",67,18.9,-1.99
"Mitchell Robinson, C",31,27.5,-2
"Nico Mannion, PG",30,12.1,-2
"Luka Samanic, F",33,9.3,-2
"Caleb Martin, SF",53,15.4,-2.02
"Dwight Howard, C",69,17.3,-2.03
"Precious Achiuwa, PF",61,12.1,-2.03
"Andre Roberson, F",5,12.6,-2.03
"Cristiano Felicio, PF",18,4.7,-2.03
"Isaiah Hartenstein, C",46,12.2,-2.04
"T.J. McConnell, PG",69,26,-2.04
"Drew Eubanks, PF",54,14,-2.06
"Devin Vassell, SG",62,17,-2.08
"Semi Ojeleye, PF",56,17,-2.09
"Cody Martin, SF",52,16.3,-2.1
"Tony Snell, SF",47,21.1,-2.11
"Sean McDermott, F",18,8.8,-2.11
"Jarrett Culver, G",34,14.7,-2.11
"Jabari Parker, PF",13,12.7,-2.12
"Frank Ntilikina, PG",33,9.8,-2.13
"Aron Baynes, C",53,18.5,-2.13
"Patrick Williams, PF",71,27.9,-2.14
"Rayjon Tucker, G",14,4.9,-2.15
"Nate Hinton, G",21,4.4,-2.15
"T.J. Warren, SF",4,29.3,-2.16
"Freddie Gillespie, SF",20,19.6,-2.17
"Brandon Goodwin, G",47,13.2,-2.17
"Axel Toupane, SG",8,7.6,-2.18
"Theo Pinson, G",17,2,-2.19
"Devon Dotson, G",11,4.5,-2.19
"Tristan Thompson, C",54,23.8,-2.19
"Kevin Porter Jr., G",26,32.1,-2.19
"Dylan Windler, SG",31,16.5,-2.2
"Jalen Smith, PF",27,5.8,-2.2
"Sindarius Thornwell, SG",21,10.3,-2.2
"Ray Spalding, F",2,9.5,-2.22
"Jeff Teague, PG",55,17.3,-2.22
"Javonte Green, SF",41,11.6,-2.22
"Jahlil Okafor, C",27,12.9,-2.23
"Al-Farouq Aminu, SF",23,18.9,-2.23
"Cory Joseph, PG",63,23,-2.23
"Keita Bates-Diop, SF",30,8.2,-2.24
"Chimezie Metu, PF",36,13.6,-2.25
"Aaron Nesmith, SF",46,14.5,-2.25
"Adam Mokoka, SG",14,4,-2.26
"Lou Williams, SG",66,21.6,-2.26
"Jordan Bone, G",14,14,-2.27
"Devontae Cacok, PF",20,4.9,-2.28
"Justise Winslow, PF",26,19.5,-2.3
"Tyler Cook, F",32,13.7,-2.3
"Avery Bradley, PG",27,22.3,-2.3
"James Wiseman, C",39,21.4,-2.3
"Theo Maledon, PG",65,27.4,-2.31
"Wenyen Gabriel, F",21,11.5,-2.31
"Jordan McLaughlin, PG",51,18.4,-2.32
"Mike Scott, PF",51,16.7,-2.34
"Grant Riller, G",7,3.9,-2.35
"Lonnie Walker IV, G",60,25.4,-2.36
"Hassan Whiteside, C",36,15.2,-2.38
"Bruno Caboclo, F",6,6,-2.38
"Tyrell Terry, PG",11,5.1,-2.38
"Reggie Perry, F",26,8.1,-2.39
"Nicolo Melli, PF",45,12.6,-2.45
"Dante Exum, G",6,19.3,-2.45
"DeAndre' Bembry, SG",51,19.1,-2.47
"Jay Scrubb, G",4,21,-2.47
"Derrick Favors, F",68,15.3,-2.48
"Maurice Harkless, SF",37,20.9,-2.49
"Chris Silva, F",15,6.1,-2.49
"Nate Darling, G",7,3.7,-2.49
"Cole Anthony, PG",47,27.1,-2.5
"Marques Bolden, C",6,4.8,-2.5
"Ignas Brazdeikis, SF",13,19.2,-2.5
"Torrey Craig, SF",50,16.1,-2.5
"Onyeka Okongwu, PF",50,12,-2.57
"Rondae Hollis Jefferson, SF",11,9.7,-2.58
"Nassir Little, SF",48,13.3,-2.58
"Jalen McDaniels, PF",47,19.2,-2.6
"Rodions Kurucs, SF",21,6,-2.61
"Patrick McCaw, SF",5,6.6,-2.62
"Brodric Thomas, G",32,12.5,-2.62
"Quinndary Weatherspoon, G",20,6.1,-2.63
"Ty-Shon Alexander, SG",15,3.1,-2.63
"Glenn Robinson III, F",23,16,-2.66
"Michael Carter-Williams, G",31,25.8,-2.66
"Isaiah Roby, F",61,23.4,-2.69
"Anderson Varejao, C",5,7.2,-2.7
"Justin Patton, C",13,19,-2.71
"Norvel Pelle, PF",13,6.4,-2.73
"JaVale McGee, C",46,14.7,-2.74
"Jordan Bell, F",6,13.7,-2.77
"DaQuan Jeffries, SG",31,15.9,-2.78
"Terrance Ferguson, SF",13,3.8,-2.78
"Jaylen Adams, G",7,2.6,-2.79
"Stanley Johnson, SF",61,16.5,-2.8
"Troy Brown Jr., SF",34,15.4,-2.8
"Jerome Robinson, SG",17,17.9,-2.82
"Cam Reddish, SF",26,28.8,-2.83
"Kira Lewis Jr., PG",54,16.7,-2.84
"Vlatko Cancar, SF",41,6.9,-2.84
"D.J. Wilson, F",35,12.4,-2.85
"Sekou Doumbouya, SF",56,15.5,-2.86
"Tacko Fall, C",19,7.2,-2.87
"Solomon Hill, SF",71,21.3,-2.88
"Isaac Bonga, G",40,10.8,-2.91
"Tyler Bey, SF",18,3.9,-2.92
"Danuel House Jr., SF",36,25.9,-2.94
"Chandler Hutchison, SF",25,13.8,-2.95
"Thanasis Antetokounmpo, SF",57,9.7,-2.95
"Grant Williams, PF",63,18.1,-2.95
"Juwan Morgan, F",29,5.1,-2.96
"Iman Shumpert, G",2,5.5,-3
"Frank Mason III, G",4,19.8,-3.01
"Jared Dudley, SF",12,6.8,-3.03
"Vernon Carey Jr., C",19,6.1,-3.05
"Ed Davis, C",23,13,-3.05
"Markelle Fultz, PG",8,26.9,-3.06
"Brad Wanamaker, PG",61,17.3,-3.06
"Tim Frazier, PG",5,12.4,-3.07
"Gary Clark, F",39,16.8,-3.09
"Amida Brimah, C",5,5.8,-3.09
"Daniel Oturu, C",30,5.4,-3.1
"E'Twaun Moore, G",27,14.4,-3.11
"Nick Richards, C",18,3.5,-3.12
"KJ Martin, F",45,23.7,-3.13
"Anthony Tolliver, PF",11,9,-3.14
"T.J. Leaf, PF",7,5,-3.19
"Lamar Stevens, PF",40,12.5,-3.23
"Vincent Poirier, C",10,3.9,-3.27
"Charlie Brown Jr., G",7,14.1,-3.27
"Jontay Porter, C",11,4.9,-3.28
"Karim Mane, SG",10,8.8,-3.29
"Josh Green, SG",39,11.4,-3.34
"Kostas Antetokounmpo, F",15,3.7,-3.39
"Keljin Blevins, SF",17,4.4,-3.39
"Brian Bowen II, F",6,2.5,-3.39
"Kris Dunn, G",4,11.3,-3.42
"Saben Lee, G",48,16.3,-3.43
"Harry Giles III, F",38,9.2,-3.51
"Greg Whittington, SF",4,3,-3.52
"Trent Forrest, G",30,10.1,-3.53
"Bruno Fernando, PF",33,6.8,-3.53
"Aleksej Pokusevski, F",45,24.2,-3.54
"Udoka Azubuike, C",15,3.8,-3.54
"Jalen Lecque, G",4,3,-3.57
"Tre Jones, PG",37,7.3,-3.58
"Tre Jones, PG",37,7.3,-3.58
"KZ Okpala, SF",37,12.1,-3.68
"Josh Hall, SF",21,16,-3.72
"Shaquille Harrison, G",34,9.8,-3.76
"Killian Hayes, PG",26,25.8,-3.94
"Wes Iwundu, F",41,13.1,-3.96
"Chasson Randle, G",41,20.4,-4.05
"R.J. Hampton, G",51,17.4,-4.06
"Jeremiah Martin, PG",9,8.3,-4.09
"P.J. Tucker, PF",52,26.1,-4.11
"Romeo Langford, SG",18,15.7,-4.34
"Noah Vonleh, PF",4,2.8,-4.38
"Rodney Hood, SG",55,17.1,-4.55
"Malik Fitts, F",3,3.7,-4.55
