Name,Games Played,Mins,RPM
"Stephen Curry, PG",63,34.2,7.18
"LeBron James, SF",45,33.4,6.73
"Rudy Gobert, C",71,30.8,6.55
"Paul George, F",54,33.7,5.45
"Giannis Antetokounmpo, PF",61,33,5.09
"Nikola Jokic, C",72,34.6,5.08
"Joel Embiid, C",51,31.1,5.02
"James Harden, SG",44,36.6,4.97
"Damian Lillard, PG",67,35.8,4.97
"Lonzo Ball, PG",55,31.8,4.46
"Mike Conley, PG",51,29.4,4.37
"Fred VanVleet, PG",52,36.5,4.05
"Kyle Lowry, PG",46,34.8,4.02
"Kevin Durant, PF",35,33.1,3.95
"Devonte' Graham, PG",55,30.2,3.88
"CJ McCollum, SG",47,34,3.87
"Ben Simmons, PG",58,32.4,3.67
"Chris Paul, PG",70,31.4,3.54
"Jamal Murray, PG",48,35.5,3.48
"Kyrie Irving, PG",54,34.9,3.44
"Jimmy Butler, SF",52,33.6,3.4
"Julius Randle, PF",71,37.6,3.4
"Joe Harris, SF",69,31,3.4
"Clint Capela, C",63,30.1,3.35
"Zion Williamson, PF",61,33.2,3.2
"Christian Wood, F",41,32.3,3.14
"Bam Adebayo, C",64,33.5,3.01
"Luka Doncic, PG",66,34.3,2.96
"Duncan Robinson, F",72,31.4,2.89
"Terry Rozier, SG",69,34.5,2.88
"Jaylen Brown, SG",58,34.5,2.81
"Danny Green, F",69,28,2.8
"De'Aaron Fox, PG",58,35.1,2.66
"Kyle Anderson, SF",69,27.3,2.6
"Jrue Holiday, PG",59,32.3,2.57
"Kawhi Leonard, SF",52,34.1,2.55
"Donovan Mitchell, SG",53,33.4,2.5
"Zach LaVine, SG",58,35.1,2.47
"Tobias Harris, PF",62,32.5,2.45
"Jayson Tatum, SF",64,35.8,2.44
"Donte DiVincenzo, SG",66,27.5,2.36
"Bogdan Bogdanovic, SG",44,29.7,2.3
"Buddy Hield, SG",71,34.3,2.26
"Devin Booker, SG",67,33.9,2.23
"Trae Young, PG",63,33.7,2.22
"Mikal Bridges, SF",72,32.6,2.21
"Jonas Valanciunas, C",62,28.3,2.19
"John Collins, PF",63,29.3,2.15
"Russell Westbrook, PG",65,36.4,2.03
"Bojan Bogdanovic, SF",72,30.8,1.97
"Malcolm Brogdon, PG",56,34.5,1.97
"Khris Middleton, SF",68,33.4,1.95
"Reggie Bullock Jr., SF",65,30,1.94
"Domantas Sabonis, PF",62,36,1.93
"Anthony Davis, PF",36,32.3,1.93
"Bradley Beal, SG",60,35.8,1.9
"Kemba Walker, PG",43,31.8,1.88
"Chris Chiozza, G",22,10.5,1.78
"Jae Crowder, PF",60,27.5,1.74
"Joe Ingles, SG",67,27.9,1.7
"Brook Lopez, C",70,27.2,1.69
"Jordan Poole, SG",51,19.4,1.62
