Name,Games Played,Mins,RPM
"Nikola Jokic, C",74,33.5,11.78
"Joel Embiid, C",68,33.8,9.83
"Stephen Curry, PG",64,34.5,9.48
"Jayson Tatum, SF",76,35.9,8.96
"Giannis Antetokounmpo, PF",67,32.9,8.18
"Rudy Gobert, C",66,32.1,7.95
"Trae Young, PG",76,34.9,6.95
"Chris Paul, PG",65,32.9,6.66
"Luka Doncic, PG",65,35.4,6.5
"Mike Conley, PG",72,28.6,6.23
"Donovan Mitchell, SG",67,33.8,6.16
"Jaren Jackson Jr., PF",78,27.3,6.14
"LeBron James, SF",56,37.2,6.09
"Kevin Durant, PF",55,37.2,6.07
"Al Horford, C",69,29.1,5.94
"Kristaps Porzingis, C",51,29,5.85
"Desmond Bane, SG",76,29.8,5.43
"Clint Capela, C",74,27.6,5.38
"Fred VanVleet, PG",65,37.9,5.22
"Jaylen Brown, SG",66,33.6,5.16
"Pascal Siakam, PF",68,37.9,5.11
"Karl-Anthony Towns, C",74,33.4,5.01
"Devin Booker, SG",68,34.5,4.93
"Darius Garland, PG",68,35.7,4.88
"Robert Williams III, C",61,29.6,4.82
"Domantas Sabonis, PF",62,34.5,4.81
"D'Angelo Russell, PG",65,32,4.74
"Dejounte Murray, SG",68,34.8,4.74
"James Harden, SG",65,37.2,4.62
"Duncan Robinson, F",79,25.9,4.57
"Monte Morris, PG",75,29.9,4.55
"Miles Bridges, SF",80,35.5,4.51
"Jae Crowder, PF",67,28.1,4.5
"Bam Adebayo, C",56,32.6,4.45
"LaMelo Ball, PG",75,32.3,4.43
"Terry Rozier, SG",73,33.7,4.32
"Mitchell Robinson, C",72,25.7,4.25
"Kyle Lowry, PG",63,33.9,4.23
"Jimmy Butler, SF",57,33.9,4.19
"Jonas Valanciunas, C",74,30.3,4.1
"Nikola Vucevic, C",73,33.1,4.08
"Aaron Gordon, PF",75,31.7,4.08
"Jarrett Allen, C",56,32.3,4.03
"DeMar DeRozan, SF",76,36.1,3.87
"Wendell Carter Jr., C",62,29.9,3.81
"Gary Trent Jr., SG",70,35,3.73
"Mikal Bridges, SF",82,34.8,3.71
"Reggie Jackson, PG",75,31.2,3.67
"Andrew Wiggins, SF",73,31.9,3.64
"Shai Gilgeous-Alexander, PG",56,34.7,3.61
"Myles Turner, C",42,29.4,3.61
"Will Barton, G",71,32.1,3.59
"Jusuf Nurkic, C",56,28.2,3.43
"Tyrese Maxey, PG",75,35.3,3.43
"Anthony Edwards, SG",72,34.3,3.38
"Ja Morant, PG",57,33.1,3.28
"Tobias Harris, PF",73,34.8,3.16
"Saddiq Bey, SF",82,33,3.14
"Christian Wood, F",68,30.8,3.13
"Paul George, F",31,34.7,3.13
"Evan Mobley, PF",69,33.8,3.11
"Kevon Looney, F",82,21.1,3.1
"Anthony Davis, PF",40,35.1,3.02
"Dwight Powell, C",82,21.9,3.02
"John Collins, PF",54,30.8,3
"CJ McCollum, SG",62,34.6,2.99
"Zach LaVine, SG",67,34.7,2.98
"Marcus Smart, PG",71,32.3,2.97
"Evan Fournier, SG",80,29.5,2.94
"Deandre Ayton, C",58,29.5,2.94
"Khris Middleton, SF",66,32.4,2.9
"Ivica Zubac, C",76,24.4,2.87
"Dorian Finney-Smith, PF",80,33.1,2.83
"Nicolas Batum, PF",59,24.8,2.81
"Bojan Bogdanovic, SF",69,30.9,2.71
"Tyrese Haliburton, PG",77,35,2.7
"Steven Adams, C",76,26.3,2.65
"Scottie Barnes, SF",74,35.4,2.62
"Mason Plumlee, C",73,24.6,2.62
"Klay Thompson, SG",32,29.4,2.58
"Russell Westbrook, PG",78,34.3,2.54
"Patrick Beverley, PG",58,25.4,2.44
"Kyrie Irving, PG",29,37.7,2.35
"Bobby Portis, F",72,28.2,2.34
"Mo Bamba, C",71,25.7,2.31
"Jrue Holiday, PG",67,32.9,2.22
"Jordan Poole, SG",76,30,2.16
"Brandon Ingram, SF",55,34,2.15
"Devonte' Graham, PG",76,28.4,2.15
"Lauri Markkanen, PF",61,30.8,2.1
"Seth Curry, SG",64,33.3,2.1
"Jae'Sean Tate, SF",78,26.4,2.08
"Derrick White, PG",75,29.3,2.05
"Josh Hart, SG",54,33.2,2.05
"OG Anunoby, SF",48,36,2.04
"Spencer Dinwiddie, PG",67,29.6,1.97
"Jakob Poeltl, C",68,29,1.96
"Kentavious Caldwell-Pope, SG",77,30.2,1.93
"Damian Lillard, PG",29,36.4,1.86
"P.J. Tucker, PF",71,27.9,1.84
"Kyle Kuzma, SF",66,33.4,1.82
"Jerami Grant, SF",47,31.9,1.79
"Malcolm Brogdon, PG",36,33.5,1.76
"Royce O'Neale, PF",77,31.2,1.76
"Harrison Barnes, SF",77,33.6,1.74
"Keldon Johnson, SF",75,31.9,1.71
"Julius Randle, PF",72,35.3,1.64
"Bogdan Bogdanovic, SG",63,29.3,1.64
"Franz Wagner, SF",79,30.7,1.6
"Kevin Porter Jr., G",61,31.3,1.47
"Luguentz Dort, G",51,32.6,1.29
"Jalen Brunson, PG",79,31.9,1.2
"Andre Drummond, C",73,19.7,1.15
"Matisse Thybulle, SG",66,25.5,1.15
"Grayson Allen, SG",66,27.3,1.14
"Robert Covington, PF",71,27.3,1.13
"RJ Barrett, SG",70,34.5,1.1
"Dillon Brooks, SF",32,27.7,1.1
"Josh Giddey, SG",54,31.5,0.98
"Kevin Huerter, SG",74,29.6,0.91
"Jarred Vanderbilt, PF",74,25.4,0.89
"Gary Payton II, SG",71,17.6,0.86
"Cade Cunningham, PG",64,32.6,0.8
"Cole Anthony, PG",65,31.7,0.67
"Jeff Green, PF",75,24.7,0.6
"DeMarcus Cousins, C",48,14.9,0.6
"Terence Davis, SG",30,17.9,0.52
"Daniel Gafford, C",72,20.1,0.46
"Herbert Jones, SF",78,29.9,0.46
"Lindy Waters III, F",25,18.6,0.39
"Caris LeVert, SG",58,30.7,0.39
"Tyus Jones, PG",73,21.2,0.37
"Otto Porter Jr., SF",63,22.1,0.36
"Justin Holiday, SF",74,27.8,0.29
"De'Aaron Fox, PG",59,35.3,0.24
"Moritz Wagner, C",63,15.2,0.22
"Draymond Green, PF",46,28.9,0.11
"Isaiah Roby, F",45,21.1,0.09
"Mike Muscala, C",43,13.8,0.06
"Bradley Beal, SG",40,36,0.05
"Gabe Vincent, PG",68,23.4,0.03
"Alec Burks, SG",81,28.6,0.01
"Patty Mills, PG",81,29,-0.03
"Kelly Oubre Jr., SG",76,26.3,-0.09
"Lonzo Ball, PG",35,34.6,-0.1
"Goga Bitadze, C",50,14.6,-0.1
"Jose Alvarado, PG",54,15.4,-0.13
"P.J. Washington, PF",65,27.2,-0.2
"Blake Griffin, PF",56,17.1,-0.23
"Corey Kispert, SF",77,23.4,-0.25
"Isaiah Stewart, C",71,25.6,-0.28
"Obi Toppin, PF",72,17.1,-0.29
"Dean Wade, PF",51,19.2,-0.29
"Anfernee Simons, SG",57,29.5,-0.31
"Isaac Okoro, SF",67,29.6,-0.32
"Jalen Green, SG",67,31.9,-0.35
"Gordon Hayward, SF",49,31.9,-0.4
"Darius Bazley, PF",69,27.9,-0.44
"Javonte Green, SF",65,23.4,-0.49
"De'Anthony Melton, SG",73,22.7,-0.54
"Jalen Smith, PF",51,18.1,-0.55
"Kevin Love, PF",74,22.5,-0.57
"Max Strus, SG",68,23.3,-0.58
"Cameron Johnson, SF",66,26.2,-0.59
"Brandon Clarke, PF",64,19.5,-0.68
"Marcus Morris Sr., SF",54,29,-0.7
"Terance Mann, SG",81,28.6,-0.72
"Chimezie Metu, PF",60,21.3,-0.73
"Montrezl Harrell, C",71,23.1,-0.77
"Kemba Walker, PG",37,25.6,-0.8
"Nassir Little, SF",42,25.9,-0.81
"Gorgui Dieng, C",44,8.4,-0.82
"Norman Powell, G",45,32.4,-0.82
"JaVale McGee, C",74,15.8,-0.83
"Frank Kaminsky, PF",9,20.1,-0.85
"Bruce Brown, SF",72,24.6,-0.85
"Andre Iguodala, F",31,19.5,-0.86
"Chris Boucher, PF",80,21.1,-0.87
"Isaiah Hartenstein, C",68,17.9,-0.87
"Garrison Mathews, SG",65,26.3,-0.92
"Reggie Bullock Jr., SF",68,28,-0.93
"Chuma Okeke, PF",70,25,-0.95
"Sam Merrill, SG",6,9.7,-0.97
"Buddy Hield, SG",81,30.9,-1
"Malik Monk, SG",76,28.1,-1.01
"Ty Jerome, SG",48,16.7,-1.02
"Aleksej Pokusevski, F",61,20.2,-1.02
"Hassan Whiteside, C",65,17.9,-1.08
"Tim Hardaway Jr., SF",42,29.6,-1.09
"Jaxson Hayes, C",70,20,-1.11
"Danilo Gallinari, PF",66,25.3,-1.14
"Devin Vassell, SG",71,27.3,-1.17
"Trevelin Queen, SG",10,7.4,-1.18
"Hamidou Diallo, SG",58,21.9,-1.19
"Maxi Kleber, PF",59,24.6,-1.19
"Jeremiah Robinson-Earl, F",49,22.2,-1.24
"Amir Coffey, SG",69,22.7,-1.29
"Ricky Rubio, PG",34,28.5,-1.29
"Jaylen Hoard, F",7,34.3,-1.33
"Caleb Martin, SF",60,22.9,-1.34
"Isaiah Jackson, SF",36,15,-1.35
"Bones Hyland, PG",69,19,-1.41
"Dwight Howard, C",60,16.2,-1.42
"Nic Claxton, C",47,20.7,-1.42
"Jordan Clarkson, PG",79,27.1,-1.45
"Daniel Theis, C",47,20.8,-1.46
"Ziaire Williams, F",62,21.7,-1.47
"Trey Lyles, PF",75,20.5,-1.47
"Armoni Brooks, G",54,15.6,-1.48
"Onyeka Okongwu, PF",48,20.7,-1.48
"Joe Ingles, SG",45,24.9,-1.52
"Charles Bassey, C",23,7.3,-1.53
"Marvin Bagley III, PF",48,23.9,-1.57
"Brook Lopez, C",13,22.9,-1.57
"Eric Bledsoe, SG",54,25.2,-1.6
"Immanuel Quickley, SG",78,23.1,-1.6
"Jaden McDaniels, PF",70,25.8,-1.62
"Jonathan Kuminga, PF",70,16.9,-1.63
"Xavier Tillman, F",53,13.2,-1.64
"Naz Reid, C",77,15.8,-1.64
"Paul Reed, SF",38,8,-1.66
"Eric Gordon, SG",57,29.3,-1.66
