Name,Games Played,Mins,RPM
"Kelly Olynyk, PF",40,19.1,-1.68
"Tyler Herro, PG",66,32.6,-1.69
"Sam Hauser, SF",26,6.1,-1.7
"John Konchar, SG",72,17.9,-1.71
"De'Andre Hunter, SF",53,29.8,-1.71
"Chris Duarte, SG",55,28,-1.74
"Doug McDermott, SF",51,24,-1.77
"Jalen Suggs, SG",48,27.2,-1.82
"Drew Eubanks, PF",71,17.5,-1.83
"JaMychal Green, F",67,16.2,-1.86
"Jared Butler, SG",42,8.6,-1.86
"Cedi Osman, SF",66,22.2,-1.86
"Malcolm Hill, G",19,11.2,-1.88
"Omer Yurtseven, C",56,12.6,-1.9
"Justin Anderson, F",16,19.8,-1.91
"Richaun Holmes, F",45,23.9,-1.95
"Devontae Cacok, PF",15,8.1,-1.97
"Thomas Bryant, C",27,16.3,-1.99
"Markus Howard, PG",31,5.7,-2
"Cameron Payne, PG",58,22,-2.02
"Jock Landale, C",54,10.9,-2.02
"Naji Marshall, SF",55,13.4,-2.07
"Pat Connaughton, SG",65,26,-2.08
"Jaylen Nowell, SG",62,15.7,-2.12
"Nickeil Alexander-Walker, SG",65,22.6,-2.14
"Brandon Knight, PG",5,13,-2.16
"Malik Beasley, SG",79,25,-2.17
"Justise Winslow, PF",48,16.1,-2.18
"Usman Garuba, PF",24,10,-2.22
"Austin Reaves, SG",61,23.2,-2.25
"Damian Jones, C",56,18.2,-2.26
"LaMarcus Aldridge, C",47,22.3,-2.26
"Wayne Ellington, SG",43,18.8,-2.28
"Delon Wright, SG",77,18.9,-2.29
"Danny Green, F",62,21.8,-2.3
"Day'Ron Sharpe, C",32,12.2,-2.32
"Dennis Schroder, PG",64,28.7,-2.33
"Nathan Knight, F",37,7.2,-2.33
"Quentin Grimes, SG",46,17.1,-2.36
"Willy Hernangomez, C",50,16.8,-2.36
"Gary Harris, SG",61,28.4,-2.37
"Kenrich Williams, SF",49,21.9,-2.38
"Serge Ibaka, F",54,16.3,-2.39
"Davis Bertans, SF",56,14.4,-2.39
"Payton Pritchard, PG",71,14.1,-2.42
"Landry Shamet, SG",69,20.8,-2.42
"Jordan McLaughlin, PG",62,14.5,-2.45
"Aaron Nesmith, SF",52,11,-2.46
"Jeremy Lamb, SG",56,16.7,-2.46
"Terry Taylor, F",33,21.6,-2.46
"Furkan Korkmaz, SG",67,21.1,-2.47
"Thaddeus Young, PF",52,16.3,-2.48
"Tre Mann, PG",60,22.8,-2.49
"Dewayne Dedmon, C",67,15.9,-2.5
"D.J. Wilson, F",4,13.5,-2.52
"Rudy Gay, SF",55,18.9,-2.56
"Kevin Knox II, SF",30,7.4,-2.56
"Moses Brown, C",40,8.6,-2.58
"Santi Aldama, PF",32,11.3,-2.58
"DeAndre Jordan, C",48,13,-2.59
"Derrick Favors, F",39,16.7,-2.62
"Nemanja Bjelica, PF",71,16.1,-2.65
"Davon Reed, SG",48,13.9,-2.65
"Saben Lee, G",37,16.3,-2.66
"Louis King, SF",10,10.4,-2.68
"Jarrett Culver, G",37,9.1,-2.69
"Taurean Prince, PF",69,17.1,-2.7
"Avery Bradley, PG",62,22.7,-2.7
"Luka Garza, C",32,12.2,-2.71
"Isaiah Thomas, G",22,15.1,-2.75
"Braxton Key, F",11,17.9,-2.75
"Cory Joseph, PG",65,24.6,-2.75
"Eric Paschall, F",58,12.7,-2.75
"Marquese Chriss, SF",34,10.2,-2.75
"Larry Nance Jr., PF",46,22.6,-2.77
"Alex Caruso, SG",41,28,-2.78
"Greg Monroe, C",14,13.9,-2.78
"Tre Jones, PG",69,16.6,-2.78
"Derrick Rose, PG",26,24.5,-2.79
"George Hill, PG",54,23.2,-2.8
"Frank Jackson, G",53,22,-2.83
"David Nwaba, SF",46,13.2,-2.85
"Luke Kennard, SG",70,27.4,-2.86
"Carmelo Anthony, PF",69,26,-2.87
"Michael Porter Jr., SF",9,29.4,-2.9
"Ben McLemore, SG",64,20.1,-2.9
"Rodney McGruder, G",51,14.8,-2.91
"Maurice Harkless, SF",47,18.4,-2.92
"Bruno Fernando, PF",30,5.1,-2.97
"Killian Hayes, PG",66,25,-3.03
"Stanley Johnson, SF",48,22.8,-3.05
"Carsen Edwards, PG",4,19.8,-3.06
"Aaron Holiday, G",63,16.2,-3.06
"Markelle Fultz, PG",18,20,-3.06
"Dylan Windler, SG",50,9.2,-3.07
"DeAndre' Bembry, SG",56,18.3,-3.07
"Deni Avdija, SF",82,24.2,-3.08
"Rui Hachimura, PF",42,22.5,-3.08
"Juancho Hernangomez, PF",40,11.1,-3.09
"Malachi Flynn, PG",44,12.2,-3.12
"Aaron Wiggins, SG",50,24.2,-3.12
"Reggie Perry, F",10,18.7,-3.14
"Bismack Biyombo, C",36,14.1,-3.14
"James Ennis III, F",7,8,-3.14
"JT Thor, F",33,7.9,-3.15
"Moses Moody, SG",52,11.7,-3.22
"Zach Collins, PF",28,17.9,-3.22
"Lonnie Walker IV, G",70,23,-3.22
"Petr Cornelie, F",13,2.9,-3.22
"Ayo Dosunmu, SG",77,27.4,-3.23
"Precious Achiuwa, PF",73,23.6,-3.24
"Miye Oni, SG",16,2.8,-3.25
"Kyle Anderson, SF",69,21.5,-3.26
"Juan Toscano-Anderson, F",73,13.6,-3.28
"Oshae Brissett, SF",67,23.3,-3.28
"Cody Zeller, C",27,13.1,-3.29
"Cameron McGriff, F",3,15.3,-3.29
"Theo Maledon, PG",51,17.8,-3.29
"Alperen Sengun, C",72,20.7,-3.31
"Facundo Campazzo, G",65,18.2,-3.35
"Brodric Thomas, G",12,5,-3.37
"Luke Kornet, C",15,6.9,-3.43
"Damion Lee, SG",63,20,-3.46
"Isaiah Todd, PF",12,6.2,-3.47
"Raul Neto, PG",70,19.6,-3.49
"Brandon Goodwin, G",36,13.9,-3.49
"Zeke Nnaji, PF",41,17,-3.5
"Wenyen Gabriel, F",26,13.8,-3.52
"Coby White, PG",61,27.5,-3.53
"Frank Ntilikina, PG",58,11.8,-3.54
"Grant Williams, PF",77,24.4,-3.54
"Yuta Watanabe, SF",38,11.7,-3.56
"Aleem Ford, F",5,14.8,-3.57
"Keita Bates-Diop, SF",59,16.2,-3.57
"Udoka Azubuike, C",17,11.5,-3.58
"Cody Martin, SF",71,26.3,-3.6
"Olivier Sarr, C",22,19.1,-3.62
"Trey Murphy III, SG",62,13.9,-3.64
"Talen Horton-Tucker, SG",60,25.2,-3.65
"Trevor Ariza, SF",24,19.3,-3.66
"Xavier Moon, G",10,13.7,-3.66
"Derrick Jones Jr., SF",51,17.6,-3.67
"Sekou Doumbouya, SF",2,8,-3.68
"Jalen McDaniels, PF",55,16.3,-3.68
"Lou Williams, SG",56,14.3,-3.72
"Ish Wainright, F",45,8,-3.72
"Davion Mitchell, PG",75,27.7,-3.74
"Khem Birch, C",55,18,-3.75
"Jake Layman, F",34,6.8,-3.78
"T.J. McConnell, PG",27,24.1,-3.79
"Tremont Waters, G",3,16.7,-3.8
"Theo Pinson, G",19,7.8,-3.82
"Georges Niang, SF",76,22.8,-3.82
"Justin Jackson, SF",7,5.1,-3.82
"Ed Davis, C",31,6.5,-3.83
"Brandon Boston Jr., SG",51,14.9,-3.83
"Cameron Oliver, F",2,21.5,-3.83
"Devon Dotson, G",11,7.7,-3.86
"James Johnson, PF",62,19.2,-3.87
"Jericho Sims, C",41,13.5,-3.88
"Sandro Mamukelashvili, PF",41,9.9,-3.89
"Josh Green, SG",67,15.5,-3.91
"Jamorko Pickett, F",13,13.5,-3.93
"Nik Stauskas, G",8,4.9,-3.93
"Tony Bradley, C",55,10,-3.94
"Boban Marjanovic, C",23,5.6,-3.95
"Ignas Brazdeikis, SF",42,12.8,-3.95
"Josh Jackson, SG",51,16.3,-3.96
"Danuel House Jr., SF",42,17.3,-3.97
"Lamar Stevens, PF",63,16.1,-3.97
"Paul Watson, SG",9,17.3,-3.98
"Cam Reddish, SF",49,20.7,-3.98
"Torrey Craig, SF",78,20.5,-3.98
"Bryn Forbes, SG",75,17.1,-3.99
"Trey Burke, PG",42,10.5,-3.99
"Hassani Gravett, PG",8,21.4,-3.99
"Alex Len, C",39,15.9,-4
"Timothe Luwawu-Cabarrot, SG",52,13.2,-4
"Nick Richards, C",50,7.3,-4.02
"Justin Champagnie, SF",36,7.8,-4.02
"Kira Lewis Jr., PG",24,14.2,-4.03
"Lance Stephenson, G",46,17.7,-4.04
"Cam Thomas, SG",67,17.6,-4.06
"BJ Johnson, F",4,16.3,-4.06
"Svi Mykhailiuk, SG",56,12.8,-4.07
"Tacko Fall, C",11,5.4,-4.08
"Donte DiVincenzo, SG",42,23.9,-4.09
"Miles McBride, PG",40,9.3,-4.09
"Garrett Temple, SF",59,18.6,-4.09
"Kelan Martin, SG",30,15,-4.11
"Jared Harper, G",5,8.6,-4.11
"Brandon Williams, G",24,26.7,-4.13
"Trendon Watford, PF",48,18.1,-4.13
"Matt Thomas, SG",40,11.5,-4.14
"Austin Rivers, SG",67,22.1,-4.17
"Dennis Smith Jr., PG",37,17.3,-4.17
"Josh Richardson, SG",65,24.6,-4.21
"Josh Christopher, SG",74,18,-4.22
"Jay Scrubb, G",18,6.7,-4.22
"Deividas Sirvydis, F",3,9,-4.22
"Mamadi Diakite, F",13,14.5,-4.23
"KJ Martin, F",79,21,-4.23
"Taj Gibson, F",52,18.2,-4.23
"Wesley Matthews, SG",49,20.4,-4.24
"Joe Wieskamp, SF",29,7.1,-4.25
"Anthony Gill, PF",44,10.5,-4.27
"Chandler Hutchison, SF",6,3.7,-4.27
"Sterling Brown, SF",49,12.8,-4.28
"Marko Simonovic, C",9,3.9,-4.29
"Paul Millsap, PF",33,11.4,-4.29
"Killian Tillie, SF",36,12.8,-4.3
"Nerlens Noel, C",25,22.5,-4.31
"Kessler Edwards, SF",48,20.6,-4.32
"Bol Bol, C",14,5.8,-4.33
"Enes Freedom, C",35,11.7,-4.35
"Quinndary Weatherspoon, G",11,6.6,-4.36
"Greg Brown III, PF",48,13.3,-4.36
"CJ Elleby, SG",58,20.2,-4.4
"David Duke Jr., G",22,15.5,-4.42
"Jabari Parker, PF",12,9.3,-4.42
"Jalen Johnson, SF",22,5.5,-4.43
"Jordan Nwora, SF",62,19.1,-4.43
"Cheick Diallo, F",3,10.3,-4.44
"Collin Sexton, PG",11,28.7,-4.45
"Kyle Guy, SG",19,9.8,-4.46
"Isaac Bonga, G",15,4.6,-4.48
"RJ Nembhard Jr., SG",14,4.5,-4.5
"Goran Dragic, PG",21,23.7,-4.51
"Duane Washington Jr., PG",48,20.2,-4.52
"Romeo Langford, SG",48,16.1,-4.53
"Tristan Thompson, C",57,15.7,-4.53
"Vit Krejci, G",30,23,-4.58
"Darren Collison, PG",3,12.3,-4.62
"Daishen Nix, SG",24,10.9,-4.65
"Isaiah Livers, PF",19,20.2,-4.66
"Melvin Frazier Jr., G",3,40,-4.67
"Tyler Cook, F",20,10,-4.68
"Elijah Hughes, F",36,12.1,-4.69
"Skylar Mays, SG",28,7.9,-4.72
"Craig Sword, G",3,6.3,-4.75
"Lindell Wigginton, G",19,10.5,-4.75
"Jevon Carter, PG",66,13.7,-4.76
"Thanasis Antetokounmpo, SF",48,9.9,-4.76
"Shake Milton, SG",55,21.4,-4.78
"Jahmi'us Ramsey, SG",19,7.1,-4.8
"Vlatko Cancar, SF",15,11.7,-4.82
"Udonis Haslem, PF",13,6.4,-4.83
"Markieff Morris, PF",17,17.5,-4.83
"Kris Dunn, G",14,24,-4.85
"Gabriel Lundberg, F",4,11,-4.88
"Rayjon Tucker, G",5,14.2,-4.89
"Micah Potter, C",3,10.3,-4.89
"James Bouknight, SG",31,9.8,-4.89
"Victor Oladipo, SG",8,21.6,-4.91
"Isaiah Joe, SG",55,11.1,-4.91
"Trent Forrest, G",60,12.8,-4.93
"Joe Harris, SF",14,30.2,-4.93
"Kevin Pangos, G",24,6.9,-4.97
"Josh Okogie, SF",49,10.5,-4.97
"PJ Dozier, G",18,18.9,-4.98
"KZ Okpala, SF",21,11.6,-4.98
"Patrick Williams, PF",17,24.8,-4.99
"Cassius Winston, PG",7,5.6,-5.02
"Admiral Schofield, SF",38,12.3,-5.03
"Troy Brown Jr., SF",66,16,-5.09
"Tomas Satoransky, SG",55,16.5,-5.1
"Carlik Jones, G",5,4.6,-5.18
"Cassius Stanley, G",9,17.2,-5.28
"Tony Snell, SF",53,15.5,-5.32
"Langston Galloway, SG",7,15.3,-5.33
"Ish Smith, PG",65,17.3,-5.37
"Malik Fitts, F",15,4.2,-5.43
"Robin Lopez, C",36,17,-5.44
"Tyrone Wallace, G",6,12.5,-5.47
"Rajon Rondo, PG",39,17.9,-5.49
"Joel Ayayi, G",7,2.9,-5.52
"Mason Jones, G",4,12.8,-5.53
"Gary Clark, F",38,9.9,-5.54
"Chaundee Brown Jr., G",5,20.8,-5.54
"Abdel Nader, SF",14,10.4,-5.6
"Kai Jones, PF",21,3,-5.6
"Dalano Banton, G",64,10.9,-5.6
"Freddie Gillespie, SF",9,13.2,-5.69
"Norvel Pelle, PF",3,6.3,-5.7
"Mychal Mulder, G",17,14.1,-5.71
"Ryan Arcidiacono, G",10,7.6,-5.71
"Terrence Ross, G",63,23,-5.75
"Neemias Queta, C",15,8,-5.76
"R.J. Hampton, G",64,21.9,-5.78
"Robert Woodard II, F",12,3.5,-5.78
"Georgios Kalaitzakis, SF",13,16.4,-5.84
"Rodney Hood, SG",52,13.6,-5.86
"Chris Silva, F",10,9.1,-5.91
"Joshua Primo, G",50,19.3,-5.91
"Damyean Dotson, SG",2,10.5,-5.92
"Gabriel Deck, SF",7,8,-5.93
"Denzel Valentine, G",24,9.3,-5.95
"Keifer Sykes, G",32,17.7,-5.96
"Derrick Walton Jr., G",3,36,-6
"Elfrid Payton, G",50,11,-6.05
"Jaylen Morris, F",3,5.3,-6.07
"Keon Johnson, G",37,18.8,-6.07
"Eugene Omoruyi, F",4,4.5,-6.11
"Alize Johnson, F",23,7.3,-6.12
"Yves Pons, SG",12,5.9,-6.15
"Jeff Dowtin Jr., PG",9,12,-6.17
"Kent Bazemore, SF",39,14,-6.23
"Willie Cauley-Stein, C",20,9.2,-6.26
"Haywood Highsmith, F",19,8.6,-6.29
"Xavier Sneed, F",9,4.3,-6.36
"D.J. Augustin, G",55,16.1,-6.43
"Alfonzo McKinnie, F",17,12.1,-6.63
"Brad Wanamaker, PG",23,13.9,-6.71
"Keljin Blevins, SF",31,11.3,-6.75
"Semi Ojeleye, PF",30,13.5,-6.88
"Didi Louzada, G",9,14.3,-6.92
"Tyler Johnson, G",6,15.2,-7
"Myles Powell, G",11,4.7,-7.04
"Vernon Carey Jr., C",7,6.3,-7.19
"Emanuel Terry, F",3,6,-7.25
"Charlie Brown Jr., G",22,8.1,-7.25
"Leandro Bolmaro, F",35,6.9,-7.31
"Wes Iwundu, F",3,27.3,-7.39
"Justin Robinson, F",25,12.2,-7.45
"Javonte Smart, G",17,11.8,-7.51
"Devin Cannady, G",5,29,-7.53
"Zavier Simpson, G",4,43.5,-7.57
"Sharife Cooper, PG",13,3,-8
"Jemerrio Jones, F",2,7.5,-8.04
"Solomon Hill, SF",13,10.7,-8.13
"Jay Huff, C",4,5,-8.2
"Marcus Garrett, SG",12,10.7,-8.22
"Chris Chiozza, G",34,10.9,-8.46
"Tim Frazier, PG",12,17.3,-8.81
"Dakota Mathias, G",6,2.7,-10.68
