Name,Games Played,Mins,RPM
"Shabazz Napier, G",74,20.7,0.38
"Thaddeus Young, PF",81,32.2,0.37
"Timothe Luwawu-Cabarrot, SG",52,15.5,0.37
"Hassan Whiteside, C",54,25.3,0.36
"Kyle Anderson, SF",74,26.7,0.36
"Brandon Jennings, G",14,14.6,0.35
"Aaron Jackson, F",1,35,0.35
"Kelly Olynyk, PF",76,23.4,0.34
"Dewayne Dedmon, C",62,24.9,0.32
"Dwyane Wade, G",67,22.9,0.3
"Jonas Jerebko, F",74,15.3,0.28
"Ivica Zubac, C",43,9.5,0.28
"Khem Birch, C",42,13.8,0.28
"Nick Young, G",80,17.4,0.27
"Isaiah Canaan, G",20,21.1,0.25
"Kentavious Caldwell-Pope, SG",74,33.2,0.23
"Aaron Harrison, G",9,25.9,0.22
"Kyle O'Quinn, C",77,18,0.21
"Dirk Nowitzki, F",77,24.7,0.21
"Daniel Theis, C",63,14.8,0.21
"Trevor Booker, F",68,17,0.19
"Marcus Smart, PG",54,29.9,0.18
"Andrew White III, F",15,13.9,0.12
"Devin Harris, G",71,18.9,0.11
"James Johnson, PF",73,26.6,0.1
"Derrick Favors, F",77,28,0.1
"Malik Beasley, SG",62,9.5,0.1
"Jakob Poeltl, C",82,18.6,0.09
"Paul Millsap, PF",38,30.1,0.08
"Jordan Bell, F",57,14.2,0.07
"Josh Magette, PG",18,12,0.07
"Bobby Portis, F",73,22.5,0.06
"Troy Williams, F",21,14.6,0.06
"Dante Exum, G",14,16.8,0.03
"Shelvin Mack, G",69,19.8,0.02
"Milton Doyle, G",10,12.5,0.02
"Gian Clavell, SG",7,9.1,0.02
"JaVale McGee, C",65,9.5,0.02
"Avery Bradley, PG",46,31.2,0.02
"Isaiah Taylor, G",67,17.4,-0.01
"Raul Neto, PG",41,12.1,-0.01
"Rodney Purvis, G",16,18.1,-0.02
"James Ennis III, F",72,22.3,-0.03
"Rashad Vaughn, G",28,7.6,-0.03
"Marco Belinelli, G",80,24.3,-0.04
"Dejounte Murray, SG",81,21.5,-0.05
"Jose Calderon, G",57,16,-0.05
"Ryan Anderson, PF",66,26.1,-0.06
"Raymond Felton, G",82,16.6,-0.07
"Brandan Wright, F",28,13.6,-0.08
"Rodney Hood, SG",60,26.9,-0.08
"Bruno Caboclo, F",12,8.9,-0.1
"Jeff Green, PF",78,23.4,-0.1
"Tyler Johnson, G",72,28.5,-0.11
"Cedi Osman, SF",61,11,-0.12
"Nemanja Bjelica, PF",67,20.5,-0.14
"Norman Powell, G",70,15.2,-0.14
"E'Twaun Moore, G",82,31.5,-0.17
"Andrew Wiggins, SF",82,36.3,-0.17
"Justin Holiday, SF",72,31.5,-0.22
"Taj Gibson, F",82,33.3,-0.23
"Treveon Graham, F",63,16.7,-0.23
"Cody Zeller, C",33,19,-0.24
"Jeff Teague, PG",70,33,-0.26
"Mason Plumlee, C",74,19.5,-0.27
"D.J. Augustin, G",75,23.5,-0.29
"Rudy Gay, SF",57,21.6,-0.29
"Rajon Rondo, PG",65,26.2,-0.3
"Henry Ellenson, PF",38,8.7,-0.3
"Kent Bazemore, SF",65,27.5,-0.3
"Aron Baynes, C",81,18.3,-0.31
"Nikola Vucevic, C",57,29.5,-0.32
"Glenn Robinson III, F",23,14.7,-0.33
"Jamel Artis, F",15,18.6,-0.34
"DeMar DeRozan, SF",80,33.9,-0.34
"Quincy Acy, F",70,19.4,-0.37
"Dorian Finney-Smith, PF",21,21.3,-0.38
"Mario Hezonja, F",75,22.1,-0.38
"Omri Casspi, F",53,14,-0.39
"Chinanu Onuaku, C",1,22,-0.42
"Ante Zizic, C",32,6.7,-0.43
"Clint Capela, C",74,27.5,-0.43
"Salah Mejri, C",61,12,-0.43
"Brice Johnson, PF",18,5.4,-0.43
"Kris Dunn, G",52,29.3,-0.46
"Bobby Brown, PG",20,5.8,-0.46
"OG Anunoby, SF",74,20,-0.49
"Lucas Nogueira, C",49,8.5,-0.49
"Brook Lopez, C",74,23.4,-0.5
"Ish Smith, PG",82,24.9,-0.51
"Alex Abrines, G",75,15.1,-0.51
"Larry Nance Jr., PF",66,21.5,-0.52
"Patrick Beverley, PG",11,30.4,-0.52
"JaKarr Sampson, SF",22,15.6,-0.54
"Ricky Rubio, PG",77,29.3,-0.55
"Willie Reed, C",42,10.2,-0.59
"Okaro White, PF",6,13.3,-0.61
"Johnny O'Bryant III, F",36,10.5,-0.63
"Darius Miller, SF",82,23.7,-0.63
"Milos Teodosic, G",45,25.2,-0.64
"Cory Joseph, PG",82,27,-0.65
"Tim Frazier, PG",59,14.2,-0.66
"Guerschon Yabusele, F",33,7.1,-0.66
"Reggie Jackson, PG",45,26.7,-0.67
"DeMarcus Cousins, C",48,36.2,-0.69
"Zaza Pachulia, C",69,14.1,-0.71
"Jason Terry, G",51,16,-0.73
"Serge Ibaka, F",76,27.5,-0.73
"Al-Farouq Aminu, SF",69,30,-0.79
"Maurice Harkless, SF",59,21.4,-0.8
"Shaun Livingston, G",71,15.9,-0.81
"Wesley Matthews, SG",63,33.8,-0.81
"Brandon Paul, G",64,9,-0.81
"Justise Winslow, PF",68,24.7,-0.82
"Jerian Grant, G",74,22.8,-0.82
"Shane Larkin, G",54,14.4,-0.84
"Jack Cooley, F",7,12.4,-0.84
"Garrett Temple, SF",65,24.8,-0.85
"Sterling Brown, SF",54,14.4,-0.85
"Nicolas Batum, PF",64,31,-0.85
"Malcolm Delaney, G",54,18.8,-0.87
"Luke Babbitt, F",50,14.3,-0.88
"Willie Cauley-Stein, C",73,28,-0.89
"Nik Stauskas, G",41,12.8,-0.89
"Courtney Lee, G",76,30.4,-0.9
"Tim Hardaway Jr., SF",57,33.1,-0.9
"Isaiah Thomas, G",32,26.9,-0.9
"Manu Ginobili, G",65,20,-0.91
"Marcus Georges-Hunt, F",42,5.3,-0.91
"Julius Randle, PF",82,26.7,-0.91
"Quinn Cook, PG",33,22.4,-0.92
"Jerryd Bayless, G",39,23.7,-0.93
"Jeff Withey, C",10,3.9,-0.95
"Jodie Meeks, G",77,14.5,-0.95
"Myke Henry, F",20,18.9,-0.95
"Stanley Johnson, SF",69,27.4,-0.96
"Mike Muscala, C",53,20,-0.98
"John Holland, G",24,7.3,-0.99
"Corey Brewer, F",72,16.8,-1
"Thomas Bryant, C",15,4.8,-1.01
"Luol Deng, F",1,13,-1.01
"Jusuf Nurkic, C",79,26.4,-1.02
"Johnathan Motley, F",11,16,-1.02
"Bam Adebayo, C",69,19.8,-1.03
"Andre Drummond, C",78,33.7,-1.06
"Jalen Jones, F",16,11.3,-1.06
"Patrick Patterson, PF",82,15.5,-1.06
"Tyrone Wallace, G",30,28.4,-1.07
"Emeka Okafor, C",26,13.6,-1.08
"Kenneth Faried, F",32,14.4,-1.08
"Dillon Brooks, SF",82,28.7,-1.08
"Michael Kidd-Gilchrist, F",74,25,-1.14
"Maxi Kleber, PF",72,16.8,-1.16
"Sindarius Thornwell, SG",73,15.8,-1.16
"Terrence Ross, G",24,25,-1.18
"Myles Turner, C",65,28.2,-1.18
"Chandler Parsons, SF",36,19.2,-1.18
"Frank Kaminsky, PF",79,23.2,-1.18
"Dwight Howard, C",81,30.4,-1.19
"Mangok Mathiang, F",4,5,-1.21
