Name,Games Played,Mins,RPM
"Brandon Ingram, SF",45,34.2,0.9
"Josh Okogie, SF",72,18.8,0.85
"Andrew Wiggins, SF",37,32.2,0.79
"Gordon Hayward, SF",50,31.5,0.75
"Monte Morris, PG",62,27.4,0.72
"Marcus Smart, PG",61,32.1,0.72
"Josh Hart, SG",76,32.3,0.71
"Paolo Banchero, PF",72,33.8,0.68
"Svi Mykhailiuk, SG",32,14.6,0.68
"Eric Gordon, SG",69,28.5,0.65
"Mike Conley, PG",67,30.3,0.62
"Thomas Bryant, C",59,18.3,0.59
"Dennis Schroder, PG",66,30.1,0.58
"Sam Merrill, SG",5,11.8,0.53
"Bradley Beal, SG",50,33.5,0.5
"Jordan Clarkson, PG",61,32.6,0.49
"Karl-Anthony Towns, C",29,33,0.42
"Keita Bates-Diop, SF",67,21.7,0.41
"Luka Garza, C",28,8.7,0.41
"Jalen Williams, F",75,30.3,0.39
"Luguentz Dort, G",74,30.7,0.38
"Matisse Thybulle, SG",71,16.9,0.34
"Robert Williams III, C",35,23.5,0.33
"Mark Williams, C",43,19.3,0.32
"Delon Wright, SG",50,24.4,0.3
"Sam Hauser, SF",80,16.1,0.28
"Jaden Ivey, PG",74,31.1,0.25
"Markelle Fultz, PG",60,29.6,0.14
"Keegan Murray, SF",80,29.8,0.09
"Blake Griffin, PF",41,13.9,0.07
"Aaron Nesmith, SF",73,24.9,0.06
"Skylar Mays, SG",6,31.5,-0.09
"Talen Horton-Tucker, SG",65,20.2,-0.11
"Luka Samanic, F",7,23,-0.13
"Jordan Poole, SG",82,30,-0.15
"Tim Hardaway Jr., SF",71,30.3,-0.18
"Kevin Porter Jr., G",59,34.3,-0.23
"Terence Davis, SG",64,13.1,-0.25
"Kyle Anderson, SF",69,28.4,-0.26
"Terance Mann, SG",81,23.1,-0.31
"Xavier Tillman, F",61,19.3,-0.33
"Mike Muscala, C",63,15,-0.37
"Devin Vassell, SG",38,31,-0.39
"Donte DiVincenzo, SG",72,26.3,-0.41
"Nicolas Batum, PF",78,21.9,-0.42
"Dorian Finney-Smith, PF",66,30.4,-0.46
"Alex Caruso, SG",67,23.5,-0.46
"Christian Wood, F",67,25.9,-0.47
"Gary Trent Jr., SG",66,32.1,-0.49
"Mo Bamba, C",49,15.7,-0.54
"KJ Martin, F",82,28,-0.55
"Khris Middleton, SF",33,24.3,-0.56
"Kevin Love, PF",62,20,-0.57
"Davis Bertans, SF",45,10.9,-0.59
"Boban Marjanovic, C",31,5.5,-0.59
"Pat Connaughton, SG",61,23.7,-0.61
"Patrick Baldwin Jr., F",31,7.3,-0.65
"Zach Collins, PF",63,22.9,-0.65
"Jeremy Sochan, F",56,26,-0.66
"Troy Brown Jr., SF",76,24.5,-0.68
"Kenneth Lofton Jr., F",24,7.3,-0.69
"Saddiq Bey, SF",77,27.6,-0.69
"Torrey Craig, SF",79,24.7,-0.73
"Onyeka Okongwu, PF",80,23.1,-0.76
"Willy Hernangomez, C",38,12.1,-0.77
"Reggie Jackson, PG",68,24.4,-0.79
"Jonathan Isaac, PF",11,11.3,-0.81
"Goga Bitadze, C",38,12,-0.84
"Jamal Cain, F",18,13.3,-0.85
"Zeke Nnaji, PF",53,13.7,-0.87
"Kemba Walker, PG",9,16,-0.89
"Jay Huff, C",7,13.6,-0.96
"Gabe York, G",3,18.7,-1
"Shaquille Harrison, G",5,24,-1.06
"Jeremiah Robinson-Earl, F",43,18.9,-1.1
"Caleb Martin, SF",71,29.3,-1.1
"Jock Landale, C",69,14.2,-1.12
"Dalano Banton, G",31,9,-1.13
"Corey Kispert, SF",74,28.3,-1.14
"Austin Reaves, SG",64,28.8,-1.15
"Joe Harris, SF",74,20.6,-1.17
"Andre Drummond, C",67,12.7,-1.19
"Robert Covington, PF",48,16.2,-1.2
"Obi Toppin, PF",67,15.7,-1.24
"Cade Cunningham, PG",12,33.3,-1.25
"Jalen Suggs, SG",53,23.5,-1.27
"Max Strus, SG",80,28.4,-1.28
"Mac McClung, SG",2,20.5,-1.29
"Bol Bol, C",70,21.5,-1.3
"Vince Williams Jr., G",15,7,-1.31
"Jaylin Williams, F",49,18.7,-1.37
"Isaac Okoro, SF",76,21.8,-1.42
"Julian Champagnie, F",17,18.8,-1.43
"Dario Saric, PF",57,14.1,-1.45
"Ben Simmons, PG",42,26.3,-1.45
"Frank Kaminsky, PF",36,6.5,-1.48
"P.J. Tucker, PF",75,25.6,-1.49
"Alec Burks, SG",51,22,-1.51
"Trey Lyles, PF",74,16.9,-1.51
"A.J. Lawson, G",15,7.2,-1.53
"Naz Reid, C",68,18.4,-1.54
"Dalen Terry, F",38,5.6,-1.55
"Saben Lee, G",25,15,-1.58
"De'Andre Hunter, SF",67,31.7,-1.58
"Marvin Bagley III, PF",42,23.6,-1.59
"Santi Aldama, PF",77,21.8,-1.6
"Jalen Johnson, SF",70,14.9,-1.61
"Larry Nance Jr., PF",65,21.2,-1.61
"Chimezie Metu, PF",66,10.4,-1.64
"DeAndre Jordan, C",39,15,-1.65
"John Konchar, SG",72,20.8,-1.67
"Tre Mann, PG",67,17.7,-1.71
"RaiQuan Gray, F",1,35,-1.73
"Louis King, SF",1,29,-1.75
"Kris Dunn, G",22,25.8,-1.76
"Andre Iguodala, F",8,14.1,-1.79
"Reggie Bullock Jr., SF",78,30.3,-1.8
"Bruce Brown, SF",80,28.5,-1.81
"Patrick Williams, PF",82,28.3,-1.81
"Kira Lewis Jr., PG",25,9.4,-1.83
"Gary Harris, SG",48,24.7,-1.84
"Deni Avdija, SF",76,26.6,-1.86
"Killian Hayes, PG",76,28.3,-1.87
"Ayo Dosunmu, SG",80,26.2,-1.87
"Isaiah Jackson, SF",63,16.5,-1.91
"Isaiah Joe, SG",73,19.1,-1.92
"Gabe Vincent, PG",68,25.9,-1.93
"Montrezl Harrell, C",57,11.9,-1.94
"Otto Porter Jr., SF",8,18.3,-1.96
"Udoka Azubuike, C",36,10,-1.98
"Jalen Duren, C",67,24.9,-2
"Payton Pritchard, PG",48,13.4,-2.01
"Jose Alvarado, PG",61,21.5,-2.02
"Sandro Mamukelashvili, PF",43,15.3,-2.02
"Russell Westbrook, PG",73,29.1,-2.04
"Moses Moody, SG",63,13,-2.05
"Jae Crowder, PF",18,18.9,-2.06
"Charles Bassey, C",35,14.5,-2.07
"Bogdan Bogdanovic, SG",54,27.9,-2.07
"Bones Hyland, PG",56,19.4,-2.09
"Nikola Jovic, F",15,13.6,-2.12
"Josh Minott, F",15,6.4,-2.18
"AJ Griffin, F",72,19.5,-2.21
"George Hill, PG",46,18.1,-2.22
"Kenrich Williams, SF",53,22.8,-2.23
"Bismack Biyombo, C",61,14.3,-2.24
"Andrew Nembhard, PG",75,27.7,-2.24
"Jaxson Hayes, C",47,13,-2.25
"Daniel Theis, C",7,15.6,-2.3
"Dennis Smith Jr., PG",54,25.7,-2.34
"Darius Days, F",4,6.3,-2.37
"Bobby Portis, F",70,26,-2.38
"Dru Smith, G",15,10.5,-2.38
"Ochai Agbaji, G",59,20.5,-2.39
"Brandon Clarke, PF",56,19.5,-2.4
"Darius Bazley, PF",43,14.3,-2.41
"Jaden Hardy, G",48,14.8,-2.42
"Raul Neto, PG",48,10.5,-2.43
"Royce O'Neale, PF",76,31.7,-2.44
"Aleksej Pokusevski, F",34,20.6,-2.45
"TyTy Washington Jr., G",31,14,-2.45
"Devonte' Graham, PG",73,18.3,-2.45
"Luke Kornet, C",69,11.7,-2.46
"AJ Green, G",35,9.9,-2.47
"Wenyen Gabriel, F",68,15.1,-2.47
"Drew Eubanks, PF",78,20.3,-2.5
"Gorgui Dieng, C",31,11.5,-2.51
"Nathan Knight, F",38,7.7,-2.51
"Ron Harper Jr., F",9,5.3,-2.52
"Cameron Payne, PG",48,20.2,-2.53
"Landry Shamet, SG",40,20.2,-2.53
"Malik Beasley, SG",81,25.8,-2.54
"Jordan Goodwin, G",62,17.8,-2.54
"Kevin Knox II, SF",63,15.1,-2.55
"Jarrell Brantley, PF",4,9.8,-2.55
"Johnny Davis, G",28,15.1,-2.58
"Rodney McGruder, G",32,16.4,-2.59
"Meyers Leonard, C",9,12.7,-2.59
"Ousmane Dieng, F",39,14.6,-2.61
"Jaden Springer, G",16,5.6,-2.63
"Edmond Sumner, PG",53,13.9,-2.68
"Tyus Jones, PG",80,24.2,-2.7
"Micah Potter, C",7,7.4,-2.7
"Cory Joseph, PG",62,19.8,-2.71
"Johnny Juzang, G",18,12.9,-2.71
"Ish Wainright, F",60,15.3,-2.73
"Anthony Lamb, F",62,19.3,-2.73
"Quenton Jackson, G",9,15,-2.74
"James Wiseman, C",45,19.3,-2.76
"Josh Green, SG",60,25.7,-2.76
"Oshae Brissett, SF",65,16.7,-2.77
"Malcolm Brogdon, PG",67,26,-2.77
"Jericho Sims, C",52,15.6,-2.79
"Javonte Green, SF",32,15,-2.79
"Jonathan Kuminga, PF",67,20.8,-2.81
"Anthony Gill, PF",59,10.6,-2.82
"Vlatko Cancar, SF",60,14.8,-2.83
"Isaiah Mobley, F",12,7,-2.84
"Vit Krejci, G",29,5.7,-2.84
"Naji Marshall, SF",77,23.3,-2.85
"Jalen McDaniels, PF",80,23.9,-2.86
"Aaron Wiggins, SG",70,18.5,-2.87
"Derrick Jones Jr., SF",64,14,-2.88
"Duane Washington Jr., PG",31,12.7,-2.88
"Trendon Watford, PF",62,19.1,-2.88
"Nick Richards, C",65,18.7,-2.89
"Tony Bradley, C",12,2.8,-2.91
"Xavier Cooks, G",10,12.6,-2.95
"Garrison Mathews, SG",54,12.7,-2.96
"Jevon Carter, PG",81,22.4,-2.97
"Chris Boucher, PF",76,20,-2.98
"Nickeil Alexander-Walker, SG",59,15,-3.03
"Eugene Omoruyi, F",40,16.1,-3.03
"Wendell Moore Jr., G",29,5.3,-3.04
"Nate Williams, G",5,25.4,-3.06
"MarJon Beauchamp, F",52,13.5,-3.07
"Jordan McLaughlin, PG",43,15.8,-3.07
"Admiral Schofield, SF",37,12.2,-3.07
"Dewayne Dedmon, C",38,11.2,-3.08
"Isaiah Livers, PF",52,23.1,-3.11
"Chris Duarte, SG",46,19.5,-3.12
"Grant Williams, PF",79,25.9,-3.15
"Olivier Sarr, C",9,12.7,-3.18
"Paul Reed, SF",69,10.9,-3.18
"Duncan Robinson, F",42,16.4,-3.19
"James Johnson, PF",18,9,-3.2
"PJ Dozier, G",16,4.9,-3.24
"JaMychal Green, F",57,14,-3.24
"Bruno Fernando, PF",39,10.4,-3.25
"Norman Powell, G",60,26.1,-3.25
"Marko Simonovic, C",7,2.9,-3.26
"Malik Monk, SG",77,22.3,-3.26
"Danny Green, F",11,12.6,-3.26
"Lonnie Walker IV, G",56,23.2,-3.3
"T.J. Warren, SF",42,16.4,-3.31
"Precious Achiuwa, PF",55,20.7,-3.31
"Jack White, F",17,3.9,-3.32
"Omer Yurtseven, C",9,9.2,-3.32
"Juancho Hernangomez, PF",42,14.6,-3.33
"T.J. McConnell, PG",75,20.3,-3.34
"Malaki Branham, G",66,23.5,-3.36
"Justin Champagnie, SF",5,6.8,-3.38
"Markieff Morris, PF",35,10.1,-3.39
"JaVale McGee, C",42,8.5,-3.42
"Danuel House Jr., SF",56,14.4,-3.42
"Alex Len, C",26,6.2,-3.43
"Caris LeVert, SG",74,30.2,-3.44
"Ty Jerome, SG",45,18.1,-3.44
"Dyson Daniels, G",59,17.7,-3.46
"Cam Thomas, SG",57,16.6,-3.49
"Kendrick Nunn, G",70,13.8,-3.5
"Buddy Boeheim, F",10,9,-3.52
"Christian Koloko, C",58,13.8,-3.52
"Brandon Boston Jr., SG",22,11.3,-3.52
"Romeo Langford, SG",43,19.6,-3.55
"Garrett Temple, SF",25,6.5,-3.56
"Haywood Highsmith, F",54,17.9,-3.56
"Jarrett Culver, G",10,13.7,-3.57
"Thaddeus Young, PF",54,14.7,-3.57
"Christian Braun, G",76,15.5,-3.58
"Cody Zeller, C",15,14.5,-3.61
"Trevelin Queen, SG",7,10,-3.62
"John Wall, PG",34,22.2,-3.64
"Ziaire Williams, F",37,15.2,-3.64
"Cedi Osman, SF",77,20.1,-3.64
"Facundo Campazzo, G",8,6.5,-3.64
"Day'Ron Sharpe, C",48,11.5,-3.64
"Jason Preston, PG",14,8.9,-3.65
"Lamar Stevens, PF",62,18.1,-3.66
"Isaiah Roby, F",42,11.3,-3.66
"Rudy Gay, SF",56,14.6,-3.67
"Cam Reddish, SF",40,24.8,-3.68
"Kai Jones, PF",46,12,-3.68
"Theo Maledon, PG",44,19.4,-3.68
"Tari Eason, F",82,21.5,-3.7
"Keon Ellis, G",16,4.4,-3.71
"Yuta Watanabe, SF",58,16,-3.71
"Isaiah Hartenstein, C",82,19.9,-3.71
"David Roddy, F",70,18,-3.74
"Sterling Brown, SF",4,6,-3.74
"Dean Wade, PF",44,20.3,-3.74
"Lindell Wigginton, G",7,12.4,-3.75
"Damian Jones, C",41,11.6,-3.75
"Collin Sexton, PG",48,23.9,-3.76
"Peyton Watson, F",23,8.1,-3.76
"Ricky Rubio, PG",33,17.2,-3.76
"Luke Kennard, SG",59,22.3,-3.76
"Shake Milton, SG",76,20.6,-3.79
"Hamidou Diallo, SG",56,17.8,-3.8
"Cole Anthony, PG",60,25.9,-3.83
"Chuma Okeke, PF",27,19.2,-3.84
"Vernon Carey Jr., C",11,2.5,-3.84
"Gary Payton II, SG",22,16.7,-3.85
"Orlando Robinson, C",31,13.7,-3.86
"Georges Niang, SF",78,19.4,-3.86
"Matt Ryan, F",34,9.1,-3.88
"Miles McBride, PG",64,11.9,-3.89
"Taj Gibson, F",49,9.8,-3.9
"Seth Curry, SG",61,19.9,-3.9
"Xavier Moon, G",4,5,-3.9
"Kennedy Chandler, G",36,7.8,-3.92
"Lester Quinones, G",4,4.5,-3.93
"Theo Pinson, G",40,8.1,-3.95
"R.J. Hampton, G",47,16,-3.95
"Maxi Kleber, PF",37,25.1,-3.97
"John Butler Jr., F",19,11.6,-3.98
"Jaylen Nowell, SG",65,19.3,-4.05
"Jared Butler, SG",6,12.8,-4.07
"Patty Mills, PG",40,14.2,-4.08
"Kendall Brown, SG",6,6.7,-4.12
"Derrick Rose, PG",27,12.5,-4.12
"Terry Taylor, F",31,8.5,-4.15
"Jordan Hall, G",9,9.2,-4.17
"Serge Ibaka, F",16,11.6,-4.23
"Evan Fournier, SG",27,17,-4.26
"Terrence Ross, G",63,21.1,-4.27
"Josh Richardson, SG",65,23.5,-4.27
"Dominick Barlow, F",28,14.6,-4.27
"Mamadi Diakite, F",22,8,-4.28
"Rui Hachimura, PF",63,23.3,-4.29
"Stanley Johnson, SF",30,15.6,-4.31
"Shaedon Sharpe, SG",80,22.2,-4.32
"Kessler Edwards, SF",36,10.7,-4.33
"Jae'Sean Tate, SF",31,21.8,-4.35
"McKinley Wright IV, PG",27,12.4,-4.36
"Cody Martin, SF",7,19.1,-4.38
"Tyrese Martin, G",16,4.1,-4.4
"Simone Fontecchio, F",52,14.7,-4.41
"Neemias Queta, C",5,5.8,-4.42
"Nassir Little, SF",54,18.1,-4.43
"Scotty Pippen Jr., G",6,5.3,-4.43
"Wesley Matthews, SG",52,15.8,-4.45
"Greg Brown III, PF",16,5.8,-4.47
"Coby White, PG",74,23.4,-4.48
"Usman Garuba, PF",75,12.9,-4.48
"Juan Toscano-Anderson, F",52,13.5,-4.49
"Jordan Nwora, SF",62,19.2,-4.5
"Kobi Simmons, G",5,5.6,-4.52
"Alize Johnson, F",4,7.5,-4.52
"Joe Ingles, SG",46,22.7,-4.53
"Jabari Walker, F",56,11.1,-4.54
"Richaun Holmes, F",42,8.3,-4.55
"KZ Okpala, SF",35,7.1,-4.55
"Bennedict Mathurin, SG",78,28.5,-4.56
"Justise Winslow, PF",29,26.8,-4.6
"Victor Oladipo, SG",42,26.3,-4.61
"Keon Johnson, G",40,10.4,-4.62
"JD Davison, SG",12,5.5,-4.65
"James Bouknight, SG",34,15.1,-4.65
"Davion Mitchell, PG",80,18.1,-4.68
"Josh Christopher, SG",64,12.3,-4.69
"Aaron Holiday, G",63,13.4,-4.7
"Moussa Diabate, F",22,8.9,-4.73
"Xavier Sneed, F",4,12,-4.78
"Jay Scrubb, G",2,15,-4.78
"Damion Lee, SG",74,20.4,-4.79
"Justin Jackson, SF",23,4.7,-4.86
"Carlik Jones, G",7,8,-4.88
"Joshua Primo, G",4,23.3,-4.88
"Jake LaRavia, F",35,11.8,-4.91
"Furkan Korkmaz, SG",37,9.5,-4.93
"Cole Swider, F",7,5.9,-4.94
"David Duke Jr., G",23,9.9,-4.96
"Malachi Flynn, PG",53,13,-5
"Michael Carter-Williams, G",4,11,-5.01
"Kevon Harris, G",34,13.4,-5.02
"Jared Rhoden, G",14,14.1,-5.07
"Jeff Green, PF",56,19.5,-5.07
"Jeff Dowtin Jr., PG",25,10.4,-5.11
"Goran Dragic, PG",58,15,-5.17
"Frank Ntilikina, PG",47,12.9,-5.18
"JT Thor, F",69,14,-5.36
"Khem Birch, C",20,8.1,-5.39
"Mfiondu Kabengele, C",4,9,-5.41
"Devon Dotson, G",6,8.8,-5.41
"Bryce McGowens, G",46,17.1,-5.43
"Will Barton, G",56,17.7,-5.44
"Justin Minaya, F",4,22.3,-5.53
"Bryn Forbes, SG",25,10.7,-5.63
"Justin Holiday, SF",46,15.3,-5.64
"Thanasis Antetokounmpo, SF",37,5.6,-5.67
"Trevor Hudgins, G",5,5.6,-5.68
"Matthew Dellavedova, PG",32,6.7,-5.68
"Robin Lopez, C",37,8.1,-5.69
"Udonis Haslem, PF",7,10.3,-5.71
"Daishen Nix, SG",57,16,-5.72
"Austin Rivers, SG",52,19.5,-5.74
"Doug McDermott, SF",64,20.5,-5.75
"Amir Coffey, SG",50,12.5,-5.79
"Caleb Houstan, G",51,15.9,-5.83
"Max Christie, G",41,12.5,-5.84
"Taurean Prince, PF",54,22.1,-5.86
"Dylan Windler, SG",3,3.3,-5.98
"Jamaree Bouyea, G",5,14.2,-6.24
"Nerlens Noel, C",17,11.5,-6.35
"Davon Reed, SG",43,8,-6.4
"Jacob Gilyard, G",1,41,-6.61
"Ish Smith, PG",43,9.3,-6.77
"Ryan Rollins, G",12,5.2,-6.8
"Isaiah Todd, PF",6,10.2,-6.83
"Trent Forrest, G",23,12,-7.26
"Noah Vonleh, PF",23,7.5,-7.32
"Joe Wieskamp, SF",9,5.6,-7.38
"Blake Wesley, G",37,18.1,-8.31
"Leandro Bolmaro, F",14,4.9,-8.45
"Dereon Seabron, G",5,2.4,-8.57
"Ryan Arcidiacono, G",20,8.6,-8.7
