Name,Games Played,Mins,RPM
"Joel Embiid, C",66,34.6,10.46
"Jayson Tatum, SF",74,36.9,9.01
"LeBron James, SF",55,35.5,7.63
"Nikola Jokic, C",69,33.7,7.39
"Luka Doncic, PG",66,36.2,7.25
"Damian Lillard, PG",58,36.3,7.08
"Kyrie Irving, PG",60,37.4,6.97
"Anthony Davis, PF",56,34,6.95
"Evan Mobley, PF",79,34.4,6.76
"Franz Wagner, SF",80,32.6,6.71
"Donovan Mitchell, SG",68,35.8,6.55
"Jaren Jackson Jr., PF",63,28.4,6.31
"Brook Lopez, C",78,30.4,6.09
"Jimmy Butler, SF",64,33.4,6.06
"Giannis Antetokounmpo, PF",63,32.1,5.95
"Desmond Bane, SG",58,31.7,5.86
"Lauri Markkanen, PF",66,34.4,5.69
"Julius Randle, PF",77,35.5,5.63
"Nic Claxton, C",76,29.9,5.31
"Kristaps Porzingis, C",65,32.6,5.15
"Myles Turner, C",62,29.4,5.14
"Kawhi Leonard, SF",52,33.6,5.12
"Bam Adebayo, C",75,34.6,5.1
"Rudy Gobert, C",70,30.7,5.1
"Ja Morant, PG",61,31.9,5.09
"James Harden, SG",58,36.8,5.05
"Derrick White, PG",82,28.3,4.58
"Paul George, F",56,34.6,4.53
"Stephen Curry, PG",56,34.7,4.51
"De'Aaron Fox, PG",73,33.4,4.47
"Kyle Kuzma, SF",64,35,4.46
"Aaron Gordon, PF",68,30.2,4.45
"Pascal Siakam, PF",71,37.4,4.37
"Kevin Durant, PF",47,35.6,4.33
"Zach LaVine, SG",77,35.9,4.3
"Jrue Holiday, PG",67,32.6,4.26
"Tyrese Haliburton, PG",56,33.6,4.15
"Draymond Green, PF",73,31.5,4.06
"Shai Gilgeous-Alexander, PG",68,35.5,4.05
"Jusuf Nurkic, C",52,26.8,4.04
"Nikola Vucevic, C",82,33.5,3.99
"Michael Porter Jr., SF",62,29,3.94
"D'Angelo Russell, PG",71,32.5,3.94
"Jaylen Brown, SG",67,35.9,3.91
"Mitchell Robinson, C",59,26.9,3.88
"Buddy Hield, SG",80,31,3.88
"Fred VanVleet, PG",69,36.7,3.84
"Tyler Herro, PG",67,34.9,3.82
"Walker Kessler, C",74,23,3.77
"Scottie Barnes, SF",77,34.8,3.73
"Cameron Johnson, SF",42,28.6,3.69
"Darius Garland, PG",69,35.5,3.66
"Ivica Zubac, C",76,28.5,3.66
"Anfernee Simons, SG",62,35,3.56
"Kevin Huerter, SG",75,29.4,3.56
"Dejounte Murray, SG",74,36.4,3.53
"Jakob Poeltl, C",72,26.5,3.5
"Wendell Carter Jr., C",57,29.6,3.48
"Trae Young, PG",73,34.8,3.46
"Spencer Dinwiddie, PG",79,34.5,3.45
"Devin Booker, SG",53,34.6,3.34
"Jamal Murray, PG",65,32.8,3.17
"Clint Capela, C",65,26.6,3.14
"Kevon Looney, F",82,23.9,3.13
"Chris Paul, PG",59,32,3.09
"Anthony Edwards, SG",79,36,3.05
"OG Anunoby, SF",67,35.6,3
"Jonas Valanciunas, C",79,24.9,2.99
"P.J. Washington, PF",73,32.6,2.97
"CJ McCollum, SG",75,35.3,2.94
"Mikal Bridges, SF",83,35.7,2.89
"Dwight Powell, C",76,19.2,2.87
"Tobias Harris, PF",74,32.9,2.81
"Kelly Olynyk, PF",68,28.6,2.79
"Harrison Barnes, SF",82,32.5,2.76
"Jalen Brunson, PG",68,35,2.75
"Quentin Grimes, SG",71,29.9,2.66
"DeMar DeRozan, SF",74,36.2,2.6
"Domantas Sabonis, PF",79,34.6,2.58
"LaMelo Ball, PG",36,35.2,2.45
"Al Horford, C",63,30.5,2.41
"Terry Rozier, SG",63,35.3,2.29
"Bojan Bogdanovic, SF",59,32.1,2.21
"Tre Jones, PG",68,29.2,2.05
"Alperen Sengun, C",75,28.9,1.99
"Jalen Green, SG",76,34.2,1.98
"Isaiah Stewart, C",50,28.3,1.96
"Marcus Morris Sr., SF",65,28.1,1.9
"Zion Williamson, PF",29,33,1.87
"Trey Murphy III, SG",79,31,1.85
"Kyle Lowry, PG",55,31.2,1.83
"Jarrett Allen, C",68,32.6,1.83
"Jerami Grant, SF",63,35.7,1.75
"Steven Adams, C",42,27,1.74
"Grayson Allen, SG",72,27.4,1.73
"Patrick Beverley, PG",67,27.1,1.67
"Lindy Waters III, F",41,13,1.67
"Herbert Jones, SF",66,29.6,1.66
"Dillon Brooks, SF",73,30.3,1.62
"Jaden McDaniels, PF",79,30.6,1.59
"Kelly Oubre Jr., SG",48,32.3,1.47
"Josh Giddey, SG",76,31.1,1.45
"Klay Thompson, SG",69,33,1.41
"Moritz Wagner, C",57,19.5,1.37
"Daniel Gafford, C",78,20.6,1.3
"Immanuel Quickley, SG",81,28.9,1.25
"Deandre Ayton, C",67,30.4,1.22
"Mason Plumlee, C",79,26,1.2
"Jabari Smith Jr., PF",79,31,1.19
"RJ Barrett, SG",73,33.9,1.18
"Keldon Johnson, SF",63,32.7,1.16
"Kentavious Caldwell-Pope, SG",76,31.3,1.13
"De'Anthony Melton, SG",77,27.9,1.09
"Moses Brown, C",36,8.2,1.08
"John Collins, PF",71,30,0.99
"Jalen Smith, PF",68,18.8,0.96
"Tyrese Maxey, PG",60,33.6,0.94
"Jarred Vanderbilt, PF",78,24.1,0.92
